date,revenue_per_employee_annual
"Dec. 31, 2019",678962.7
"Dec. 31, 2018",691600.4
"Dec. 31, 2017",674237.3
"Dec. 31, 2016",624298.8
"Dec. 31, 2015",624834.7
"Dec. 31, 2014",627918.7
"Dec. 31, 2013",601745.1
"Dec. 31, 2012",516939.5
"Dec. 31, 2011",496977.7
"Dec. 31, 2010",514158.3
"Dec. 31, 2009",518163.9
"Dec. 31, 2008",466560.1
"Dec. 31, 2007",442908.1
"Dec. 31, 2006",472597.4
"Dec. 31, 2005",428611.2
"Dec. 31, 2004",435599.1
"Dec. 31, 2003",432817.2
"Dec. 31, 2002",471352.4
"Dec. 31, 2001",630874.1
"Dec. 31, 2000",1.614M
"Dec. 31, 1999",858598.0
"Dec. 31, 1998",460663.8
"Dec. 31, 1997",380618.2
"Dec. 31, 1996",374883.3
"Dec. 31, 1995",348639.6
"Dec. 31, 1994",333225.9
"Dec. 31, 1993",321954.1
"Dec. 31, 1992",299249.0
"Dec. 31, 1991",302000.0
"Dec. 31, 1990",299742.1
