date,sustainable_growth_rate
"Dec. 31, 2019",4.27%
"Sept. 30, 2019",3.51%
"June 30, 2019",4.17%
"March 31, 2019",4.71%
"Dec. 31, 2018",4.57%
"Sept. 30, 2018",5.26%
"June 30, 2018",4.92%
"March 31, 2018",4.51%
"Dec. 31, 2017",4.52%
"Sept. 30, 2017",4.39%
"June 30, 2017",4.20%
"March 31, 2017",4.65%
"Dec. 31, 2016",4.44%
"Sept. 30, 2016",4.52%
"June 30, 2016",4.19%
"March 31, 2016",4.85%
"Dec. 31, 2015",4.89%
"Sept. 30, 2015",5.19%
"June 30, 2015",6.09%
"March 31, 2015",5.15%
"Dec. 31, 2014",5.53%
"Sept. 30, 2014",5.32%
"June 30, 2014",4.79%
"March 31, 2014",5.10%
"Dec. 31, 2013",5.74%
"Sept. 30, 2013",5.54%
"June 30, 2013",6.87%
"March 31, 2013",6.47%
"Dec. 31, 2012",6.10%
"Sept. 30, 2012",5.90%
"June 30, 2012",7.06%
"March 31, 2012",6.41%
"Dec. 31, 2011",6.93%
"Sept. 30, 2011",7.59%
"June 30, 2011",5.21%
"March 31, 2011",6.59%
"Dec. 31, 2010",5.83%
"Sept. 30, 2010",6.19%
"June 30, 2010",5.47%
"March 31, 2010",4.74%
"Dec. 31, 2009",5.03%
"Sept. 30, 2009",3.96%
"June 30, 2009",3.89%
"March 31, 2009",3.20%
"Dec. 31, 2008",3.55%
"Sept. 30, 2008",3.86%
"June 30, 2008",2.05%
"March 31, 2008",2.19%
"Dec. 31, 2007",2.50%
"Sept. 30, 2007",3.28%
"June 30, 2007",4.76%
"March 31, 2007",5.55%
"Dec. 31, 2006",5.80%
"Sept. 30, 2006",4.92%
"June 30, 2006",3.03%
"March 31, 2006",2.11%
"Dec. 31, 2005",1.89%
"Sept. 30, 2005",2.78%
"June 30, 2005",3.04%
"March 31, 2005",2.97%
"Dec. 31, 2004",2.82%
"Sept. 30, 2004",1.68%
"June 30, 2004",3.59%
"March 31, 2004",1.26%
"Dec. 31, 2003",-2.01%
"Sept. 30, 2003",-3.47%
"June 30, 2003",-4.62%
"March 31, 2003",-4.16%
"Dec. 31, 2002",-0.97%
"Sept. 30, 2002",1.62%
"June 30, 2002",1.41%
"March 31, 2002",5.26%
"Dec. 31, 2001",6.52%
"Sept. 30, 2001",7.10%
"June 30, 2001",8.09%
"March 31, 2001",7.86%
"Dec. 31, 2000",8.85%
"Sept. 30, 2000",8.30%
"June 30, 2000",5.88%
"March 31, 2000",4.46%
"Dec. 31, 1999",2.82%
"Sept. 30, 1999",2.89%
"June 30, 1999",2.95%
"March 31, 1999",2.85%
"Dec. 31, 1998",2.67%
"Sept. 30, 1998",2.86%
"June 30, 1998",2.50%
"March 31, 1998",2.38%
"Dec. 31, 1997",2.46%
"Sept. 30, 1997",0.93%
"June 30, 1997",0.57%
"March 31, 1997",0.83%
"Dec. 31, 1996",0.78%
"Sept. 30, 1996",2.85%
"June 30, 1996",3.52%
"March 31, 1996",2.78%
"Dec. 31, 1995",1.35%
"Sept. 30, 1995",1.14%
"June 30, 1995",0.04%
"March 31, 1995",-0.04%
"Dec. 31, 1994",-0.34%
"Sept. 30, 1994",3.37%
