date,return_on_equity
"Dec. 31, 2019",9.64%
"Sept. 30, 2019",8.84%
"June 30, 2019",9.49%
"March 31, 2019",10.00%
"Dec. 31, 2018",9.83%
"Sept. 30, 2018",10.49%
"June 30, 2018",10.15%
"March 31, 2018",9.71%
"Dec. 31, 2017",9.66%
"Sept. 30, 2017",9.49%
"June 30, 2017",9.28%
"March 31, 2017",9.69%
"Dec. 31, 2016",9.44%
"Sept. 30, 2016",9.46%
"June 30, 2016",9.13%
"March 31, 2016",9.73%
"Dec. 31, 2015",9.72%
"Sept. 30, 2015",9.97%
"June 30, 2015",10.84%
"March 31, 2015",9.87%
"Dec. 31, 2014",10.19%
"Sept. 30, 2014",9.92%
"June 30, 2014",9.33%
"March 31, 2014",9.55%
"Dec. 31, 2013",10.10%
"Sept. 30, 2013",9.81%
"June 30, 2013",11.07%
"March 31, 2013",10.59%
"Dec. 31, 2012",10.14%
"Sept. 30, 2012",9.74%
"June 30, 2012",10.90%
"March 31, 2012",10.20%
"Dec. 31, 2011",10.68%
"Sept. 30, 2011",11.39%
"June 30, 2011",9.10%
"March 31, 2011",10.53%
"Dec. 31, 2010",9.81%
"Sept. 30, 2010",10.24%
"June 30, 2010",9.61%
"March 31, 2010",8.92%
"Dec. 31, 2009",9.26%
"Sept. 30, 2009",8.22%
"June 30, 2009",8.20%
"March 31, 2009",7.56%
"Dec. 31, 2008",7.91%
"Sept. 30, 2008",8.26%
"June 30, 2008",6.51%
"March 31, 2008",6.67%
"Dec. 31, 2007",7.02%
"Sept. 30, 2007",7.85%
"June 30, 2007",9.42%
"March 31, 2007",10.29%
"Dec. 31, 2006",10.61%
"Sept. 30, 2006",9.82%
"June 30, 2006",7.98%
"March 31, 2006",7.07%
"Dec. 31, 2005",6.88%
"Sept. 30, 2005",7.27%
"June 30, 2005",8.06%
"March 31, 2005",8.02%
"Dec. 31, 2004",7.91%
"Sept. 30, 2004",7.51%
"June 30, 2004",9.63%
"March 31, 2004",8.06%
"Dec. 31, 2003",5.51%
"Sept. 30, 2003",4.66%
"June 30, 2003",3.53%
"March 31, 2003",3.94%
"Dec. 31, 2002",7.02%
"Sept. 30, 2002",9.73%
"June 30, 2002",9.48%
"March 31, 2002",13.41%
"Dec. 31, 2001",14.79%
"Sept. 30, 2001",15.44%
"June 30, 2001",16.64%
"March 31, 2001",16.49%
"Dec. 31, 2000",17.70%
"Sept. 30, 2000",17.31%
"June 30, 2000",15.04%
"March 31, 2000",13.75%
"Dec. 31, 1999",12.23%
"Sept. 30, 1999",12.34%
"June 30, 1999",12.46%
"March 31, 1999",12.42%
"Dec. 31, 1998",12.32%
"Sept. 30, 1998",12.04%
"June 30, 1998",11.95%
"March 31, 1998",12.04%
"Dec. 31, 1997",12.46%
"Sept. 30, 1997",11.89%
"June 30, 1997",11.59%
"March 31, 1997",12.13%
"Dec. 31, 1996",12.12%
"Sept. 30, 1996",14.32%
"June 30, 1996",15.03%
"March 31, 1996",14.39%
"Dec. 31, 1995",12.99%
"Sept. 30, 1995",12.88%
"June 30, 1995",11.71%
"March 31, 1995",11.70%
"Dec. 31, 1994",11.31%
"Sept. 30, 1994",12.13%
