date,book_value_of_equity_per_share
"Dec. 31, 2019",48.90
"Sept. 30, 2019",48.89
"June 30, 2019",47.70
"March 31, 2019",47.24
"Dec. 31, 2018",47.04
"Sept. 30, 2018",46.99
"June 30, 2018",45.51
"March 31, 2018",44.79
"Dec. 31, 2017",44.68
"Sept. 30, 2017",44.60
"June 30, 2017",43.32
"March 31, 2017",42.85
"Dec. 31, 2016",42.74
"Sept. 30, 2016",42.63
"June 30, 2016",41.46
"March 31, 2016",40.81
"Dec. 31, 2015",40.88
"Sept. 30, 2015",40.72
"June 30, 2015",39.70
"March 31, 2015",38.81
"Dec. 31, 2014",38.85
"Sept. 30, 2014",38.77
"June 30, 2014",37.44
"March 31, 2014",36.93
"Dec. 31, 2013",36.84
"Sept. 30, 2013",37.02
"June 30, 2013",35.91
"March 31, 2013",35.34
"Dec. 31, 2012",34.73
"Sept. 30, 2012",35.29
"June 30, 2012",33.74
"March 31, 2012",33.35
"Dec. 31, 2011",33.18
"Sept. 30, 2011",33.30
"June 30, 2011",31.45
"March 31, 2011",31.28
"Dec. 31, 2010",31.01
"Sept. 30, 2010",30.89
"June 30, 2010",29.69
"March 31, 2010",29.17
"Dec. 31, 2009",29.17
"Sept. 30, 2009",28.97
"June 30, 2009",28.07
"March 31, 2009",27.76
"Dec. 31, 2008",28.58
"Sept. 30, 2008",27.89
"June 30, 2008",27.03
"March 31, 2008",26.91
"Dec. 31, 2007",26.79
"Sept. 30, 2007",26.85
"June 30, 2007",26.40
"March 31, 2007",26.21
"Dec. 31, 2006",25.65
"Sept. 30, 2006",25.31
"June 30, 2006",24.51
"March 31, 2006",24.33
"Dec. 31, 2005",24.17
"Sept. 30, 2005",24.01
"June 30, 2005",24.04
"March 31, 2005",24.13
"Dec. 31, 2004",23.88
"Sept. 30, 2004",23.23
"June 30, 2004",22.86
"March 31, 2004",22.83
"Dec. 31, 2003",22.62
"Sept. 30, 2003",22.76
"June 30, 2003",22.01
"March 31, 2003",22.41
"Dec. 31, 2002",23.01
"Sept. 30, 2002",23.35
"June 30, 2002",23.08
"March 31, 2002",23.46
"Dec. 31, 2001",23.19
"Sept. 30, 2001",23.09
"June 30, 2001",22.66
"March 31, 2001",22.15
"Dec. 31, 2000",21.85
"Sept. 30, 2000",21.66
"June 30, 2000",21.05
"March 31, 2000",20.67
"Dec. 31, 1999",20.02
"Sept. 30, 1999",19.92
"June 30, 1999",19.83
"March 31, 1999",19.73
"Dec. 31, 1998",19.42
"Sept. 30, 1998",19.41
"June 30, 1998",19.27
"March 31, 1998",19.20
"Dec. 31, 1997",18.93
"Sept. 30, 1997",18.40
"June 30, 1997",18.81
"March 31, 1997",18.29
"Dec. 31, 1996",18.47
"Sept. 30, 1996",18.06
"June 30, 1996",18.53
"March 31, 1996",17.97
"Dec. 31, 1995",18.15
"Sept. 30, 1995",17.54
"June 30, 1995",17.89
"March 31, 1995",17.48
"Dec. 31, 1994",17.91
"Sept. 30, 1994",17.34
"June 30, 1994",17.89
"March 31, 1994",17.44
