date,price_target_upside
"March 19, 2020",23.21%
"March 18, 2020",12.50%
"March 17, 2020",10.86%
"March 16, 2020",35.21%
"March 13, 2020",23.06%
"March 12, 2020",32.36%
"March 11, 2020",15.24%
"March 10, 2020",11.68%
"March 9, 2020",12.02%
"March 6, 2020",5.05%
"March 5, 2020",6.55%
"March 4, 2020",5.84%
"March 3, 2020",11.86%
"March 2, 2020",10.40%
"Feb. 28, 2020",16.72%
"Feb. 27, 2020",9.28%
"Feb. 26, 2020",4.87%
"Feb. 25, 2020",3.51%
"Feb. 24, 2020",1.30%
"Feb. 21, 2020",0.82%
"Feb. 20, 2020",0.23%
"Feb. 19, 2020",0.08%
"Feb. 18, 2020",-1.02%
"Feb. 14, 2020",0.08%
"Feb. 13, 2020",0.76%
"Feb. 12, 2020",1.96%
"Feb. 11, 2020",1.73%
"Feb. 10, 2020",1.56%
"Feb. 7, 2020",2.17%
"Feb. 6, 2020",1.33%
"Feb. 5, 2020",1.22%
"Feb. 4, 2020",1.47%
"Feb. 3, 2020",-0.49%
"Jan. 31, 2020",-0.17%
"Jan. 30, 2020",-1.04%
"Jan. 29, 2020",-0.08%
"Jan. 28, 2020",0.28%
"Jan. 27, 2020",0.19%
"Jan. 24, 2020",-1.29%
"Jan. 23, 2020",-0.62%
"Jan. 22, 2020",0.41%
"Jan. 21, 2020",0.74%
"Jan. 17, 2020",1.36%
"Jan. 16, 2020",1.83%
"Jan. 15, 2020",2.80%
"Jan. 14, 2020",3.93%
"Jan. 13, 2020",3.91%
"Jan. 10, 2020",5.16%
"Jan. 9, 2020",5.48%
"Jan. 8, 2020",6.21%
"Jan. 7, 2020",5.75%
"Jan. 6, 2020",5.12%
"Jan. 3, 2020",5.12%
"Jan. 2, 2020",5.15%
"Dec. 31, 2019",3.93%
"Dec. 30, 2019",3.92%
"Dec. 27, 2019",4.14%
"Dec. 26, 2019",4.54%
"Dec. 24, 2019",4.72%
"Dec. 23, 2019",4.65%
"Dec. 20, 2019",2.77%
"Dec. 19, 2019",3.16%
"Dec. 18, 2019",3.08%
"Dec. 17, 2019",3.89%
"Dec. 16, 2019",4.10%
"Dec. 13, 2019",5.33%
"Dec. 12, 2019",5.46%
"Dec. 11, 2019",4.94%
"Dec. 10, 2019",5.46%
"Dec. 9, 2019",5.87%
"Dec. 6, 2019",5.73%
"Dec. 5, 2019",5.64%
"Dec. 4, 2019",5.86%
"Dec. 3, 2019",6.24%
"Dec. 2, 2019",6.41%
"Nov. 29, 2019",5.28%
"Nov. 27, 2019",4.18%
"Nov. 26, 2019",5.08%
"Nov. 25, 2019",5.69%
"Nov. 22, 2019",4.69%
"Nov. 21, 2019",5.77%
"Nov. 20, 2019",4.60%
"Nov. 19, 2019",6.60%
"Nov. 18, 2019",6.98%
"Nov. 15, 2019",6.00%
"Nov. 14, 2019",6.05%
"Nov. 13, 2019",6.06%
"Nov. 12, 2019",8.08%
"Nov. 11, 2019",8.36%
"Nov. 8, 2019",9.09%
"Nov. 7, 2019",8.70%
"Nov. 6, 2019",6.60%
"Nov. 5, 2019",6.46%
"Nov. 4, 2019",5.49%
"Nov. 1, 2019",3.12%
"Oct. 31, 2019",0.91%
"Oct. 30, 2019",-1.02%
"Oct. 29, 2019",0.06%
"Oct. 28, 2019",0.94%
"Oct. 25, 2019",-0.11%
"Oct. 24, 2019",-1.09%
"Oct. 23, 2019",-1.25%
"Oct. 22, 2019",-1.18%
"Oct. 21, 2019",-1.42%
"Oct. 18, 2019",-1.63%
"Oct. 17, 2019",-1.06%
"Oct. 16, 2019",-0.15%
"Oct. 15, 2019",-0.39%
"Oct. 14, 2019",-1.39%
"Oct. 11, 2019",-2.57%
"Oct. 10, 2019",-2.60%
"Oct. 9, 2019",-2.36%
"Oct. 8, 2019",-2.52%
"Oct. 7, 2019",-3.74%
"Oct. 4, 2019",-4.81%
"Oct. 3, 2019",-3.13%
"Oct. 2, 2019",-2.84%
"Oct. 1, 2019",-4.93%
"Sept. 30, 2019",-5.21%
"Sept. 27, 2019",-5.07%
"Sept. 26, 2019",-7.22%
"Sept. 25, 2019",-7.11%
"Sept. 24, 2019",-6.27%
"Sept. 23, 2019",-5.21%
"Sept. 20, 2019",-6.02%
"Sept. 19, 2019",-5.32%
"Sept. 18, 2019",-5.30%
"Sept. 17, 2019",-4.60%
"Sept. 16, 2019",-3.35%
"Sept. 13, 2019",-4.03%
"Sept. 12, 2019",-4.66%
"Sept. 11, 2019",-3.55%
"Sept. 10, 2019",-2.59%
"Sept. 9, 2019",-3.43%
"Sept. 6, 2019",-4.16%
"Sept. 5, 2019",-4.84%
"Sept. 4, 2019",-5.91%
"Sept. 3, 2019",-6.03%
"Aug. 30, 2019",-5.29%
"Aug. 29, 2019",-5.15%
"Aug. 28, 2019",-4.94%
"Aug. 27, 2019",-4.81%
"Aug. 26, 2019",-4.60%
