date,cash_operations_ttm
"Dec. 31, 2019",366.62M
"Sept. 30, 2019",412.70M
"June 30, 2019",461.28M
"March 31, 2019",456.89M
"Dec. 31, 2018",491.63M
"Sept. 30, 2018",455.14M
"June 30, 2018",442.59M
"March 31, 2018",413.20M
"Dec. 31, 2017",435.16M
"Sept. 30, 2017",414.74M
"June 30, 2017",395.30M
"March 31, 2017",391.72M
"Dec. 31, 2016",344.20M
"Sept. 30, 2016",337.79M
"June 30, 2016",320.11M
"March 31, 2016",313.92M
"Dec. 31, 2015",353.19M
"Sept. 30, 2015",339.34M
"June 30, 2015",372.01M
"March 31, 2015",372.85M
"Dec. 31, 2014",364.34M
"Sept. 30, 2014",373.73M
"June 30, 2014",354.65M
"March 31, 2014",348.51M
"Dec. 31, 2013",305.55M
"Sept. 30, 2013",315.43M
"June 30, 2013",280.44M
"March 31, 2013",265.60M
"Dec. 31, 2012",249.27M
"Sept. 30, 2012",256.82M
"June 30, 2012",236.39M
"March 31, 2012",254.67M
"Dec. 31, 2011",310.24M
"Sept. 30, 2011",317.78M
"June 30, 2011",275.08M
"March 31, 2011",298.17M
"Dec. 31, 2010",305.40M
"Sept. 30, 2010",284.43M
"June 30, 2010",361.01M
"March 31, 2010",340.52M
"Dec. 31, 2009",284.42M
"Sept. 30, 2009",243.63M
"June 30, 2009",193.65M
"March 31, 2009",159.95M
"Dec. 31, 2008",136.51M
"Sept. 30, 2008",148.81M
"June 30, 2008",92.64M
"March 31, 2008",80.50M
"Dec. 31, 2007",80.60M
"Sept. 30, 2007",47.13M
"June 30, 2007",64.73M
"March 31, 2007",124.54M
"Dec. 31, 2006",169.78M
"Sept. 30, 2006",210.16M
"June 30, 2006",242.01M
"March 31, 2006",184.16M
"Dec. 31, 2005",161.50M
"Sept. 30, 2005",162.35M
"June 30, 2005",170.63M
"March 31, 2005",180.38M
"Dec. 31, 2004",194.70M
"Sept. 30, 2004",209.19M
"June 30, 2004",265.30M
"March 31, 2004",275.25M
"Dec. 31, 2003",312.85M
"Sept. 30, 2003",362.60M
"June 30, 2003",361.02M
"March 31, 2003",334.92M
"Dec. 31, 2002",348.42M
"Sept. 30, 2002",264.00M
"June 30, 2002",126.00M
"March 31, 2002",228.00M
"Dec. 31, 2001",-8.00M
"Sept. 30, 2001",1.309M
"June 30, 2001",27.35M
"March 31, 2001",-39.93M
"Dec. 31, 2000",134.00M
"Sept. 30, 2000",165.94M
"June 30, 2000",243.20M
"March 31, 2000",230.81M
"Dec. 31, 1999",231.00M
"Sept. 30, 1999",208.03M
"June 30, 1999",167.10M
"March 31, 1999",174.16M
"Dec. 31, 1998",169.89M
"Sept. 30, 1998",172.10M
"June 30, 1998",180.57M
"March 31, 1998",155.94M
"Dec. 31, 1997",171.73M
"Sept. 30, 1997",168.97M
"June 30, 1997",160.42M
"March 31, 1997",176.02M
"Dec. 31, 1996",174.42M
"Sept. 30, 1996",179.30M
"June 30, 1996",185.56M
"March 31, 1996",180.29M
"Dec. 31, 1995",168.43M
"Sept. 30, 1995",153.72M
"June 30, 1995",140.25M
"March 31, 1995",130.54M
"Dec. 31, 1994",125.66M
