date,operating_earning_yield
"March 19, 2020",6.78%
"March 18, 2020",6.19%
"March 17, 2020",6.03%
"March 16, 2020",6.96%
"March 13, 2020",6.34%
"March 12, 2020",6.82%
"March 11, 2020",5.94%
"March 10, 2020",5.63%
"March 9, 2020",5.65%
"March 6, 2020",5.30%
"March 5, 2020",5.37%
"March 4, 2020",5.33%
"March 3, 2020",5.64%
"March 2, 2020",5.57%
"Feb. 28, 2020",5.88%
"Feb. 27, 2020",5.51%
"Feb. 26, 2020",5.29%
"Feb. 25, 2020",5.22%
"Feb. 24, 2020",5.11%
"Feb. 21, 2020",5.08%
"Feb. 20, 2020",5.09%
"Feb. 19, 2020",5.08%
"Feb. 18, 2020",5.03%
"Feb. 14, 2020",5.08%
"Feb. 13, 2020",5.12%
"Feb. 12, 2020",5.18%
"Feb. 11, 2020",5.16%
"Feb. 10, 2020",5.16%
"Feb. 7, 2020",5.19%
"Feb. 6, 2020",5.14%
"Feb. 5, 2020",5.14%
"Feb. 4, 2020",5.15%
"Feb. 3, 2020",5.05%
"Jan. 31, 2020",5.07%
"Jan. 30, 2020",5.02%
"Jan. 29, 2020",5.07%
"Jan. 28, 2020",5.09%
"Jan. 27, 2020",5.09%
"Jan. 24, 2020",5.07%
"Jan. 23, 2020",5.11%
"Jan. 22, 2020",5.16%
"Jan. 21, 2020",5.18%
"Jan. 17, 2020",5.21%
"Jan. 16, 2020",5.24%
"Jan. 15, 2020",5.26%
"Jan. 14, 2020",5.31%
"Jan. 13, 2020",5.31%
"Jan. 10, 2020",5.38%
"Jan. 9, 2020",5.39%
"Jan. 8, 2020",5.43%
"Jan. 7, 2020",5.41%
"Jan. 6, 2020",5.38%
"Jan. 3, 2020",5.38%
"Jan. 2, 2020",5.39%
"Dec. 31, 2019",5.32%
"Dec. 30, 2019",5.12%
"Dec. 27, 2019",5.13%
"Dec. 26, 2019",5.15%
"Dec. 24, 2019",5.16%
"Dec. 23, 2019",5.16%
"Dec. 20, 2019",5.07%
"Dec. 19, 2019",5.09%
"Dec. 18, 2019",5.08%
"Dec. 17, 2019",5.12%
"Dec. 16, 2019",5.13%
"Dec. 13, 2019",5.19%
"Dec. 12, 2019",5.20%
"Dec. 11, 2019",5.17%
"Dec. 10, 2019",5.20%
"Dec. 9, 2019",5.24%
"Dec. 6, 2019",5.23%
"Dec. 5, 2019",5.23%
"Dec. 4, 2019",5.24%
"Dec. 3, 2019",5.26%
"Dec. 2, 2019",5.27%
"Nov. 29, 2019",5.21%
"Nov. 27, 2019",5.16%
"Nov. 26, 2019",5.20%
"Nov. 25, 2019",5.23%
"Nov. 22, 2019",5.18%
"Nov. 21, 2019",5.23%
"Nov. 20, 2019",5.18%
"Nov. 19, 2019",5.28%
"Nov. 18, 2019",5.29%
"Nov. 15, 2019",5.25%
"Nov. 14, 2019",5.25%
"Nov. 13, 2019",5.25%
"Nov. 12, 2019",5.35%
"Nov. 11, 2019",5.36%
"Nov. 8, 2019",5.32%
"Nov. 7, 2019",5.30%
"Nov. 6, 2019",5.20%
"Nov. 5, 2019",5.19%
"Nov. 4, 2019",5.15%
"Nov. 1, 2019",5.07%
"Oct. 31, 2019",5.09%
"Oct. 30, 2019",5.03%
"Oct. 29, 2019",5.08%
"Oct. 28, 2019",5.12%
"Oct. 25, 2019",5.07%
"Oct. 24, 2019",5.02%
"Oct. 23, 2019",5.01%
"Oct. 22, 2019",5.02%
"Oct. 21, 2019",5.00%
"Oct. 18, 2019",4.99%
"Oct. 17, 2019",5.02%
"Oct. 16, 2019",5.05%
"Oct. 15, 2019",5.04%
"Oct. 14, 2019",4.99%
"Oct. 11, 2019",4.93%
"Oct. 10, 2019",4.93%
"Oct. 9, 2019",4.94%
"Oct. 8, 2019",4.95%
"Oct. 7, 2019",4.89%
"Oct. 4, 2019",4.83%
"Oct. 3, 2019",4.92%
"Oct. 2, 2019",4.93%
"Oct. 1, 2019",4.87%
"Sept. 30, 2019",4.86%
"Sept. 27, 2019",4.88%
"Sept. 26, 2019",4.85%
"Sept. 25, 2019",4.86%
"Sept. 24, 2019",4.90%
"Sept. 23, 2019",4.96%
"Sept. 20, 2019",4.94%
"Sept. 19, 2019",4.98%
"Sept. 18, 2019",4.98%
"Sept. 17, 2019",5.02%
"Sept. 16, 2019",5.08%
"Sept. 13, 2019",5.05%
"Sept. 12, 2019",5.01%
"Sept. 11, 2019",5.07%
"Sept. 10, 2019",5.12%
"Sept. 9, 2019",5.08%
"Sept. 6, 2019",5.04%
"Sept. 5, 2019",5.00%
"Sept. 4, 2019",4.95%
"Sept. 3, 2019",4.94%
"Aug. 30, 2019",5.00%
"Aug. 29, 2019",5.01%
"Aug. 28, 2019",5.02%
"Aug. 27, 2019",5.03%
"Aug. 26, 2019",5.04%
"Aug. 23, 2019",5.07%
