date,beneish_m_score
"Dec. 31, 2019",-2.553
"Dec. 31, 2018",-2.690
"Dec. 31, 2017",-2.707
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",
"Dec. 31, 2013",
"Dec. 31, 2012",
"Dec. 31, 2011",
"Dec. 31, 2010",
"Dec. 31, 2009",-2.611
"Dec. 31, 2008",
"Dec. 31, 2007",
"Dec. 31, 2006",
"Dec. 31, 2005",
"Dec. 31, 2004",
"Dec. 31, 2003",
"Dec. 31, 2002",
"Dec. 31, 2001",-1.56
"Dec. 31, 2000",-2.033
