date,days_inventory_outstanding
"Dec. 31, 2019",29.45
"Sept. 30, 2019",25.04
"June 30, 2019",29.28
"March 31, 2019",22.50
"Dec. 31, 2018",25.49
"Sept. 30, 2018",23.28
"June 30, 2018",27.49
"March 31, 2018",25.85
"Dec. 31, 2017",27.77
"Sept. 30, 2017",23.84
"June 30, 2017",29.11
"March 31, 2017",27.31
"Dec. 31, 2016",28.41
"Sept. 30, 2016",24.61
"June 30, 2016",29.52
"March 31, 2016",29.03
"Dec. 31, 2015",28.75
"Sept. 30, 2015",24.41
"June 30, 2015",26.46
"March 31, 2015",27.70
"Dec. 31, 2014",24.35
"Sept. 30, 2014",22.51
"June 30, 2014",26.09
"March 31, 2014",25.54
"Dec. 31, 2013",23.14
"Sept. 30, 2013",22.18
"June 30, 2013",29.77
"March 31, 2013",30.11
"Dec. 31, 2012",41.87
"Sept. 30, 2012",54.53
"June 30, 2012",64.96
"March 31, 2012",44.71
"Dec. 31, 2011",14.36
"Sept. 30, 2011",80.89
"June 30, 2011",102.22
"March 31, 2011",74.86
"Dec. 31, 2010",20.54
"Sept. 30, 2010",61.83
"June 30, 2010",71.84
"March 31, 2010",59.72
"Dec. 31, 2009",104.01
"Sept. 30, 2009",48.21
"June 30, 2009",74.29
"March 31, 2009",65.76
"Dec. 31, 2008",89.95
"Sept. 30, 2008",59.13
"June 30, 2008",75.39
"March 31, 2008",83.02
"Dec. 31, 2007",83.84
"Sept. 30, 2007",50.30
"June 30, 2007",80.00
"March 31, 2007",84.43
"Dec. 31, 2006",57.08
"Sept. 30, 2006",35.49
"June 30, 2006",
"March 31, 2006",32.69
"Dec. 31, 2005",44.14
"Sept. 30, 2005",35.43
"June 30, 2005",54.68
"March 31, 2005",55.32
"Dec. 31, 2004",52.87
"Sept. 30, 2004",29.25
"June 30, 2004",36.78
"March 31, 2004",46.77
"Dec. 31, 2003",19.76
"Sept. 30, 2003",25.60
"June 30, 2003",52.01
"March 31, 2003",71.99
"Dec. 31, 2002",13.19
"Sept. 30, 2002",41.48
"June 30, 2002",33.14
"March 31, 2002",55.06
"Dec. 31, 2001",-34.46
"Sept. 30, 2001",12.52
"June 30, 2001",27.84
"March 31, 2001",36.53
"Dec. 31, 2000",28.38
"Sept. 30, 2000",29.04
"June 30, 2000",36.15
"March 31, 2000",88.56
"Dec. 31, 1999",78.59
"Sept. 30, 1999",57.99
"June 30, 1999",90.41
"March 31, 1999",88.64
"Dec. 31, 1998",51.00
"Sept. 30, 1998",28.41
"June 30, 1998",87.03
"March 31, 1998",75.59
"Dec. 31, 1997",-80.44
"Sept. 30, 1997",32.82
"June 30, 1997",76.63
"March 31, 1997",99.46
"Dec. 31, 1996",87.67
"Sept. 30, 1996",76.47
"June 30, 1996",166.68
"March 31, 1996",221.95
"Dec. 31, 1995",123.88
"Sept. 30, 1995",87.89
"June 30, 1995",196.60
"March 31, 1995",151.57
"Dec. 31, 1994",107.68
"Sept. 30, 1994",57.56
"June 30, 1994",85.79
