date,long_term_debt
"Dec. 31, 2019",1.737B
"Sept. 30, 2019",1.836B
"June 30, 2019",1.836B
"March 31, 2019",1.835B
"Dec. 31, 2018",1.835B
"Sept. 30, 2018",1.834B
"June 30, 2018",1.834B
"March 31, 2018",1.834B
"Dec. 31, 2017",1.746B
"Sept. 30, 2017",1.746B
"June 30, 2017",1.745B
"March 31, 2017",1.745B
"Dec. 31, 2016",1.745B
"Sept. 30, 2016",1.746B
"June 30, 2016",1.745B
"March 31, 2016",1.744B
"Dec. 31, 2015",1.725B
"Sept. 30, 2015",1.742B
"June 30, 2015",1.742B
"March 31, 2015",1.742B
"Dec. 31, 2014",1.599B
"Sept. 30, 2014",1.614B
"June 30, 2014",1.614B
"March 31, 2014",1.614B
"Dec. 31, 2013",1.615B
"Sept. 30, 2013",1.615B
"June 30, 2013",1.615B
"March 31, 2013",1.536B
"Dec. 31, 2012",1.467B
"Sept. 30, 2012",1.537B
"June 30, 2012",1.537B
"March 31, 2012",1.487B
"Dec. 31, 2011",1.388B
"Sept. 30, 2011",1.487B
"June 30, 2011",1.487B
"March 31, 2011",1.487B
"Dec. 31, 2010",1.488B
"Sept. 30, 2010",1.488B
"June 30, 2010",1.289B
"March 31, 2010",1.290B
"Dec. 31, 2009",1.410B
"Sept. 30, 2009",1.283B
"June 30, 2009",1.284B
"March 31, 2009",1.280B
"Dec. 31, 2008",1.183B
"Sept. 30, 2008",1.273B
"June 30, 2008",1.153B
"March 31, 2008",1.155B
"Dec. 31, 2007",1.157B
"Sept. 30, 2007",1.061B
"June 30, 2007",1.065B
"March 31, 2007",926.93M
"Dec. 31, 2006",928.65M
"Sept. 30, 2006",1.014B
"June 30, 2006",1.016B
"March 31, 2006",1.021B
"Dec. 31, 2005",1.024B
"Sept. 30, 2005",1.029B
"June 30, 2005",972.11M
"March 31, 2005",977.56M
"Dec. 31, 2004",979.55M
"Sept. 30, 2004",985.49M
"June 30, 2004",995.21M
"March 31, 2004",1.019B
"Dec. 31, 2003",945.83M
"Sept. 30, 2003",951.96M
"June 30, 2003",923.72M
"March 31, 2003",868.92M
"Dec. 31, 2002",898.68M
"Sept. 30, 2002",702.00M
"June 30, 2002",706.00M
"March 31, 2002",791.00M
"Dec. 31, 2001",843.00M
"Sept. 30, 2001",870.14M
"June 30, 2001",899.62M
"March 31, 2001",905.02M
"Dec. 31, 2000",864.00M
"Sept. 30, 2000",783.48M
"June 30, 2000",821.07M
"March 31, 2000",824.14M
"Dec. 31, 1999",822.00M
"Sept. 30, 1999",741.85M
"June 30, 1999",738.55M
"March 31, 1999",734.76M
"Dec. 31, 1998",815.94M
"Sept. 30, 1998",816.04M
"June 30, 1998",749.88M
"March 31, 1998",750.12M
"Dec. 31, 1997",746.14M
"Sept. 30, 1997",706.33M
"June 30, 1997",738.56M
"March 31, 1997",738.55M
"Dec. 31, 1996",738.55M
"Sept. 30, 1996",710.24M
"June 30, 1996",681.63M
"March 31, 1996",682.62M
"Dec. 31, 1995",672.62M
"Sept. 30, 1995",672.61M
"June 30, 1995",673.06M
"March 31, 1995",693.21M
"Dec. 31, 1994",693.21M
"Sept. 30, 1994",693.20M
"June 30, 1994",693.64M
"March 31, 1994",693.79M
