date,shareholders_equity
"Dec. 31, 2019",2.465B
"Sept. 30, 2019",2.464B
"June 30, 2019",2.404B
"March 31, 2019",2.380B
"Dec. 31, 2018",2.370B
"Sept. 30, 2018",2.368B
"June 30, 2018",2.293B
"March 31, 2018",2.257B
"Dec. 31, 2017",2.251B
"Sept. 30, 2017",2.248B
"June 30, 2017",2.183B
"March 31, 2017",2.159B
"Dec. 31, 2016",2.154B
"Sept. 30, 2016",2.149B
"June 30, 2016",2.090B
"March 31, 2016",2.058B
"Dec. 31, 2015",2.058B
"Sept. 30, 2015",2.050B
"June 30, 2015",1.998B
"March 31, 2015",1.954B
"Dec. 31, 2014",1.953B
"Sept. 30, 2014",1.949B
"June 30, 2014",1.882B
"March 31, 2014",1.858B
"Dec. 31, 2013",1.851B
"Sept. 30, 2013",1.860B
"June 30, 2013",1.804B
"March 31, 2013",1.775B
"Dec. 31, 2012",1.742B
"Sept. 30, 2012",1.770B
"June 30, 2012",1.692B
"March 31, 2012",1.671B
"Dec. 31, 2011",1.658B
"Sept. 30, 2011",1.657B
"June 30, 2011",1.563B
"March 31, 2011",1.550B
"Dec. 31, 2010",1.532B
"Sept. 30, 2010",1.517B
"June 30, 2010",1.430B
"March 31, 2010",1.403B
"Dec. 31, 2009",1.397B
"Sept. 30, 2009",1.380B
"June 30, 2009",1.326B
"March 31, 2009",1.309B
"Dec. 31, 2008",1.302B
"Sept. 30, 2008",1.271B
"June 30, 2008",1.225B
"March 31, 2008",1.217B
"Dec. 31, 2007",1.207B
"Sept. 30, 2007",1.208B
"June 30, 2007",1.169B
"March 31, 2007",1.153B
"Dec. 31, 2006",1.124B
"Sept. 30, 2006",1.087B
"June 30, 2006",1.049B
"March 31, 2006",1.041B
"Dec. 31, 2005",1.025B
"Sept. 30, 2005",1.016B
"June 30, 2005",1.016B
"March 31, 2005",1.018B
"Dec. 31, 2004",1.008B
"Sept. 30, 2004",887.14M
"June 30, 2004",925.27M
"March 31, 2004",924.02M
"Dec. 31, 2003",916.65M
"Sept. 30, 2003",921.97M
"June 30, 2003",893.09M
"March 31, 2003",908.83M
"Dec. 31, 2002",928.22M
"Sept. 30, 2002",946.00M
"June 30, 2002",974.00M
"March 31, 2002",986.00M
"Dec. 31, 2001",975.00M
"Sept. 30, 2001",969.54M
"June 30, 2001",952.28M
"March 31, 2001",933.52M
"Dec. 31, 2000",926.00M
"Sept. 30, 2000",915.85M
"June 30, 2000",897.43M
"March 31, 2000",883.18M
"Dec. 31, 1999",859.00M
"Sept. 30, 1999",855.26M
"June 30, 1999",851.64M
"March 31, 1999",848.01M
"Dec. 31, 1998",836.36M
"Sept. 30, 1998",836.25M
"June 30, 1998",831.53M
"March 31, 1998",828.64M
"Dec. 31, 1997",818.52M
"Sept. 30, 1997",799.02M
"June 30, 1997",814.29M
"March 31, 1997",794.95M
"Dec. 31, 1996",801.55M
"Sept. 30, 1996",811.19M
"June 30, 1996",829.01M
"March 31, 1996",807.95M
"Dec. 31, 1995",814.96M
"Sept. 30, 1995",792.03M
"June 30, 1995",805.27M
"March 31, 1995",789.72M
"Dec. 31, 1994",806.26M
"Sept. 30, 1994",784.85M
"June 30, 1994",805.44M
"March 31, 1994",783.66M
