date,price_target_upside
"March 19, 2020",21.93%
"March 18, 2020",15.09%
"March 17, 2020",12.81%
"March 16, 2020",32.57%
"March 13, 2020",14.81%
"March 12, 2020",20.76%
"March 11, 2020",8.38%
"March 10, 2020",6.12%
"March 9, 2020",7.41%
"March 6, 2020",2.18%
"March 5, 2020",1.35%
"March 4, 2020",0.17%
"March 3, 2020",4.19%
"March 2, 2020",2.63%
"Feb. 28, 2020",11.03%
"Feb. 27, 2020",7.53%
"Feb. 26, 2020",1.43%
"Feb. 25, 2020",2.58%
"Feb. 24, 2020",1.05%
"Feb. 21, 2020",0.44%
"Feb. 20, 2020",0.16%
"Feb. 19, 2020",-0.09%
"Feb. 18, 2020",-1.52%
"Feb. 14, 2020",-1.57%
"Feb. 13, 2020",-1.87%
"Feb. 12, 2020",-0.51%
"Feb. 11, 2020",-0.15%
"Feb. 10, 2020",0.19%
"Feb. 7, 2020",0.65%
"Feb. 6, 2020",1.17%
"Feb. 5, 2020",1.77%
"Feb. 4, 2020",2.28%
"Feb. 3, 2020",1.83%
"Jan. 31, 2020",1.94%
"Jan. 30, 2020",2.13%
"Jan. 29, 2020",3.24%
"Jan. 28, 2020",3.60%
"Jan. 27, 2020",3.88%
"Jan. 24, 2020",1.65%
"Jan. 23, 2020",1.76%
"Jan. 22, 2020",2.26%
"Jan. 21, 2020",1.93%
"Jan. 17, 2020",1.93%
"Jan. 16, 2020",2.62%
"Jan. 15, 2020",2.94%
"Jan. 14, 2020",3.54%
"Jan. 13, 2020",3.51%
"Jan. 10, 2020",4.35%
"Jan. 9, 2020",4.92%
"Jan. 8, 2020",5.32%
"Jan. 7, 2020",4.95%
"Jan. 6, 2020",5.16%
"Jan. 3, 2020",5.25%
"Jan. 2, 2020",5.30%
"Dec. 31, 2019",4.27%
"Dec. 30, 2019",4.69%
"Dec. 27, 2019",5.15%
"Dec. 26, 2019",6.07%
"Dec. 24, 2019",5.92%
"Dec. 23, 2019",6.07%
"Dec. 20, 2019",4.68%
"Dec. 19, 2019",6.23%
"Dec. 18, 2019",5.42%
"Dec. 17, 2019",6.01%
"Dec. 16, 2019",5.80%
"Dec. 13, 2019",6.95%
"Dec. 12, 2019",7.39%
"Dec. 11, 2019",7.05%
"Dec. 10, 2019",7.36%
"Dec. 9, 2019",6.85%
"Dec. 6, 2019",6.51%
"Dec. 5, 2019",6.65%
"Dec. 4, 2019",7.70%
"Dec. 3, 2019",8.50%
"Dec. 2, 2019",8.69%
"Nov. 29, 2019",7.63%
"Nov. 27, 2019",7.85%
"Nov. 26, 2019",7.92%
"Nov. 25, 2019",7.86%
"Nov. 22, 2019",6.85%
"Nov. 21, 2019",6.73%
"Nov. 20, 2019",6.44%
"Nov. 19, 2019",6.47%
"Nov. 18, 2019",6.19%
"Nov. 15, 2019",4.52%
"Nov. 14, 2019",4.64%
"Nov. 13, 2019",5.96%
"Nov. 12, 2019",7.93%
"Nov. 11, 2019",8.09%
"Nov. 8, 2019",9.52%
"Nov. 7, 2019",8.31%
"Nov. 6, 2019",6.98%
"Nov. 5, 2019",7.84%
"Nov. 4, 2019",6.23%
"Nov. 1, 2019",4.49%
"Oct. 31, 2019",4.03%
"Oct. 30, 2019",4.19%
"Oct. 29, 2019",5.69%
"Oct. 28, 2019",6.25%
"Oct. 25, 2019",4.13%
"Oct. 24, 2019",2.92%
"Oct. 23, 2019",3.49%
"Oct. 22, 2019",3.50%
"Oct. 21, 2019",4.03%
"Oct. 18, 2019",3.98%
"Oct. 17, 2019",5.10%
"Oct. 16, 2019",4.99%
"Oct. 15, 2019",5.21%
"Oct. 14, 2019",4.54%
"Oct. 11, 2019",3.50%
"Oct. 10, 2019",3.77%
"Oct. 9, 2019",3.12%
"Oct. 8, 2019",3.01%
"Oct. 7, 2019",1.03%
"Oct. 4, 2019",0.07%
"Oct. 3, 2019",1.38%
"Oct. 2, 2019",1.06%
"Oct. 1, 2019",-0.83%
"Sept. 30, 2019",-1.31%
"Sept. 27, 2019",-1.25%
"Sept. 26, 2019",-1.72%
"Sept. 25, 2019",-1.57%
"Sept. 24, 2019",-1.05%
"Sept. 23, 2019",-0.38%
"Sept. 20, 2019",-0.68%
"Sept. 19, 2019",-0.20%
"Sept. 18, 2019",0.03%
"Sept. 17, 2019",1.24%
"Sept. 16, 2019",1.51%
"Sept. 13, 2019",2.48%
"Sept. 12, 2019",2.83%
"Sept. 11, 2019",4.99%
"Sept. 10, 2019",5.78%
"Sept. 9, 2019",4.42%
"Sept. 6, 2019",3.03%
"Sept. 5, 2019",1.55%
"Sept. 4, 2019",-0.20%
"Sept. 3, 2019",-0.73%
"Aug. 30, 2019",0.67%
"Aug. 29, 2019",0.67%
"Aug. 28, 2019",2.53%
"Aug. 27, 2019",2.53%
"Aug. 26, 2019",2.40%
"Aug. 23, 2019",3.10%
"Aug. 22, 2019",1.10%
"Aug. 21, 2019",0.97%
"Aug. 20, 2019",1.31%
"Aug. 19, 2019",0.91%
"Aug. 16, 2019",1.34%
"Aug. 15, 2019",2.56%
"Aug. 14, 2019",3.32%
"Aug. 13, 2019",1.62%
"Aug. 12, 2019",1.45%
"Aug. 9, 2019",1.00%
"Aug. 8, 2019",1.49%
"Aug. 7, 2019",2.97%
"Aug. 6, 2019",3.27%
"Aug. 5, 2019",3.32%
"Aug. 2, 2019",2.50%
"Aug. 1, 2019",0.94%
"July 31, 2019",2.21%
"July 30, 2019",1.51%
"July 29, 2019",0.67%
"July 26, 2019",0.89%
"July 25, 2019",1.34%
"July 24, 2019",0.48%
"July 23, 2019",0.75%
"July 22, 2019",0.68%
"July 19, 2019",-0.24%
"July 18, 2019",-1.76%
"July 17, 2019",-1.22%
"July 16, 2019",-0.56%
"July 15, 2019",-0.77%
"July 12, 2019",-0.60%
"July 11, 2019",-1.28%
"July 10, 2019",-1.24%
"July 9, 2019",-1.19%
"July 8, 2019",-1.01%
"July 5, 2019",-0.98%
"July 3, 2019",-1.07%
"July 2, 2019",-0.26%
"July 1, 2019",0.65%
"June 28, 2019",0.79%
"June 27, 2019",1.41%
"June 26, 2019",1.30%
"June 25, 2019",-1.15%
"June 24, 2019",-1.56%
"June 21, 2019",-2.91%
"June 20, 2019",-2.79%
"June 19, 2019",-2.21%
