date,ni_per_employee_annual
"Dec. 31, 2019",91184.41
"Dec. 31, 2018",93393.69
"Dec. 31, 2017",60658.78
"Dec. 31, 2016",76124.97
"Dec. 31, 2015",73882.96
"Dec. 31, 2014",68722.88
"Dec. 31, 2013",32796.19
"Dec. 31, 2012",-105754.6
"Dec. 31, 2011",55221.58
"Dec. 31, 2010",14438.56
"Dec. 31, 2009",63406.55
"Dec. 31, 2008",65078.26
"Dec. 31, 2007",68449.91
"Dec. 31, 2006",60361.95
"Dec. 31, 2005",65428.63
"Dec. 31, 2004",62213.87
"Dec. 31, 2003",69634.55
"Dec. 31, 2002",51458.21
"Dec. 31, 2001",63425.52
"Dec. 31, 2000",62236.23
"Dec. 31, 1999",52051.09
"Dec. 31, 1998",49554.46
