date,assets
"Dec. 31, 2019",28.93B
"Sept. 30, 2019",28.55B
"June 30, 2019",28.10B
"March 31, 2019",27.51B
"Dec. 31, 2018",27.22B
"Sept. 30, 2018",26.96B
"June 30, 2018",26.64B
"March 31, 2018",26.08B
"Dec. 31, 2017",25.94B
"Sept. 30, 2017",25.62B
"June 30, 2017",25.25B
"March 31, 2017",24.81B
"Dec. 31, 2016",24.70B
"Sept. 30, 2016",24.13B
"June 30, 2016",23.79B
"March 31, 2016",23.38B
"Dec. 31, 2015",23.64B
"Sept. 30, 2015",23.46B
"June 30, 2015",23.15B
"March 31, 2015",22.88B
"Dec. 31, 2014",22.29B
"Sept. 30, 2014",21.88B
"June 30, 2014",21.59B
"March 31, 2014",21.17B
"Dec. 31, 2013",21.04B
"Sept. 30, 2013",22.38B
"June 30, 2013",22.28B
"March 31, 2013",21.95B
"Dec. 31, 2012",22.23B
"Sept. 30, 2012",23.50B
"June 30, 2012",22.98B
"March 31, 2012",22.90B
"Dec. 31, 2011",23.64B
"Sept. 30, 2011",23.36B
"June 30, 2011",23.39B
"March 31, 2011",23.33B
"Dec. 31, 2010",23.51B
"June 30, 2010",23.92B
"March 31, 2010",23.69B
"Dec. 31, 2009",23.70B
"Sept. 30, 2009",23.59B
"June 30, 2009",23.19B
"March 31, 2009",23.07B
"Dec. 31, 2008",22.67B
"Sept. 30, 2008",21.48B
"June 30, 2008",21.64B
"March 31, 2008",20.76B
"Dec. 31, 2007",20.73B
"Sept. 30, 2007",20.40B
"June 30, 2007",20.53B
"March 31, 2007",19.63B
"Dec. 31, 2006",19.58B
"Sept. 30, 2006",18.83B
"June 30, 2006",18.45B
"March 31, 2006",18.31B
"Dec. 31, 2005",18.17B
"Sept. 30, 2005",18.09B
"June 30, 2005",17.49B
"March 31, 2005",17.33B
"Dec. 31, 2004",17.45B
"Sept. 30, 2004",17.76B
"June 30, 2004",14.68B
"March 31, 2004",14.64B
"Dec. 31, 2003",14.24B
"Sept. 30, 2003",13.54B
"June 30, 2003",13.46B
"March 31, 2003",13.59B
"Dec. 31, 2002",12.15B
"Sept. 30, 2002",11.21B
"June 30, 2002",10.71B
"March 31, 2002",10.40B
"Dec. 31, 2001",10.40B
"Sept. 30, 2001",10.28B
"June 30, 2001",10.06B
"March 31, 2001",9.667B
"Dec. 31, 2000",9.714B
"Sept. 30, 2000",9.622B
"June 30, 2000",9.312B
"March 31, 2000",9.315B
"Dec. 31, 1999",9.178B
"Sept. 30, 1999",9.259B
"June 30, 1999",8.937B
"March 31, 1999",8.813B
"Dec. 31, 1998",8.847B
"Sept. 30, 1998",9.122B
"June 30, 1998",8.880B
"March 31, 1998",8.797B
"Dec. 31, 1997",8.828B
