date,market_beta_60_month
"March 31, 2003",-0.0174
"Feb. 28, 2003",0.0152
"Jan. 31, 2003",0.0306
"Dec. 31, 2002",0.0118
"Nov. 30, 2002",0.0241
"Oct. 31, 2002",0.0363
"Sept. 30, 2002",0.0639
"Aug. 31, 2002",0.0468
"July 31, 2002",0.062
"June 30, 2002",0.0713
"May 31, 2002",0.0729
"April 30, 2002",0.0812
"March 31, 2002",0.0531
"Feb. 28, 2002",0.0523
"Jan. 31, 2002",0.0422
"Dec. 31, 2001",0.0348
"Nov. 30, 2001",0.0392
"Oct. 31, 2001",0.0432
"Sept. 30, 2001",0.0451
"Aug. 31, 2001",0.0087
"July 31, 2001",0.0294
"June 30, 2001",0.0434
"May 31, 2001",0.0327
"April 30, 2001",0.036
"March 31, 2001",0.0285
"Feb. 28, 2001",0.0185
"Jan. 31, 2001",0.0435
"Dec. 31, 2000",0.0657
"Nov. 30, 2000",0.0714
"Oct. 31, 2000",0.1682
"Sept. 30, 2000",0.1512
"Aug. 31, 2000",0.1957
"July 31, 2000",0.157
"June 30, 2000",0.1715
"May 31, 2000",0.1748
"April 30, 2000",0.1841
"March 31, 2000",0.2726
"Feb. 29, 2000",0.2445
"Jan. 31, 2000",0.2166
"Dec. 31, 1999",0.2268
"Nov. 30, 1999",0.2467
"Oct. 31, 1999",0.2418
