date,free_cash_flow
"Dec. 31, 2019",-153.00M
"Sept. 30, 2019",152.00M
"June 30, 2019",-93.00M
"March 31, 2019",-178.00M
"Dec. 31, 2018",-135.00M
"Sept. 30, 2018",275.00M
"June 30, 2018",25.00M
"March 31, 2018",-333.00M
"Dec. 31, 2017",-149.00M
"Sept. 30, 2017",257.00M
"June 30, 2017",15.00M
"March 31, 2017",-200.00M
"Dec. 31, 2016",-36.00M
"Sept. 30, 2016",283.00M
"June 30, 2016",-93.00M
"March 31, 2016",-168.00M
"Dec. 31, 2015",-118.00M
"Sept. 30, 2015",273.00M
"June 30, 2015",29.00M
"March 31, 2015",-122.00M
"Dec. 31, 2014",-159.00M
"Sept. 30, 2014",120.00M
"June 30, 2014",-42.00M
"March 31, 2014",-213.00M
"Dec. 31, 2013",-68.00M
"Sept. 30, 2013",169.00M
"June 30, 2013",75.00M
"March 31, 2013",93.00M
"Dec. 31, 2012",42.00M
"Sept. 30, 2012",270.00M
"June 30, 2012",124.00M
"March 31, 2012",100.00M
"Dec. 31, 2011",173.00M
"Sept. 30, 2011",403.00M
"June 30, 2011",52.00M
"March 31, 2011",307.00M
"Dec. 31, 2010",-2.00M
"Sept. 30, 2010",513.00M
"June 30, 2010",134.00M
"March 31, 2010",68.00M
"Dec. 31, 2009",-161.00M
"Sept. 30, 2009",368.00M
"June 30, 2009",-103.00M
"March 31, 2009",89.00M
"Dec. 31, 2008",-321.00M
"Sept. 30, 2008",196.00M
"June 30, 2008",-227.00M
"March 31, 2008",-193.00M
"Dec. 31, 2007",-220.00M
"Sept. 30, 2007",78.00M
"June 30, 2007",-183.00M
"March 31, 2007",-22.00M
"Dec. 31, 2006",-91.00M
"Sept. 30, 2006",232.00M
"June 30, 2006",16.00M
"March 31, 2006",91.00M
"Dec. 31, 2005",-130.00M
"Sept. 30, 2005",135.00M
"June 30, 2005",147.00M
"March 31, 2005",147.00M
"Dec. 31, 2004",134.00M
"Sept. 30, 2004",132.00M
"June 30, 2004",-22.00M
"March 31, 2004",79.00M
"Dec. 31, 2003",-55.00M
"Sept. 30, 2003",297.00M
"June 30, 2003",16.00M
"March 31, 2003",82.00M
"Dec. 31, 2002",-125.00M
"Sept. 30, 2002",214.00M
"June 30, 2002",-17.00M
"March 31, 2002",-54.00M
"Dec. 31, 2001",-285.00M
"Sept. 30, 2001",223.20M
"June 30, 2001",-302.29M
"March 31, 2001",-24.91M
"Dec. 31, 2000",-187.28M
"Sept. 30, 2000",303.52M
"June 30, 2000",-189.32M
"March 31, 2000",-21.59M
"Dec. 31, 1999",-167.00M
"Sept. 30, 1999",384.60M
"June 30, 1999",18.82M
"March 31, 1999",88.48M
"Dec. 31, 1998",38.80M
"Sept. 30, 1998",351.30M
"June 30, 1998",-1.10M
"March 31, 1998",68.90M
