date,cash_financing_ttm
"Dec. 31, 2019",334.00M
"Sept. 30, 2019",326.00M
"June 30, 2019",158.00M
"March 31, 2019",36.00M
"Dec. 31, 2018",205.00M
"Sept. 30, 2018",217.00M
"June 30, 2018",242.00M
"March 31, 2018",255.00M
"Dec. 31, 2017",102.00M
"Sept. 30, 2017",-34.00M
"June 30, 2017",-54.00M
"March 31, 2017",67.00M
"Dec. 31, 2016",-258.00M
"Sept. 30, 2016",63.00M
"June 30, 2016",134.00M
"March 31, 2016",-14.00M
"Dec. 31, 2015",232.00M
"Sept. 30, 2015",22.00M
"June 30, 2015",86.00M
"March 31, 2015",185.00M
"Dec. 31, 2014",127.00M
"Sept. 30, 2014",139.00M
"June 30, 2014",148.00M
"March 31, 2014",20.00M
"Dec. 31, 2013",-149.00M
"Sept. 30, 2013",-415.00M
"June 30, 2013",-286.00M
"March 31, 2013",-412.00M
"Dec. 31, 2012",-426.00M
"Sept. 30, 2012",-590.00M
"June 30, 2012",-853.00M
"March 31, 2012",-957.00M
"Dec. 31, 2011",-1.12B
"Sept. 30, 2011",-907.00M
"June 30, 2011",-1.049B
"March 31, 2011",-755.00M
"Dec. 31, 2010",-804.00M
"Sept. 30, 2010",-512.00M
"June 30, 2010",-155.00M
"March 31, 2010",-111.00M
"Dec. 31, 2009",342.00M
"Sept. 30, 2009",331.00M
"June 30, 2009",196.00M
"March 31, 2009",409.00M
"Dec. 31, 2008",310.00M
"Sept. 30, 2008",477.00M
"June 30, 2008",107.00M
"March 31, 2008",561.00M
"Dec. 31, 2007",584.00M
"Sept. 30, 2007",321.00M
"June 30, 2007",658.00M
"March 31, 2007",-53.00M
"Dec. 31, 2006",28.00M
"Sept. 30, 2006",-118.00M
"June 30, 2006",128.00M
"March 31, 2006",64.00M
"Dec. 31, 2005",-263.00M
"Sept. 30, 2005",-914.00M
"June 30, 2005",-496.00M
"March 31, 2005",-538.00M
"Dec. 31, 2004",95.00M
"Sept. 30, 2004",861.00M
"June 30, 2004",114.00M
"March 31, 2004",12.00M
"Dec. 31, 2003",-358.00M
"Sept. 30, 2003",-322.00M
"June 30, 2003",242.00M
"March 31, 2003",557.00M
"Dec. 31, 2002",531.00M
"Sept. 30, 2002",643.00M
"June 30, 2002",177.37M
"March 31, 2002",364.02M
"Dec. 31, 2001",308.00M
"Sept. 30, 2001",148.20M
"June 30, 2001",204.96M
"March 31, 2001",81.24M
"Dec. 31, 2000",-14.07M
"Sept. 30, 2000",-54.87M
"June 30, 2000",-31.20M
"March 31, 2000",-245.58M
"Dec. 31, 1999",-241.40M
"Sept. 30, 1999",-364.80M
"June 30, 1999",-518.50M
"March 31, 1999",-509.66M
"Dec. 31, 1998",-446.00M
