date,gross_profit_margin
"Dec. 31, 2019",40.65%
"Sept. 30, 2019",54.19%
"June 30, 2019",46.92%
"March 31, 2019",42.54%
"Dec. 31, 2018",36.43%
"Sept. 30, 2018",52.26%
"June 30, 2018",47.66%
"March 31, 2018",39.87%
"Dec. 31, 2017",39.53%
"Sept. 30, 2017",53.57%
"June 30, 2017",47.23%
"March 31, 2017",38.35%
"Dec. 31, 2016",30.38%
"Sept. 30, 2016",55.46%
"June 30, 2016",45.55%
"March 31, 2016",37.73%
"Dec. 31, 2015",34.10%
"Sept. 30, 2015",52.10%
"June 30, 2015",44.40%
"March 31, 2015",36.89%
"Dec. 31, 2014",31.02%
"Sept. 30, 2014",52.04%
"June 30, 2014",43.62%
"March 31, 2014",34.76%
"Dec. 31, 2013",34.27%
"Sept. 30, 2013",52.69%
"June 30, 2013",39.20%
"March 31, 2013",32.68%
"Dec. 31, 2012",31.08%
"Sept. 30, 2012",49.91%
"June 30, 2012",44.37%
"March 31, 2012",31.02%
"Dec. 31, 2011",-681.5%
"Sept. 30, 2011",62.74%
"June 30, 2011",61.43%
"March 31, 2011",53.05%
"Dec. 31, 2010",-50.29%
"Sept. 30, 2010",63.78%
"June 30, 2010",63.07%
"March 31, 2010",53.76%
"Dec. 31, 2009",59.24%
"Sept. 30, 2009",65.90%
"June 30, 2009",65.02%
"March 31, 2009",53.55%
"Dec. 31, 2008",49.54%
"Sept. 30, 2008",56.07%
"June 30, 2008",65.87%
"March 31, 2008",49.64%
"Dec. 31, 2007",52.00%
"Sept. 30, 2007",58.69%
"June 30, 2007",58.91%
"March 31, 2007",68.58%
"Dec. 31, 2006",51.48%
"Sept. 30, 2006",62.98%
"June 30, 2006",59.48%
"March 31, 2006",45.67%
"Dec. 31, 2005",44.86%
"Sept. 30, 2005",61.94%
"June 30, 2005",62.69%
"March 31, 2005",52.62%
"Dec. 31, 2004",55.79%
"Sept. 30, 2004",71.92%
"June 30, 2004",69.19%
"March 31, 2004",60.10%
"Dec. 31, 2003",64.31%
"Sept. 30, 2003",71.40%
"June 30, 2003",70.40%
"March 31, 2003",79.06%
"Dec. 31, 2002",95.02%
"Sept. 30, 2002",77.27%
"June 30, 2002",76.38%
"March 31, 2002",52.91%
"Dec. 31, 2001",
"Sept. 30, 2001",64.49%
"June 30, 2001",
"March 31, 2001",57.08%
"Dec. 31, 2000",60.00%
"Sept. 30, 2000",74.17%
"June 30, 2000",71.29%
"March 31, 2000",63.90%
"Dec. 31, 1999",
"Sept. 30, 1999",
"June 30, 1999",71.16%
"March 31, 1999",67.38%
"Dec. 31, 1998",73.04%
"Sept. 30, 1998",77.37%
"June 30, 1998",72.46%
"March 31, 1998",70.05%
