date,revenue_per_employee_annual
"Dec. 31, 2019",650845.2
"Dec. 31, 2018",720907.6
"Dec. 31, 2017",716075.2
"Dec. 31, 2016",708323.6
"Dec. 31, 2015",715140.1
"Dec. 31, 2014",709862.8
"Dec. 31, 2013",662505.7
"Dec. 31, 2012",627687.3
"Dec. 31, 2011",654146.9
"Dec. 31, 2010",793393.6
"Dec. 31, 2009",739225.0
"Dec. 31, 2008",846447.6
"Dec. 31, 2007",835797.8
"Dec. 31, 2006",759214.3
"Dec. 31, 2005",732023.3
"Dec. 31, 2004",602770.3
"Dec. 31, 2003",607840.5
"Dec. 31, 2002",517410.9
"Dec. 31, 2001",521739.1
"Dec. 31, 2000",524998.2
"Dec. 31, 1999",476262.9
"Dec. 31, 1998",425438.6
