date,price_to_book_value
"March 19, 2020",2.196
"March 18, 2020",2.327
"March 17, 2020",2.374
"March 16, 2020",2.015
"March 13, 2020",2.327
"March 12, 2020",2.212
"March 11, 2020",2.471
"March 10, 2020",2.523
"March 9, 2020",2.493
"March 6, 2020",2.608
"March 5, 2020",2.629
"March 4, 2020",2.660
"March 3, 2020",2.541
"March 2, 2020",2.579
"Feb. 28, 2020",2.414
"Feb. 27, 2020",2.492
"Feb. 26, 2020",2.604
"Feb. 25, 2020",2.553
"Feb. 24, 2020",2.592
"Feb. 21, 2020",2.607
"Feb. 20, 2020",2.617
"Feb. 19, 2020",2.624
"Feb. 18, 2020",2.650
"Feb. 14, 2020",2.652
"Feb. 13, 2020",2.62
"Feb. 12, 2020",2.584
"Feb. 11, 2020",2.575
"Feb. 10, 2020",2.566
"Feb. 7, 2020",2.554
"Feb. 6, 2020",2.541
"Feb. 5, 2020",2.526
"Feb. 4, 2020",2.514
"Feb. 3, 2020",2.525
"Jan. 31, 2020",2.507
"Jan. 30, 2020",2.502
"Jan. 29, 2020",2.475
"Jan. 28, 2020",2.454
"Jan. 27, 2020",2.447
"Jan. 24, 2020",2.456
"Jan. 23, 2020",2.453
"Jan. 22, 2020",2.441
"Jan. 21, 2020",2.445
"Jan. 17, 2020",2.436
"Jan. 16, 2020",2.420
"Jan. 15, 2020",2.389
"Jan. 14, 2020",2.371
"Jan. 13, 2020",2.372
"Jan. 10, 2020",2.353
"Jan. 9, 2020",2.340
"Jan. 8, 2020",2.331
"Jan. 7, 2020",2.335
"Jan. 6, 2020",2.326
"Jan. 3, 2020",2.324
"Jan. 2, 2020",2.323
"Dec. 31, 2019",2.346
"Dec. 30, 2019",2.336
"Dec. 27, 2019",2.328
"Dec. 26, 2019",2.308
"Dec. 24, 2019",2.312
"Dec. 23, 2019",2.308
"Dec. 20, 2019",2.337
"Dec. 19, 2019",2.302
"Dec. 18, 2019",2.320
"Dec. 17, 2019",2.307
"Dec. 16, 2019",2.312
"Dec. 13, 2019",2.289
"Dec. 12, 2019",2.280
"Dec. 11, 2019",2.287
"Dec. 10, 2019",2.276
"Dec. 9, 2019",2.287
"Dec. 6, 2019",2.295
"Dec. 5, 2019",2.292
"Dec. 4, 2019",2.269
"Dec. 3, 2019",2.252
"Dec. 2, 2019",2.248
"Nov. 29, 2019",2.268
"Nov. 27, 2019",2.264
"Nov. 26, 2019",2.262
"Nov. 25, 2019",2.264
"Nov. 22, 2019",2.287
"Nov. 21, 2019",2.295
"Nov. 20, 2019",2.303
"Nov. 19, 2019",2.302
"Nov. 18, 2019",2.311
"Nov. 15, 2019",2.338
"Nov. 14, 2019",2.336
"Nov. 13, 2019",2.306
"Nov. 12, 2019",2.264
"Nov. 11, 2019",2.261
"Nov. 8, 2019",2.252
"Nov. 7, 2019",2.278
"Nov. 6, 2019",2.306
"Nov. 5, 2019",2.288
"Nov. 4, 2019",2.322
"Nov. 1, 2019",2.361
"Oct. 31, 2019",2.371
"Oct. 30, 2019",2.365
"Oct. 29, 2019",2.332
"Oct. 28, 2019",2.312
"Oct. 25, 2019",2.335
"Oct. 24, 2019",2.363
"Oct. 23, 2019",2.350
"Oct. 22, 2019",2.349
"Oct. 21, 2019",2.337
"Oct. 18, 2019",2.336
"Oct. 17, 2019",2.311
"Oct. 16, 2019",2.309
"Oct. 15, 2019",2.311
"Oct. 14, 2019",2.326
"Oct. 11, 2019",2.349
"Oct. 10, 2019",2.343
"Oct. 9, 2019",2.358
"Oct. 8, 2019",2.360
"Oct. 7, 2019",2.407
"Oct. 4, 2019",2.425
"Oct. 3, 2019",2.393
"Oct. 2, 2019",2.401
"Oct. 1, 2019",2.429
"Sept. 30, 2019",2.441
"Sept. 27, 2019",2.524
"Sept. 26, 2019",2.536
"Sept. 25, 2019",2.532
"Sept. 24, 2019",2.510
"Sept. 23, 2019",2.492
"Sept. 20, 2019",2.494
"Sept. 19, 2019",2.482
"Sept. 18, 2019",2.476
"Sept. 17, 2019",2.446
"Sept. 16, 2019",2.435
"Sept. 13, 2019",2.417
"Sept. 12, 2019",2.414
"Sept. 11, 2019",2.359
"Sept. 10, 2019",2.341
"Sept. 9, 2019",2.372
"Sept. 6, 2019",2.404
"Sept. 5, 2019",2.434
"Sept. 4, 2019",2.476
"Sept. 3, 2019",2.476
"Aug. 30, 2019",2.434
"Aug. 29, 2019",2.434
"Aug. 28, 2019",2.390
"Aug. 27, 2019",2.390
"Aug. 26, 2019",2.393
"Aug. 23, 2019",2.377
"Aug. 22, 2019",2.424
"Aug. 21, 2019",2.427
"Aug. 20, 2019",2.419
"Aug. 19, 2019",2.428
"Aug. 16, 2019",2.418
"Aug. 15, 2019",2.392
"Aug. 14, 2019",2.374
"Aug. 13, 2019",2.414
"Aug. 12, 2019",2.418
"Aug. 9, 2019",2.420
"Aug. 8, 2019",2.408
"Aug. 7, 2019",2.373
"Aug. 6, 2019",2.366
"Aug. 5, 2019",2.368
"Aug. 2, 2019",2.390
"Aug. 1, 2019",2.418
"July 31, 2019",2.388
"July 30, 2019",2.404
"July 29, 2019",2.425
"July 26, 2019",2.416
"July 25, 2019",2.406
"July 24, 2019",2.411
"July 23, 2019",2.405
"July 22, 2019",2.407
"July 19, 2019",2.397
"July 18, 2019",2.434
"July 17, 2019",2.421
"July 16, 2019",2.405
"July 15, 2019",2.407
"July 12, 2019",2.403
"July 11, 2019",2.419
"July 10, 2019",2.418
"July 9, 2019",2.417
"July 8, 2019",2.413
"July 5, 2019",2.412
"July 3, 2019",2.414
"July 2, 2019",2.395
"July 1, 2019",2.373
"June 30, 2019",
"June 28, 2019",2.394
"June 27, 2019",2.380
"June 26, 2019",2.382
"June 25, 2019",2.441
"June 24, 2019",2.451
"June 21, 2019",2.469
"June 20, 2019",2.466
"June 19, 2019",2.451
"June 18, 2019",2.436
"June 17, 2019",2.429
"June 14, 2019",2.445
"June 13, 2019",2.429
"June 12, 2019",2.430
"June 11, 2019",2.388
"June 10, 2019",2.42
"June 7, 2019",2.419
"June 6, 2019",2.439
"June 5, 2019",2.427
"June 4, 2019",2.373
"June 3, 2019",2.374
"May 31, 2019",2.338
"May 30, 2019",2.324
"May 29, 2019",2.333
"May 28, 2019",2.369
"May 24, 2019",2.403
"May 23, 2019",2.413
"May 22, 2019",2.386
"May 21, 2019",2.368
"May 20, 2019",2.381
"May 17, 2019",2.381
"May 16, 2019",2.366
"May 15, 2019",2.350
"May 14, 2019",2.354
"May 13, 2019",2.378
"May 10, 2019",2.336
"May 9, 2019",2.292
"May 8, 2019",2.275
"May 7, 2019",2.317
"May 6, 2019",2.319
"May 3, 2019",2.325
"May 2, 2019",2.306
"May 1, 2019",2.303
"April 30, 2019",2.320
"April 29, 2019",2.275
"April 26, 2019",2.301
"April 25, 2019",2.303
"April 24, 2019",2.295
"April 23, 2019",2.268
"April 22, 2019",2.248
"April 18, 2019",2.247
"April 17, 2019",2.251
"April 16, 2019",2.258
"April 15, 2019",2.296
"April 12, 2019",2.294
"April 11, 2019",2.290
"April 10, 2019",2.279
"April 9, 2019",2.296
"April 8, 2019",2.284
"April 5, 2019",2.308
"April 4, 2019",2.281
"April 3, 2019",2.303
"April 2, 2019",2.313
"April 1, 2019",2.320
"March 31, 2019",
"March 29, 2019",2.365
"March 28, 2019",2.362
"March 27, 2019",2.392
"March 26, 2019",2.404
"March 25, 2019",2.390
"March 22, 2019",2.372
"March 21, 2019",2.356
"March 20, 2019",2.323
"March 19, 2019",2.316
"March 18, 2019",2.332
"March 15, 2019",2.349
"March 14, 2019",2.335
"March 13, 2019",2.346
"March 12, 2019",2.328
"March 11, 2019",2.334
"March 8, 2019",2.306
"March 7, 2019",2.290
"March 6, 2019",2.286
"March 5, 2019",2.286
"March 4, 2019",2.293
"March 1, 2019",2.274
"Feb. 28, 2019",2.284
"Feb. 27, 2019",2.258
"Feb. 26, 2019",2.251
"Feb. 25, 2019",2.272
"Feb. 22, 2019",2.314
"Feb. 21, 2019",2.283
"Feb. 20, 2019",2.257
"Feb. 19, 2019",2.247
"Feb. 15, 2019",2.234
"Feb. 14, 2019",2.213
"Feb. 13, 2019",2.246
"Feb. 12, 2019",2.250
"Feb. 11, 2019",2.268
"Feb. 8, 2019",2.259
"Feb. 7, 2019",2.235
"Feb. 6, 2019",2.208
"Feb. 5, 2019",2.207
"Feb. 4, 2019",2.212
"Feb. 1, 2019",2.207
"Jan. 31, 2019",2.223
"Jan. 30, 2019",2.177
"Jan. 29, 2019",2.162
"Jan. 28, 2019",2.168
"Jan. 25, 2019",2.177
"Jan. 24, 2019",2.203
"Jan. 23, 2019",2.182
"Jan. 22, 2019",2.165
"Jan. 18, 2019",2.154
"Jan. 17, 2019",2.149
"Jan. 16, 2019",2.136
"Jan. 15, 2019",2.116
"Jan. 14, 2019",2.081
"Jan. 11, 2019",2.100
"Jan. 10, 2019",2.109
"Jan. 9, 2019",2.063
"Jan. 8, 2019",2.078
"Jan. 7, 2019",2.046
"Jan. 4, 2019",2.070
"Jan. 3, 2019",2.041
"Jan. 2, 2019",2.036
"Dec. 31, 2018",2.09
"Dec. 28, 2018",2.072
"Dec. 27, 2018",2.084
"Dec. 26, 2018",2.053
"Dec. 24, 2018",2.018
"Dec. 21, 2018",2.136
"Dec. 20, 2018",2.139
"Dec. 19, 2018",2.145
"Dec. 18, 2018",2.15
"Dec. 17, 2018",2.148
"Dec. 14, 2018",2.228
"Dec. 13, 2018",2.248
"Dec. 12, 2018",2.228
"Dec. 11, 2018",2.243
"Dec. 10, 2018",2.256
"Dec. 7, 2018",2.247
"Dec. 6, 2018",2.239
"Dec. 4, 2018",2.235
"Dec. 3, 2018",2.227
"Nov. 30, 2018",2.190
"Nov. 29, 2018",2.164
"Nov. 28, 2018",2.173
"Nov. 27, 2018",2.192
"Nov. 26, 2018",2.164
"Nov. 23, 2018",2.162
"Nov. 21, 2018",2.154
"Nov. 20, 2018",2.202
"Nov. 19, 2018",2.225
"Nov. 16, 2018",2.211
"Nov. 15, 2018",2.214
"Nov. 14, 2018",2.193
"Nov. 13, 2018",2.196
"Nov. 12, 2018",2.182
"Nov. 9, 2018",2.148
"Nov. 8, 2018",2.116
"Nov. 7, 2018",2.107
"Nov. 6, 2018",2.076
"Nov. 5, 2018",2.063
"Nov. 2, 2018",2.030
"Nov. 1, 2018",2.053
"Oct. 31, 2018",2.061
"Oct. 30, 2018",2.073
"Oct. 29, 2018",2.080
"Oct. 26, 2018",2.054
"Oct. 25, 2018",2.095
"Oct. 24, 2018",2.130
"Oct. 23, 2018",2.089
"Oct. 22, 2018",2.094
"Oct. 19, 2018",2.107
"Oct. 18, 2018",2.071
"Oct. 17, 2018",2.066
"Oct. 16, 2018",2.066
"Oct. 15, 2018",2.036
"Oct. 12, 2018",2.035
"Oct. 11, 2018",2.043
"Oct. 10, 2018",2.103
"Oct. 9, 2018",2.116
"Oct. 8, 2018",2.094
"Oct. 5, 2018",2.076
"Oct. 4, 2018",2.038
"Oct. 3, 2018",2.032
"Oct. 2, 2018",2.052
"Oct. 1, 2018",2.019
"Sept. 30, 2018",
"Sept. 28, 2018",2.089
"Sept. 27, 2018",2.067
"Sept. 26, 2018",2.053
"Sept. 25, 2018",2.082
"Sept. 24, 2018",2.107
"Sept. 21, 2018",2.128
"Sept. 20, 2018",2.119
"Sept. 19, 2018",2.112
"Sept. 18, 2018",2.150
"Sept. 17, 2018",2.156
"Sept. 14, 2018",2.161
"Sept. 13, 2018",2.171
"Sept. 12, 2018",2.160
"Sept. 11, 2018",2.159
"Sept. 10, 2018",2.177
"Sept. 7, 2018",2.159
"Sept. 6, 2018",2.168
"Sept. 5, 2018",2.146
"Sept. 4, 2018",2.106
"Aug. 31, 2018",2.089
"Aug. 30, 2018",2.100
"Aug. 29, 2018",2.097
"Aug. 28, 2018",2.089
"Aug. 27, 2018",2.094
"Aug. 24, 2018",2.114
"Aug. 23, 2018",2.103
"Aug. 22, 2018",2.100
"Aug. 21, 2018",2.122
"Aug. 20, 2018",2.133
"Aug. 17, 2018",2.140
"Aug. 16, 2018",2.130
"Aug. 15, 2018",2.102
"Aug. 14, 2018",2.085
"Aug. 13, 2018",2.081
"Aug. 10, 2018",2.074
"Aug. 9, 2018",2.076
"Aug. 8, 2018",2.068
"Aug. 7, 2018",2.068
"Aug. 6, 2018",2.067
"Aug. 3, 2018",2.063
"Aug. 2, 2018",2.041
"Aug. 1, 2018",2.027
"July 31, 2018",2.050
"July 30, 2018",2.029
"July 27, 2018",2.046
"July 26, 2018",2.053
"July 25, 2018",2.027
"July 24, 2018",2.015
"July 23, 2018",2.013
"July 20, 2018",2.026
"July 19, 2018",2.039
"July 18, 2018",2.018
"July 17, 2018",2.024
"July 16, 2018",2.026
"July 13, 2018",2.028
"July 12, 2018",2.027
"July 11, 2018",2.028
"July 10, 2018",1.999
"July 9, 2018",1.981
"July 6, 2018",2.049
"July 5, 2018",2.033
"July 3, 2018",2.023
"July 2, 2018",2.022
"June 30, 2018",
"June 29, 2018",2.051
"June 28, 2018",2.050
"June 27, 2018",2.038
"June 26, 2018",2.02
"June 25, 2018",2.010
"June 22, 2018",1.978
"June 21, 2018",1.972
"June 20, 2018",1.965
"June 19, 2018",1.964
"June 18, 2018",1.942
"June 15, 2018",1.920
"June 14, 2018",1.900
"June 13, 2018",1.879
"June 12, 2018",1.889
"June 11, 2018",1.879
"June 8, 2018",1.910
"June 7, 2018",1.918
"June 6, 2018",1.906
"June 5, 2018",1.935
"June 4, 2018",1.954
"June 1, 2018",1.958
"May 31, 2018",1.995
"May 30, 2018",2.002
"May 29, 2018",1.983
"May 25, 2018",1.984
"May 24, 2018",1.981
"May 23, 2018",1.951
"May 22, 2018",1.911
"May 21, 2018",1.899
"May 18, 2018",1.896
"May 17, 2018",1.882
"May 16, 2018",1.885
"May 15, 2018",1.901
"May 14, 2018",1.907
"May 11, 2018",1.916
"May 10, 2018",1.899
"May 9, 2018",1.895
"May 8, 2018",1.918
"May 7, 2018",1.973
"May 4, 2018",1.985
"May 3, 2018",1.980
"May 2, 2018",1.967
"May 1, 2018",1.966
"April 30, 2018",1.976
"April 27, 2018",1.974
"April 26, 2018",1.950
"April 25, 2018",1.928
"April 24, 2018",1.927
"April 23, 2018",1.908
"April 20, 2018",1.896
"April 19, 2018",1.915
"April 18, 2018",1.906
"April 17, 2018",1.917
"April 16, 2018",1.899
"April 13, 2018",1.870
"April 12, 2018",1.864
"April 11, 2018",1.887
"April 10, 2018",1.894
"April 9, 2018",1.919
"April 6, 2018",1.925
"April 5, 2018",1.935
"April 4, 2018",1.914
"April 3, 2018",1.925
"April 2, 2018",1.910
"March 31, 2018",
"March 29, 2018",1.918
"March 28, 2018",1.895
"March 27, 2018",1.893
"March 26, 2018",1.858
"March 23, 2018",1.830
"March 22, 2018",1.860
"March 21, 2018",1.860
"March 20, 2018",1.867
"March 19, 2018",1.870
"March 16, 2018",1.880
"March 15, 2018",1.855
"March 14, 2018",1.850
"March 13, 2018",1.832
"March 12, 2018",1.843
"March 9, 2018",1.829
"March 8, 2018",1.819
"March 7, 2018",1.810
"March 6, 2018",1.822
"March 5, 2018",1.862
"March 2, 2018",1.825
"March 1, 2018",1.822
"Feb. 28, 2018",1.834
"Feb. 27, 2018",1.854
"Feb. 26, 2018",1.883
"Feb. 23, 2018",1.903
"Feb. 22, 2018",1.844
"Feb. 21, 2018",1.837
"Feb. 20, 2018",1.860
"Feb. 16, 2018",1.902
"Feb. 15, 2018",1.900
"Feb. 14, 2018",1.847
"Feb. 13, 2018",1.866
"Feb. 12, 2018",1.86
"Feb. 9, 2018",1.872
"Feb. 8, 2018",1.776
"Feb. 7, 2018",1.796
"Feb. 6, 2018",1.79
"Feb. 5, 2018",1.829
"Feb. 2, 2018",1.854
"Feb. 1, 2018",1.865
"Jan. 31, 2018",1.913
"Jan. 30, 2018",1.894
"Jan. 29, 2018",1.887
"Jan. 26, 2018",1.922
"Jan. 25, 2018",1.916
"Jan. 24, 2018",1.882
"Jan. 23, 2018",1.894
"Jan. 22, 2018",1.868
"Jan. 19, 2018",1.863
"Jan. 18, 2018",1.870
"Jan. 17, 2018",1.884
"Jan. 16, 2018",1.873
"Jan. 12, 2018",1.875
"Jan. 11, 2018",1.896
"Jan. 10, 2018",1.907
"Jan. 9, 2018",1.936
"Jan. 8, 2018",1.961
