date,springate_score
"Dec. 31, 2019",0.6551
"Sept. 30, 2019",0.6595
"June 30, 2019",0.6376
"March 31, 2019",0.6696
"Dec. 31, 2018",0.6423
"Sept. 30, 2018",0.6738
"June 30, 2018",0.6767
"March 31, 2018",0.6455
"Dec. 31, 2017",0.6724
"Sept. 30, 2017",0.679
"June 30, 2017",0.7227
"March 31, 2017",0.7263
"Dec. 31, 2016",0.7533
"Sept. 30, 2016",0.7775
"June 30, 2016",0.7319
"March 31, 2016",0.7106
"Dec. 31, 2015",0.7194
"Sept. 30, 2015",0.7008
"June 30, 2015",0.6791
"March 31, 2015",0.7184
"Dec. 31, 2014",0.7223
"Sept. 30, 2014",0.7293
"June 30, 2014",0.6865
"March 31, 2014",0.6291
"Dec. 31, 2013",0.6234
"Sept. 30, 2013",0.6394
"June 30, 2013",0.7016
"March 31, 2013",0.8379
"Dec. 31, 2012",0.8701
"Sept. 30, 2012",0.786
"June 30, 2012",0.7664
"March 31, 2012",0.7489
"Dec. 31, 2011",0.7891
"Sept. 30, 2011",0.9776
"June 30, 2011",0.7632
"March 31, 2011",0.7842
"Dec. 31, 2010",0.8408
"Sept. 30, 2010",
"June 30, 2010",1.019
"March 31, 2010",0.9616
"Dec. 31, 2009",0.8991
"Sept. 30, 2009",0.8135
"June 30, 2009",0.7292
"March 31, 2009",0.7287
"Dec. 31, 2008",0.7217
"Sept. 30, 2008",0.7443
"June 30, 2008",0.742
"March 31, 2008",0.6486
