date,return_on_equity
"Dec. 31, 2019",10.55%
"Sept. 30, 2019",10.32%
"June 30, 2019",10.41%
"March 31, 2019",11.37%
"Dec. 31, 2018",10.99%
"Sept. 30, 2018",9.33%
"June 30, 2018",8.51%
"March 31, 2018",7.95%
"Dec. 31, 2017",7.29%
"Sept. 30, 2017",8.57%
"June 30, 2017",9.82%
"March 31, 2017",9.25%
"Dec. 31, 2016",9.32%
"Sept. 30, 2016",9.30%
"June 30, 2016",9.04%
"March 31, 2016",9.14%
"Dec. 31, 2015",9.23%
"Sept. 30, 2015",9.55%
"June 30, 2015",8.93%
"March 31, 2015",8.99%
"Dec. 31, 2014",8.85%
"Sept. 30, 2014",8.72%
"June 30, 2014",8.96%
"March 31, 2014",8.19%
"Dec. 31, 2013",4.45%
"Sept. 30, 2013",-13.37%
"June 30, 2013",-11.96%
"March 31, 2013",-9.99%
"Dec. 31, 2012",-13.02%
"Sept. 30, 2012",2.67%
"June 30, 2012",1.52%
"March 31, 2012",0.58%
"Dec. 31, 2011",6.63%
"Sept. 30, 2011",6.96%
"June 30, 2011",1.20%
"March 31, 2011",1.38%
"Dec. 31, 2010",1.77%
"Sept. 30, 2010",
"June 30, 2010",7.23%
"March 31, 2010",7.58%
"Dec. 31, 2009",8.30%
"Sept. 30, 2009",8.18%
"June 30, 2009",8.09%
"March 31, 2009",8.78%
"Dec. 31, 2008",8.81%
"Sept. 30, 2008",9.61%
"June 30, 2008",10.33%
"March 31, 2008",9.47%
"Dec. 31, 2007",9.29%
"Sept. 30, 2007",8.64%
"June 30, 2007",9.49%
"March 31, 2007",9.27%
"Dec. 31, 2006",8.50%
"Sept. 30, 2006",7.90%
"June 30, 2006",7.76%
"March 31, 2006",8.88%
"Dec. 31, 2005",9.86%
"Sept. 30, 2005",11.08%
"June 30, 2005",10.72%
"March 31, 2005",9.92%
"Dec. 31, 2004",10.03%
"Sept. 30, 2004",9.72%
"June 30, 2004",11.35%
"March 31, 2004",11.74%
"Dec. 31, 2003",12.61%
"Sept. 30, 2003",11.09%
"June 30, 2003",10.64%
"March 31, 2003",11.13%
"Dec. 31, 2002",10.45%
"Sept. 30, 2002",13.01%
"June 30, 2002",14.49%
"March 31, 2002",14.22%
"Dec. 31, 2001",14.47%
"Sept. 30, 2001",13.84%
"June 30, 2001",13.73%
"March 31, 2001",14.40%
"Dec. 31, 2000",14.56%
"Sept. 30, 2000",13.56%
"June 30, 2000",13.56%
"March 31, 2000",12.74%
"Dec. 31, 1999",12.52%
"Sept. 30, 1999",13.53%
"June 30, 1999",13.30%
"March 31, 1999",13.24%
"Dec. 31, 1998",12.77%
"Sept. 30, 1998",11.75%
"June 30, 1998",11.17%
