date,revenues_growth
"Dec. 31, 2019",-7.26%
"Sept. 30, 2019",-3.77%
"June 30, 2019",-11.77%
"March 31, 2019",-1.83%
"Dec. 31, 2018",1.43%
"Sept. 30, 2018",0.06%
"June 30, 2018",1.69%
"March 31, 2018",4.62%
"Dec. 31, 2017",3.17%
"Sept. 30, 2017",-7.32%
"June 30, 2017",7.71%
"March 31, 2017",5.65%
"Dec. 31, 2016",3.67%
"Sept. 30, 2016",1.42%
"June 30, 2016",1.86%
"March 31, 2016",-7.84%
"Dec. 31, 2015",-4.53%
"Sept. 30, 2015",9.76%
"June 30, 2015",-1.27%
"March 31, 2015",-2.38%
"Dec. 31, 2014",3.63%
"Sept. 30, 2014",1.95%
"June 30, 2014",1.14%
"March 31, 2014",8.07%
"Dec. 31, 2013",5.09%
"Sept. 30, 2013",-4.15%
"June 30, 2013",0.07%
"March 31, 2013",4.46%
"Dec. 31, 2012",545.1%
"Sept. 30, 2012",-24.65%
"June 30, 2012",-21.28%
"March 31, 2012",-25.84%
"Dec. 31, 2011",-88.57%
"Sept. 30, 2011",0.04%
"June 30, 2011",3.25%
"March 31, 2011",-1.86%
"Dec. 31, 2010",-0.81%
"Sept. 30, 2010",24.90%
"June 30, 2010",2.43%
"March 31, 2010",1.25%
"Dec. 31, 2009",-11.25%
"Sept. 30, 2009",-11.89%
"June 30, 2009",-5.92%
"March 31, 2009",-7.93%
"Dec. 31, 2008",7.91%
"Sept. 30, 2008",3.15%
"June 30, 2008",3.59%
"March 31, 2008",2.82%
"Dec. 31, 2007",10.86%
"Sept. 30, 2007",4.56%
"June 30, 2007",11.48%
"March 31, 2007",12.44%
"Dec. 31, 2006",-4.76%
"Sept. 30, 2006",2.25%
"June 30, 2006",-2.15%
"March 31, 2006",10.77%
"Dec. 31, 2005",15.17%
"Sept. 30, 2005",42.92%
"June 30, 2005",37.86%
"March 31, 2005",33.42%
"Dec. 31, 2004",45.23%
"Sept. 30, 2004",-3.40%
"June 30, 2004",5.61%
"March 31, 2004",9.93%
"Dec. 31, 2003",23.57%
"Sept. 30, 2003",16.04%
"June 30, 2003",11.25%
"March 31, 2003",-0.63%
"Dec. 31, 2002",131.8%
"Sept. 30, 2002",-18.00%
"June 30, 2002",-7.47%
"March 31, 2002",8.83%
"Dec. 31, 2001",-60.32%
"Sept. 30, 2001",18.95%
"June 30, 2001",12.36%
"March 31, 2001",24.13%
"Dec. 31, 2000",21.85%
"Sept. 30, 2000",0.16%
"June 30, 2000",9.40%
"March 31, 2000",12.16%
"Dec. 31, 1999",8.23%
"Sept. 30, 1999",6.84%
"June 30, 1999",4.63%
"March 31, 1999",5.01%
"Dec. 31, 1998",-7.30%
"Sept. 30, 1998",7.09%
"June 30, 1998",3.79%
"March 31, 1998",-7.75%
