date,total_long_term_debt
"Dec. 31, 2019",9.797B
"Sept. 30, 2019",9.531B
"June 30, 2019",9.557B
"March 31, 2019",9.356B
"Dec. 31, 2018",9.036B
"Sept. 30, 2018",8.784B
"June 30, 2018",8.966B
"March 31, 2018",8.896B
"Dec. 31, 2017",8.419B
"Sept. 30, 2017",8.145B
"June 30, 2017",8.291B
"March 31, 2017",8.192B
"Dec. 31, 2016",7.834B
"Sept. 30, 2016",7.646B
"June 30, 2016",7.814B
"March 31, 2016",7.597B
"Dec. 31, 2015",7.576B
"Sept. 30, 2015",7.159B
"June 30, 2015",7.262B
"March 31, 2015",7.195B
"Dec. 31, 2014",6.919B
"Sept. 30, 2014",6.697B
"June 30, 2014",6.737B
"March 31, 2014",6.574B
"Dec. 31, 2013",6.406B
"Sept. 30, 2013",6.158B
"June 30, 2013",6.183B
"March 31, 2013",6.158B
"Dec. 31, 2012",6.157B
"Sept. 30, 2012",6.992B
"June 30, 2012",6.887B
"March 31, 2012",6.982B
"Dec. 31, 2011",7.004B
"Sept. 30, 2011",7.21B
"June 30, 2011",7.396B
"March 31, 2011",7.612B
"Dec. 31, 2010",7.737B
"Sept. 30, 2010",0.00
"June 30, 2010",8.007B
"March 31, 2010",7.947B
"Dec. 31, 2009",8.165B
"Sept. 30, 2009",7.884B
"June 30, 2009",8.415B
"March 31, 2009",8.277B
"Dec. 31, 2008",8.108B
"Sept. 30, 2008",7.819B
"June 30, 2008",7.881B
"March 31, 2008",7.506B
"Dec. 31, 2007",7.384B
"Sept. 30, 2007",6.891B
"June 30, 2007",7.333B
"March 31, 2007",6.516B
"Dec. 31, 2006",6.353B
"Sept. 30, 2006",6.125B
"June 30, 2006",6.226B
"March 31, 2006",6.122B
"Dec. 31, 2005",5.643B
"Sept. 30, 2005",5.571B
"June 30, 2005",5.44B
"March 31, 2005",5.754B
"Dec. 31, 2004",5.861B
"Sept. 30, 2004",6.458B
"June 30, 2004",4.377B
"March 31, 2004",4.401B
"Dec. 31, 2003",4.729B
"Sept. 30, 2003",4.548B
"June 30, 2003",4.764B
"March 31, 2003",4.857B
"Dec. 31, 2002",4.043B
"Sept. 30, 2002",3.745B
"June 30, 2002",3.698B
"March 31, 2002",3.523B
"Dec. 31, 2001",3.615B
"Sept. 30, 2001",3.318B
"June 30, 2001",3.445B
"March 31, 2001",3.067B
"Dec. 31, 2000",2.993B
"Sept. 30, 2000",2.835B
"June 30, 2000",2.893B
"March 31, 2000",2.876B
"Dec. 31, 1999",2.657B
"Sept. 30, 1999",2.539B
"June 30, 1999",2.574B
"March 31, 1999",2.533B
"Dec. 31, 1998",2.550B
"Sept. 30, 1998",2.712B
"June 30, 1998",2.741B
"March 31, 1998",2.691B
"Dec. 31, 1997",2.645B
"Sept. 30, 1997",0.00
"June 30, 1997",0.00
"March 31, 1997",0.00
