date,net_income_ttm
"Dec. 31, 2019",828.00M
"Sept. 30, 2019",802.00M
"June 30, 2019",795.00M
"March 31, 2019",855.00M
"Dec. 31, 2018",815.00M
"Sept. 30, 2018",687.00M
"June 30, 2018",618.00M
"March 31, 2018",572.00M
"Dec. 31, 2017",523.00M
"Sept. 30, 2017",615.00M
"June 30, 2017",696.00M
"March 31, 2017",650.00M
"Dec. 31, 2016",653.00M
"Sept. 30, 2016",650.00M
"June 30, 2016",624.00M
"March 31, 2016",627.00M
"Dec. 31, 2015",630.00M
"Sept. 30, 2015",649.00M
"June 30, 2015",599.00M
"March 31, 2015",598.00M
"Dec. 31, 2014",586.00M
"Sept. 30, 2014",575.00M
"June 30, 2014",584.00M
"March 31, 2014",530.00M
"Dec. 31, 2013",289.00M
"Sept. 30, 2013",-904.00M
"June 30, 2013",-832.00M
"March 31, 2013",-716.00M
"Dec. 31, 2012",-974.00M
"Sept. 30, 2012",207.00M
"June 30, 2012",118.00M
"March 31, 2012",45.00M
"Dec. 31, 2011",519.00M
"Sept. 30, 2011",546.00M
"June 30, 2011",94.00M
"March 31, 2011",108.00M
"Dec. 31, 2010",139.00M
"Sept. 30, 2010",166.00M
"June 30, 2010",560.00M
"March 31, 2010",573.00M
"Dec. 31, 2009",612.00M
"Sept. 30, 2009",590.00M
"June 30, 2009",567.00M
"March 31, 2009",608.00M
"Dec. 31, 2008",605.00M
"Sept. 30, 2008",656.00M
"June 30, 2008",696.00M
"March 31, 2008",633.00M
"Dec. 31, 2007",618.00M
"Sept. 30, 2007",571.00M
"June 30, 2007",620.00M
"March 31, 2007",600.00M
"Dec. 31, 2006",547.00M
"Sept. 30, 2006",506.00M
"June 30, 2006",493.00M
"March 31, 2006",555.00M
"Dec. 31, 2005",606.00M
"Sept. 30, 2005",669.00M
"June 30, 2005",621.00M
"March 31, 2005",554.00M
"Dec. 31, 2004",530.00M
"Sept. 30, 2004",485.00M
"June 30, 2004",528.00M
"March 31, 2004",520.00M
"Dec. 31, 2003",524.00M
"Sept. 30, 2003",454.00M
"June 30, 2003",419.00M
"March 31, 2003",424.00M
"Dec. 31, 2002",382.00M
"Sept. 30, 2002",463.00M
"June 30, 2002",490.00M
"March 31, 2002",470.00M
"Dec. 31, 2001",469.49M
"Sept. 30, 2001",446.47M
"June 30, 2001",435.61M
"March 31, 2001",454.19M
"Dec. 31, 2000",457.09M
"Sept. 30, 2000",425.52M
"June 30, 2000",419.18M
"March 31, 2000",392.09M
"Dec. 31, 1999",385.06M
"Sept. 30, 1999",416.96M
"June 30, 1999",403.86M
"March 31, 1999",400.96M
"Dec. 31, 1998",386.50M
"Sept. 30, 1998",354.80M
"June 30, 1998",333.50M
"March 31, 1998",329.60M
"Dec. 31, 1997",334.70M
