date,ohlson_score
"Dec. 31, 2019",3.496
"Sept. 30, 2019",1.535
"June 30, 2019",2.116
"March 31, 2019",1.621
"Dec. 31, 2018",4.239
"Sept. 30, 2018",1.699
"June 30, 2018",1.763
"March 31, 2018",1.681
"Dec. 31, 2017",-0.8631
"Sept. 30, 2017",1.765
"June 30, 2017",1.822
"March 31, 2017",1.830
"Dec. 31, 2016",7.475
"Sept. 30, 2016",1.416
"June 30, 2016",1.709
"March 31, 2016",1.246
"Dec. 31, 2015",7.117
"Sept. 30, 2015",1.296
"June 30, 2015",1.519
"March 31, 2015",1.361
"Dec. 31, 2014",4.321
"Sept. 30, 2014",1.161
"June 30, 2014",1.346
"March 31, 2014",1.471
"Dec. 31, 2013",5.323
"Sept. 30, 2013",1.176
"June 30, 2013",0.238
"March 31, 2013",4.986
"Dec. 31, 2012",0.5951
"Sept. 30, 2012",0.6429
"June 30, 2012",-0.4941
"March 31, 2012",0.516
"Dec. 31, 2011",6.394
"Sept. 30, 2011",0.5822
"June 30, 2011",0.6611
"March 31, 2011",0.7983
"Dec. 31, 2010",-1.269
"Sept. 30, 2010",
"June 30, 2010",0.6522
"March 31, 2010",0.713
"Dec. 31, 2009",1.800
"Sept. 30, 2009",0.7643
"June 30, 2009",1.225
"March 31, 2009",1.083
"Dec. 31, 2008",2.860
"Sept. 30, 2008",1.439
"June 30, 2008",1.307
"March 31, 2008",1.700
"Dec. 31, 2007",2.148
"Sept. 30, 2007",1.158
"June 30, 2007",1.378
"March 31, 2007",1.234
"Dec. 31, 2006",3.443
"Sept. 30, 2006",1.010
"June 30, 2006",0.9916
"March 31, 2006",0.9404
"Dec. 31, 2005",7.869
"Sept. 30, 2005",0.7725
"June 30, 2005",0.946
"March 31, 2005",1.347
"Dec. 31, 2004",2.521
"Sept. 30, 2004",0.7578
"June 30, 2004",0.8065
"March 31, 2004",0.5733
"Dec. 31, 2003",4.906
"Sept. 30, 2003",1.132
"June 30, 2003",1.579
"March 31, 2003",0.734
"Dec. 31, 2002",-3.028
"Sept. 30, 2002",0.7622
"June 30, 2002",1.239
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",
"June 30, 2001",
"March 31, 2001",1.681
"Dec. 31, 2000",6.404
"Sept. 30, 2000",
"June 30, 2000",
"March 31, 2000",
"Dec. 31, 1999",
"Sept. 30, 1999",
"June 30, 1999",1.469
"March 31, 1999",1.428
"Dec. 31, 1998",5.842
