date,debt_equity_ratio
"Dec. 31, 2019",1.216
"Sept. 30, 2019",1.182
"June 30, 2019",1.227
"March 31, 2019",1.214
"Dec. 31, 2018",1.184
"Sept. 30, 2018",1.147
"June 30, 2018",1.214
"March 31, 2018",1.230
"Dec. 31, 2017",1.172
"Sept. 30, 2017",1.109
"June 30, 2017",1.158
"March 31, 2017",1.160
"Dec. 31, 2016",1.103
"Sept. 30, 2016",1.063
"June 30, 2016",1.129
"March 31, 2016",1.106
"Dec. 31, 2015",1.091
"Sept. 30, 2015",1.021
"June 30, 2015",1.074
"March 31, 2015",1.073
"Dec. 31, 2014",1.031
"Sept. 30, 2014",0.9886
"June 30, 2014",1.025
"March 31, 2014",1.009
"Dec. 31, 2013",0.9789
"Sept. 30, 2013",0.9367
"June 30, 2013",0.97
"March 31, 2013",0.9675
"Dec. 31, 2012",0.9306
"Sept. 30, 2012",0.888
"June 30, 2012",0.9116
"March 31, 2012",0.9395
"Dec. 31, 2011",0.8845
"Sept. 30, 2011",0.9016
"June 30, 2011",0.9497
"March 31, 2011",0.9854
"Dec. 31, 2010",1.001
"Sept. 30, 2010",
"June 30, 2010",1.002
"March 31, 2010",1.006
"Dec. 31, 2009",1.039
"Sept. 30, 2009",1.006
"June 30, 2009",1.177
"March 31, 2009",1.172
"Dec. 31, 2008",1.164
"Sept. 30, 2008",1.110
"June 30, 2008",1.156
"March 31, 2008",1.111
"Dec. 31, 2007",1.094
"Sept. 30, 2007",1.02
"June 30, 2007",1.108
"March 31, 2007",0.9937
"Dec. 31, 2006",0.9651
"Sept. 30, 2006",0.9354
"June 30, 2006",0.9806
"March 31, 2006",0.9696
"Dec. 31, 2005",0.8867
"Sept. 30, 2005",0.8629
"June 30, 2005",0.8685
"March 31, 2005",0.9856
"Dec. 31, 2004",1.010
"Sept. 30, 2004",1.071
"June 30, 2004",0.8076
"March 31, 2004",0.8173
"Dec. 31, 2003",1.042
"Sept. 30, 2003",1.000
"June 30, 2003",1.090
"March 31, 2003",1.118
"Dec. 31, 2002",1.002
"Sept. 30, 2002",0.883
"June 30, 2002",0.9783
"March 31, 2002",0.9443
"Dec. 31, 2001",1.009
"Sept. 30, 2001",0.9237
"June 30, 2001",1.013
"March 31, 2001",0.9037
"Dec. 31, 2000",0.8721
"Sept. 30, 2000",0.8114
"June 30, 2000",0.8701
"March 31, 2000",0.8717
"Dec. 31, 1999",0.7993
"Sept. 30, 1999",0.7422
"June 30, 1999",0.79
"March 31, 1999",0.7773
"Dec. 31, 1998",0.7746
"Sept. 30, 1998",0.8091
"June 30, 1998",0.8558
"March 31, 1998",0.8393
"Dec. 31, 1997",0.8127
