date,operating_margin_ttm
"Dec. 31, 2019",21.44%
"Sept. 30, 2019",20.85%
"June 30, 2019",20.85%
"March 31, 2019",21.91%
"Dec. 31, 2018",21.57%
"Sept. 30, 2018",22.37%
"June 30, 2018",22.95%
"March 31, 2018",23.08%
"Dec. 31, 2017",22.84%
"Sept. 30, 2017",20.94%
"June 30, 2017",22.44%
"March 31, 2017",21.83%
"Dec. 31, 2016",21.76%
"Sept. 30, 2016",22.83%
"June 30, 2016",21.84%
"March 31, 2016",20.47%
"Dec. 31, 2015",20.65%
"Sept. 30, 2015",20.19%
"June 30, 2015",19.66%
"March 31, 2015",21.01%
"Dec. 31, 2014",20.72%
"Sept. 30, 2014",21.65%
"June 30, 2014",21.87%
"March 31, 2014",20.90%
"Dec. 31, 2013",20.28%
"Sept. 30, 2013",19.41%
"June 30, 2013",19.37%
"March 31, 2013",20.79%
"Dec. 31, 2012",20.55%
"Sept. 30, 2012",20.84%
"June 30, 2012",20.45%
"March 31, 2012",18.62%
"Dec. 31, 2011",18.25%
"Sept. 30, 2011",18.50%
"June 30, 2011",18.56%
"March 31, 2011",18.86%
"Dec. 31, 2010",19.70%
"Sept. 30, 2010",20.37%
"June 30, 2010",18.97%
"March 31, 2010",19.56%
"Dec. 31, 2009",19.94%
"Sept. 30, 2009",18.41%
"June 30, 2009",17.07%
"March 31, 2009",17.85%
"Dec. 31, 2008",17.47%
"Sept. 30, 2008",18.57%
"June 30, 2008",19.43%
"March 31, 2008",18.05%
"Dec. 31, 2007",17.81%
"Sept. 30, 2007",17.03%
"June 30, 2007",18.13%
"March 31, 2007",17.88%
"Dec. 31, 2006",17.05%
"Sept. 30, 2006",16.71%
"June 30, 2006",16.27%
"March 31, 2006",17.49%
"Dec. 31, 2005",18.91%
"Sept. 30, 2005",20.46%
"June 30, 2005",20.76%
"March 31, 2005",20.22%
"Dec. 31, 2004",20.93%
"Sept. 30, 2004",21.62%
"June 30, 2004",23.24%
"March 31, 2004",23.63%
"Dec. 31, 2003",23.87%
"Sept. 30, 2003",21.89%
"June 30, 2003",21.46%
"March 31, 2003",22.70%
"Dec. 31, 2002",21.39%
"Sept. 30, 2002",26.95%
"June 30, 2002",26.36%
"March 31, 2002",45.58%
"Dec. 31, 2001",47.08%
"Sept. 30, 2001",40.70%
"June 30, 2001",42.49%
"March 31, 2001",23.53%
"Dec. 31, 2000",24.41%
"Sept. 30, 2000",-29.96%
"June 30, 2000",-10.37%
"March 31, 2000",-11.88%
"Dec. 31, 1999",-12.69%
"Sept. 30, 1999",46.57%
"June 30, 1999",25.32%
"March 31, 1999",25.45%
"Dec. 31, 1998",25.28%
"Sept. 30, 1998",43.79%
"June 30, 1998",63.15%
"March 31, 1998",82.23%
