date,long_term_debt
"Dec. 31, 2019",8.915B
"Sept. 30, 2019",8.651B
"June 30, 2019",8.222B
"March 31, 2019",8.221B
"Dec. 31, 2018",7.859B
"Sept. 30, 2018",7.614B
"June 30, 2018",7.613B
"March 31, 2018",6.766B
"Dec. 31, 2017",7.094B
"Sept. 30, 2017",6.922B
"June 30, 2017",6.821B
"March 31, 2017",6.597B
"Dec. 31, 2016",6.595B
"Sept. 30, 2016",6.607B
"June 30, 2016",6.605B
"March 31, 2016",6.881B
"Dec. 31, 2015",6.88B
"Sept. 30, 2015",5.981B
"June 30, 2015",5.981B
"March 31, 2015",5.86B
"Dec. 31, 2014",6.085B
"Sept. 30, 2014",5.825B
"June 30, 2014",5.825B
"March 31, 2014",5.226B
"Dec. 31, 2013",5.504B
"Sept. 30, 2013",5.274B
"June 30, 2013",5.274B
"March 31, 2013",5.803B
"Dec. 31, 2012",5.802B
"Sept. 30, 2012",6.781B
"June 30, 2012",6.678B
"March 31, 2012",6.677B
"Dec. 31, 2011",6.677B
"Sept. 30, 2011",6.682B
"June 30, 2011",7.054B
"March 31, 2011",7.123B
"Dec. 31, 2010",7.313B
"June 30, 2010",7.653B
"March 31, 2010",7.743B
"Dec. 31, 2009",7.941B
"Sept. 30, 2009",7.321B
"June 30, 2009",7.321B
"March 31, 2009",6.90B
"Dec. 31, 2008",6.554B
"Sept. 30, 2008",6.143B
"June 30, 2008",6.146B
"March 31, 2008",5.066B
"Dec. 31, 2007",5.691B
"Sept. 30, 2007",5.486B
"June 30, 2007",5.511B
"March 31, 2007",5.26B
"Dec. 31, 2006",5.285B
"Sept. 30, 2006",5.349B
"June 30, 2006",5.705B
"March 31, 2006",5.508B
"Dec. 31, 2005",5.354B
"Sept. 30, 2005",5.201B
"June 30, 2005",4.929B
"March 31, 2005",4.982B
"Dec. 31, 2004",5.021B
"Sept. 30, 2004",6.164B
"June 30, 2004",4.051B
"March 31, 2004",4.068B
"Dec. 31, 2003",4.07B
"Sept. 30, 2003",4.046B
"June 30, 2003",4.177B
"March 31, 2003",4.499B
"Dec. 31, 2002",3.433B
"Sept. 30, 2002",3.484B
"June 30, 2002",3.509B
"March 31, 2002",3.281B
"Dec. 31, 2001",2.835B
"Sept. 30, 2001",2.811B
"June 30, 2001",2.973B
"March 31, 2001",2.749B
"Dec. 31, 2000",2.745B
"Sept. 30, 2000",2.305B
"June 30, 2000",2.50B
"March 31, 2000",2.343B
"Dec. 31, 1999",2.448B
"Sept. 30, 1999",2.302B
"June 30, 1999",2.363B
"March 31, 1999",2.286B
"Dec. 31, 1998",2.289B
"Sept. 30, 1998",2.392B
"June 30, 1998",2.582B
"March 31, 1998",2.534B
"Dec. 31, 1997",2.506B
