date,times_interest_earned
"Dec. 31, 2019",4.014
"Sept. 30, 2019",3.851
"June 30, 2019",3.828
"March 31, 2019",4.066
"Dec. 31, 2018",3.965
"Sept. 30, 2018",4.154
"June 30, 2018",4.263
"March 31, 2018",4.256
"Dec. 31, 2017",4.190
"Sept. 30, 2017",3.969
"June 30, 2017",4.312
"March 31, 2017",4.167
"Dec. 31, 2016",4.161
"Sept. 30, 2016",4.204
"June 30, 2016",4.159
"March 31, 2016",3.963
"Dec. 31, 2015",4.150
"Sept. 30, 2015",4.339
"June 30, 2015",4.121
"March 31, 2015",4.415
"Dec. 31, 2014",4.298
"Sept. 30, 2014",3.947
"June 30, 2014",3.933
"March 31, 2014",3.613
"Dec. 31, 2013",3.334
"Sept. 30, 2013",3.273
"June 30, 2013",3.177
"March 31, 2013",3.452
"Dec. 31, 2012",3.392
"Sept. 30, 2012",3.634
"June 30, 2012",3.306
"March 31, 2012",3.049
"Dec. 31, 2011",3.028
"Sept. 30, 2011",3.151
"June 30, 2011",1.984
"March 31, 2011",1.991
"Dec. 31, 2010",2.097
"Sept. 30, 2010",2.018
"June 30, 2010",2.772
"March 31, 2010",2.766
"Dec. 31, 2009",2.928
"Sept. 30, 2009",2.906
"June 30, 2009",2.914
"March 31, 2009",3.129
"Dec. 31, 2008",3.207
"Sept. 30, 2008",4.453
"June 30, 2008",6.950
"March 31, 2008",13.87
