date,cash_investing_ttm
"Dec. 31, 2019",-2.435B
"Sept. 30, 2019",-2.415B
"June 30, 2019",-2.361B
"March 31, 2019",-2.306B
"Dec. 31, 2018",-2.336B
"Sept. 30, 2018",-2.339B
"June 30, 2018",-2.274B
"March 31, 2018",-2.262B
"Dec. 31, 2017",-2.204B
"Sept. 30, 2017",-2.191B
"June 30, 2017",-2.182B
"March 31, 2017",-2.187B
"Dec. 31, 2016",-2.158B
"Sept. 30, 2016",-2.165B
"June 30, 2016",-2.136B
"March 31, 2016",-2.047B
"Dec. 31, 2015",-1.976B
"Sept. 30, 2015",-1.867B
"June 30, 2015",-1.822B
"March 31, 2015",-1.843B
"Dec. 31, 2014",-1.717B
"Sept. 30, 2014",-1.902B
"June 30, 2014",-1.856B
"March 31, 2014",-1.733B
"Dec. 31, 2013",-1.723B
"Sept. 30, 2013",-1.381B
"June 30, 2013",-1.334B
"March 31, 2013",-1.302B
"Dec. 31, 2012",-1.31B
"Sept. 30, 2012",-1.259B
"June 30, 2012",-1.167B
"March 31, 2012",-1.103B
"Dec. 31, 2011",-1.048B
"Sept. 30, 2011",-1.071B
"June 30, 2011",-1.03B
"March 31, 2011",-1.035B
"Dec. 31, 2010",-1.096B
"Sept. 30, 2010",-1.22B
"June 30, 2010",-1.467B
"March 31, 2010",-1.674B
"Dec. 31, 2009",-1.789B
"Sept. 30, 2009",-1.941B
"June 30, 2009",-2.044B
"March 31, 2009",-2.002B
"Dec. 31, 2008",-2.097B
"Sept. 30, 2008",-1.876B
"June 30, 2008",-1.649B
"March 31, 2008",-1.609B
"Dec. 31, 2007",-1.468B
"Sept. 30, 2007",-1.315B
"June 30, 2007",-1.225B
"March 31, 2007",-1.079B
"Dec. 31, 2006",-1.266B
"Sept. 30, 2006",-1.357B
"June 30, 2006",-1.225B
"March 31, 2006",-1.332B
"Dec. 31, 2005",-961.00M
"Sept. 30, 2005",-937.00M
"June 30, 2005",-1.43B
"March 31, 2005",-1.307B
"Dec. 31, 2004",-1.266B
"Sept. 30, 2004",-1.22B
"June 30, 2004",-732.00M
"March 31, 2004",-713.00M
"Dec. 31, 2003",-1.181B
"Sept. 30, 2003",-1.159B
"June 30, 2003",-1.208B
"March 31, 2003",-1.272B
"Dec. 31, 2002",-803.00M
"Sept. 30, 2002",-874.00M
"June 30, 2002",-971.98M
"March 31, 2002",-1.057B
"Dec. 31, 2001",-1.105B
"Sept. 30, 2001",-1.090B
"June 30, 2001",-994.61M
"March 31, 2001",-863.58M
"Dec. 31, 2000",-910.42M
"Sept. 30, 2000",-864.39M
"June 30, 2000",-796.13M
"March 31, 2000",-746.62M
"Dec. 31, 1999",-558.20M
"Sept. 30, 1999",-447.20M
"June 30, 1999",-414.60M
"March 31, 1999",-327.65M
"Dec. 31, 1998",-322.80M
