date,shareholders_equity
"Dec. 31, 2019",8.059B
"Sept. 30, 2019",8.062B
"June 30, 2019",7.791B
"March 31, 2019",7.705B
"Dec. 31, 2018",7.631B
"Sept. 30, 2018",7.656B
"June 30, 2018",7.386B
"March 31, 2018",7.23B
"Dec. 31, 2017",7.184B
"Sept. 30, 2017",7.345B
"June 30, 2017",7.158B
"March 31, 2017",7.064B
"Dec. 31, 2016",7.103B
"Sept. 30, 2016",7.193B
"June 30, 2016",6.922B
"March 31, 2016",6.869B
"Dec. 31, 2015",6.946B
"Sept. 30, 2015",7.014B
"June 30, 2015",6.764B
"March 31, 2015",6.704B
"Dec. 31, 2014",6.713B
"Sept. 30, 2014",6.774B
"June 30, 2014",6.572B
"March 31, 2014",6.513B
"Dec. 31, 2013",6.544B
"Sept. 30, 2013",6.574B
"June 30, 2013",6.374B
"March 31, 2013",6.365B
"Dec. 31, 2012",6.616B
"Sept. 30, 2012",7.874B
"June 30, 2012",7.555B
"March 31, 2012",7.432B
"Dec. 31, 2011",7.919B
"Sept. 30, 2011",7.997B
"June 30, 2011",7.788B
"March 31, 2011",7.725B
"Dec. 31, 2010",7.73B
"June 30, 2010",7.991B
"March 31, 2010",7.901B
"Dec. 31, 2009",7.856B
"Sept. 30, 2009",7.84B
"June 30, 2009",7.147B
"March 31, 2009",7.061B
"Dec. 31, 2008",6.963B
"Sept. 30, 2008",7.043B
"June 30, 2008",6.817B
"March 31, 2008",6.754B
"Dec. 31, 2007",6.752B
"Sept. 30, 2007",6.756B
"June 30, 2007",6.618B
"March 31, 2007",6.557B
"Dec. 31, 2006",6.583B
"Sept. 30, 2006",6.548B
"June 30, 2006",6.349B
"March 31, 2006",6.314B
"Dec. 31, 2005",6.364B
"Sept. 30, 2005",6.456B
"June 30, 2005",6.264B
"March 31, 2005",5.838B
"Dec. 31, 2004",5.80B
"Sept. 30, 2004",6.028B
"June 30, 2004",5.42B
"March 31, 2004",5.385B
"Dec. 31, 2003",4.536B
"Sept. 30, 2003",4.547B
"June 30, 2003",4.372B
"March 31, 2003",4.345B
"Dec. 31, 2002",4.035B
"Sept. 30, 2002",4.241B
"June 30, 2002",3.78B
"March 31, 2002",3.731B
"Dec. 31, 2001",3.584B
"Sept. 30, 2001",3.592B
"June 30, 2001",3.399B
"March 31, 2001",3.394B
"Dec. 31, 2000",3.432B
"Sept. 30, 2000",3.494B
"June 30, 2000",3.325B
"March 31, 2000",3.299B
"Dec. 31, 1999",3.325B
"Sept. 30, 1999",3.421B
"June 30, 1999",3.258B
"March 31, 1999",3.259B
"Dec. 31, 1998",3.291B
"Sept. 30, 1998",3.352B
"June 30, 1998",3.203B
"March 31, 1998",3.207B
"Dec. 31, 1997",3.254B
