date,cash_operations_ttm
"Dec. 31, 2019",2.17B
"Sept. 30, 2019",2.152B
"June 30, 2019",2.229B
"March 31, 2019",2.299B
"Dec. 31, 2018",2.17B
"Sept. 30, 2018",2.157B
"June 30, 2018",2.075B
"March 31, 2018",2.045B
"Dec. 31, 2017",2.118B
"Sept. 30, 2017",2.205B
"June 30, 2017",2.217B
"March 31, 2017",2.099B
"Dec. 31, 2016",2.117B
"Sept. 30, 2016",2.048B
"June 30, 2016",2.013B
"March 31, 2016",2.068B
"Dec. 31, 2015",2.031B
"Sept. 30, 2015",1.904B
"June 30, 2015",1.692B
"March 31, 2015",1.638B
"Dec. 31, 2014",1.565B
"Sept. 30, 2014",1.582B
"June 30, 2014",1.579B
"March 31, 2014",1.553B
"Dec. 31, 2013",1.693B
"Sept. 30, 2013",1.692B
"June 30, 2013",1.697B
"March 31, 2013",1.686B
"Dec. 31, 2012",1.69B
"Sept. 30, 2012",1.625B
"June 30, 2012",1.74B
"March 31, 2012",1.701B
"Dec. 31, 2011",1.878B
"Sept. 30, 2011",1.892B
"June 30, 2011",1.951B
"March 31, 2011",2.003B
"Dec. 31, 2010",1.823B
"Sept. 30, 2010",1.777B
"June 30, 2010",1.877B
"March 31, 2010",1.841B
"Dec. 31, 2009",1.977B
"Sept. 30, 2009",1.967B
"June 30, 2009",1.894B
"March 31, 2009",1.711B
"Dec. 31, 2008",1.524B
"Sept. 30, 2008",1.435B
"June 30, 2008",1.06B
"March 31, 2008",1.073B
"Dec. 31, 2007",1.102B
"Sept. 30, 2007",1.13B
"June 30, 2007",1.203B
"March 31, 2007",1.264B
"Dec. 31, 2006",1.279B
"Sept. 30, 2006",1.231B
"June 30, 2006",1.121B
"March 31, 2006",1.267B
"Dec. 31, 2005",1.251B
"Sept. 30, 2005",1.482B
"June 30, 2005",1.442B
"March 31, 2005",1.242B
"Dec. 31, 2004",1.129B
"Sept. 30, 2004",906.00M
"June 30, 2004",1.028B
"March 31, 2004",1.04B
"Dec. 31, 2003",1.022B
"Sept. 30, 2003",952.00M
"June 30, 2003",917.00M
"March 31, 2003",949.00M
"Dec. 31, 2002",833.00M
"Sept. 30, 2002",748.00M
"June 30, 2002",872.05M
"March 31, 2002",661.46M
"Dec. 31, 2001",738.00M
"Sept. 30, 2001",816.66M
"June 30, 2001",813.28M
"March 31, 2001",834.11M
"Dec. 31, 2000",855.58M
"Sept. 30, 2000",825.62M
"June 30, 2000",822.25M
"March 31, 2000",957.65M
"Dec. 31, 1999",917.60M
"Sept. 30, 1999",1.015B
"June 30, 1999",936.80M
"March 31, 1999",832.86M
"Dec. 31, 1998",803.20M
