date,capex_ttm
"Dec. 31, 2019",2.442B
"Sept. 30, 2019",2.406B
"June 30, 2019",2.36B
"March 31, 2019",2.312B
"Dec. 31, 2018",2.338B
"Sept. 30, 2018",2.339B
"June 30, 2018",2.275B
"March 31, 2018",2.255B
"Dec. 31, 2017",2.195B
"Sept. 30, 2017",2.169B
"June 30, 2017",2.155B
"March 31, 2017",2.145B
"Dec. 31, 2016",2.131B
"Sept. 30, 2016",2.144B
"June 30, 2016",2.119B
"March 31, 2016",2.052B
"Dec. 31, 2015",1.969B
"Sept. 30, 2015",1.883B
"June 30, 2015",1.824B
"March 31, 2015",1.841B
"Dec. 31, 2014",1.859B
"Sept. 30, 2014",1.785B
"June 30, 2014",1.733B
"March 31, 2014",1.59B
"Dec. 31, 2013",1.424B
"Sept. 30, 2013",1.313B
"June 30, 2013",1.217B
"March 31, 2013",1.157B
"Dec. 31, 2012",1.154B
"Sept. 30, 2012",958.00M
"June 30, 2012",940.00M
"March 31, 2012",973.00M
"Dec. 31, 2011",943.00M
"Sept. 30, 2011",1.132B
"June 30, 2011",1.081B
"March 31, 2011",1.051B
"Dec. 31, 2010",1.11B
"Sept. 30, 2010",1.223B
"June 30, 2010",1.468B
"March 31, 2010",1.669B
"Dec. 31, 2009",1.784B
"Sept. 30, 2009",1.934B
"June 30, 2009",2.033B
"March 31, 2009",1.974B
"Dec. 31, 2008",2.069B
"Sept. 30, 2008",1.879B
"June 30, 2008",1.622B
"March 31, 2008",1.591B
"Dec. 31, 2007",1.449B
"Sept. 30, 2007",1.348B
"June 30, 2007",1.267B
"March 31, 2007",1.129B
"Dec. 31, 2006",1.031B
"Sept. 30, 2006",1.022B
"June 30, 2006",1.009B
"March 31, 2006",1.024B
"Dec. 31, 2005",952.00M
"Sept. 30, 2005",919.00M
"June 30, 2005",882.00M
"March 31, 2005",851.00M
"Dec. 31, 2004",806.00M
"Sept. 30, 2004",772.00M
"June 30, 2004",729.00M
"March 31, 2004",703.00M
"Dec. 31, 2003",682.00M
"Sept. 30, 2003",682.00M
"June 30, 2003",730.00M
"March 31, 2003",795.00M
"Dec. 31, 2002",815.00M
"Sept. 30, 2002",890.00M
"June 30, 2002",1.005B
"March 31, 2002",1.080B
"Dec. 31, 2001",1.127B
"Sept. 30, 2001",1.108B
"June 30, 2001",1.024B
"March 31, 2001",932.11M
"Dec. 31, 2000",950.25M
"Sept. 30, 2000",900.01M
"June 30, 2000",815.56M
"March 31, 2000",742.82M
"Dec. 31, 1999",592.70M
"Sept. 30, 1999",484.50M
"June 30, 1999",439.40M
"March 31, 1999",355.38M
"Dec. 31, 1998",345.30M
"Sept. 30, 1998",222.80M
"June 30, 1998",148.20M
"March 31, 1998",69.40M
