date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",31.06
"Sept. 30, 2019",31.13
"June 30, 2019",30.02
"March 31, 2019",29.70
"Dec. 31, 2018",29.53
"Sept. 30, 2018",29.67
"June 30, 2018",28.59
"March 31, 2018",27.99
"Dec. 31, 2017",27.92
"Sept. 30, 2017",28.58
"June 30, 2017",27.81
"March 31, 2017",27.42
"Dec. 31, 2016",27.58
"Sept. 30, 2016",27.96
"June 30, 2016",26.84
"March 31, 2016",26.62
"Dec. 31, 2015",26.94
"Sept. 30, 2015",27.22
"June 30, 2015",26.19
"March 31, 2015",25.94
"Dec. 31, 2014",25.98
"Sept. 30, 2014",26.15
"June 30, 2014",25.32
"March 31, 2014",25.08
"Dec. 31, 2013",25.28
"Sept. 30, 2013",25.33
"June 30, 2013",24.51
"March 31, 2013",24.48
"Dec. 31, 2012",25.52
"Sept. 30, 2012",30.70
"June 30, 2012",29.40
"March 31, 2012",28.90
"Dec. 31, 2011",30.92
"Sept. 30, 2011",31.30
"June 30, 2011",30.52
"March 31, 2011",30.31
"Dec. 31, 2010",30.42
"Sept. 30, 2010",
"June 30, 2010",29.47
"March 31, 2010",29.16
"Dec. 31, 2009",29.05
"Sept. 30, 2009",29.02
"June 30, 2009",28.79
"March 31, 2009",28.59
"Dec. 31, 2008",28.10
"Sept. 30, 2008",28.66
"June 30, 2008",27.65
"March 31, 2008",27.38
"Dec. 31, 2007",27.47
"Sept. 30, 2007",27.54
"June 30, 2007",26.88
"March 31, 2007",26.64
"Dec. 31, 2006",26.80
"Sept. 30, 2006",25.92
"June 30, 2006",24.89
"March 31, 2006",24.73
"Dec. 31, 2005",24.74
"Sept. 30, 2005",26.93
"June 30, 2005",26.15
"March 31, 2005",25.08
"Dec. 31, 2004",24.25
"Sept. 30, 2004",24.91
"June 30, 2004",25.49
"March 31, 2004",25.41
"Dec. 31, 2003",23.20
"Sept. 30, 2003",22.82
"June 30, 2003",21.74
"March 31, 2003",21.66
"Dec. 31, 2002",24.93
"Sept. 30, 2002",26.36
"June 30, 2002",24.48
"March 31, 2002",24.24
"Dec. 31, 2001",24.26
"Sept. 30, 2001",24.41
"June 30, 2001",20.60
"March 31, 2001",23.02
"Dec. 31, 2000",23.30
"Sept. 30, 2000",23.75
"June 30, 2000",22.52
"March 31, 2000",22.33
"Dec. 31, 1999",22.52
"Sept. 30, 1999",23.22
"June 30, 1999",22.03
"March 31, 1999",22.03
"Dec. 31, 1998",22.27
"Sept. 30, 1998",22.72
"June 30, 1998",21.63
"March 31, 1998",21.66
"Dec. 31, 1997",22.00
