date,return_on_assets
"Dec. 31, 2019",2.95%
"Sept. 30, 2019",2.90%
"June 30, 2019",2.91%
"March 31, 2019",3.18%
"Dec. 31, 2018",3.07%
"Sept. 30, 2018",2.62%
"June 30, 2018",2.39%
"March 31, 2018",2.24%
"Dec. 31, 2017",2.07%
"Sept. 30, 2017",2.47%
"June 30, 2017",2.84%
"March 31, 2017",2.69%
"Dec. 31, 2016",2.73%
"Sept. 30, 2016",2.74%
"June 30, 2016",2.66%
"March 31, 2016",2.69%
"Dec. 31, 2015",2.73%
"Sept. 30, 2015",2.86%
"June 30, 2015",2.68%
"March 31, 2015",2.72%
"Dec. 31, 2014",2.71%
"Sept. 30, 2014",2.66%
"June 30, 2014",2.69%
"March 31, 2014",2.44%
"Dec. 31, 2013",1.32%
"Sept. 30, 2013",-4.02%
"June 30, 2013",-3.68%
"March 31, 2013",-3.15%
"Dec. 31, 2012",-4.23%
"Sept. 30, 2012",0.89%
"June 30, 2012",0.51%
"March 31, 2012",0.19%
"Dec. 31, 2011",2.21%
"Sept. 30, 2011",2.33%
"June 30, 2011",0.40%
"March 31, 2011",0.46%
"Dec. 31, 2010",0.59%
"Sept. 30, 2010",0.70%
"June 30, 2010",2.37%
"March 31, 2010",2.44%
"Dec. 31, 2009",2.63%
"Sept. 30, 2009",2.59%
"June 30, 2009",2.53%
"March 31, 2009",2.77%
"Dec. 31, 2008",2.82%
"Sept. 30, 2008",3.12%
"June 30, 2008",3.34%
"March 31, 2008",3.10%
"Dec. 31, 2007",3.06%
"Sept. 30, 2007",2.88%
"June 30, 2007",3.20%
"March 31, 2007",3.16%
"Dec. 31, 2006",2.93%
"Sept. 30, 2006",2.75%
"June 30, 2006",2.72%
"March 31, 2006",3.10%
"Dec. 31, 2005",3.42%
"Sept. 30, 2005",3.80%
"June 30, 2005",3.67%
"March 31, 2005",3.38%
"Dec. 31, 2004",3.36%
"Sept. 30, 2004",3.24%
"June 30, 2004",3.74%
"March 31, 2004",3.74%
"Dec. 31, 2003",3.91%
"Sept. 30, 2003",3.55%
"June 30, 2003",3.43%
"March 31, 2003",3.65%
"Dec. 31, 2002",3.48%
"Sept. 30, 2002",4.37%
"June 30, 2002",4.72%
"March 31, 2002",4.62%
"Dec. 31, 2001",4.68%
"Sept. 30, 2001",4.52%
"June 30, 2001",4.50%
"March 31, 2001",4.77%
"Dec. 31, 2000",4.85%
"Sept. 30, 2000",4.56%
"June 30, 2000",4.56%
"March 31, 2000",4.31%
"Dec. 31, 1999",4.28%
"Sept. 30, 1999",4.64%
"June 30, 1999",4.53%
"March 31, 1999",4.51%
"Dec. 31, 1998",4.35%
"Sept. 30, 1998",3.98%
"June 30, 1998",3.77%
