date,net_income_annual_cs_rev
"Dec. 31, 2019",14.01%
"Dec. 31, 2018",12.96%
"Dec. 31, 2017",8.47%
"Dec. 31, 2016",10.75%
"Dec. 31, 2015",10.33%
"Dec. 31, 2014",9.68%
"Dec. 31, 2013",4.95%
"Dec. 31, 2012",-16.85%
"Dec. 31, 2011",8.44%
"Dec. 31, 2010",1.82%
"Dec. 31, 2009",8.58%
"Dec. 31, 2008",7.69%
"Dec. 31, 2007",8.19%
"Dec. 31, 2006",7.95%
"Dec. 31, 2005",8.94%
"Dec. 31, 2004",10.32%
"Dec. 31, 2003",11.46%
"Dec. 31, 2002",9.95%
"Dec. 31, 2001",12.16%
"Dec. 31, 2000",11.85%
"Dec. 31, 1999",10.93%
"Dec. 31, 1998",11.65%
"Dec. 31, 1997",10.06%
