date,shares_outstanding
"Jan. 31, 2020",246.23M
"Dec. 31, 2019",246.20M
"Oct. 31, 2019",246.03M
"Sept. 30, 2019",245.80M
"July 31, 2019",245.80M
"June 30, 2019",245.80M
"April 30, 2019",245.60M
"March 31, 2019",245.60M
"March 4, 2019",245.42M
"Jan. 31, 2019",244.64M
"Dec. 31, 2018",244.50M
"Oct. 31, 2018",244.30M
"Sept. 30, 2018",244.20M
"July 31, 2018",244.04M
"June 30, 2018",244.00M
"April 30, 2018",243.65M
"March 31, 2018",243.60M
"March 9, 2018",243.34M
"Feb. 26, 2018",242.63M
"Jan. 31, 2018",242.63M
"Dec. 31, 2017",242.60M
"Oct. 31, 2017",242.63M
"Sept. 30, 2017",242.60M
"July 31, 2017",242.63M
"June 30, 2017",242.60M
"April 28, 2017",242.63M
"March 31, 2017",242.60M
"March 1, 2017",242.63M
"Feb. 27, 2017",242.63M
"Jan. 31, 2017",242.63M
"Dec. 31, 2016",242.60M
"Oct. 31, 2016",242.63M
"Sept. 30, 2016",242.60M
"July 29, 2016",242.63M
"June 30, 2016",242.60M
"April 29, 2016",242.63M
"March 31, 2016",242.60M
"March 8, 2016",242.63M
"March 1, 2016",242.63M
"Jan. 29, 2016",242.63M
"Dec. 31, 2015",242.60M
"Oct. 30, 2015",242.63M
"Sept. 30, 2015",242.60M
"July 31, 2015",242.63M
"June 30, 2015",242.60M
"April 30, 2015",242.63M
"March 31, 2015",242.60M
"Feb. 25, 2015",242.63M
"Jan. 31, 2015",242.63M
"Jan. 30, 2015",242.63M
"Dec. 31, 2014",242.60M
"Oct. 31, 2014",242.63M
"Sept. 30, 2014",242.60M
"July 31, 2014",242.63M
"June 30, 2014",242.60M
"April 30, 2014",242.63M
"March 31, 2014",242.60M
"Feb. 26, 2014",242.63M
"Jan. 31, 2014",242.63M
"Dec. 31, 2013",242.60M
"Oct. 31, 2013",242.63M
"Sept. 30, 2013",242.60M
"July 31, 2013",242.63M
"June 30, 2013",242.60M
"April 30, 2013",242.63M
"March 31, 2013",242.60M
"Feb. 25, 2013",242.63M
"Feb. 1, 2013",242.73M
"Jan. 31, 2013",242.63M
"Dec. 31, 2012",242.60M
"Oct. 31, 2012",242.63M
"Sept. 30, 2012",242.60M
"July 31, 2012",242.63M
"June 30, 2012",242.60M
"April 30, 2012",242.63M
"March 31, 2012",242.60M
"Feb. 27, 2012",242.63M
"Feb. 1, 2012",242.63M
"Jan. 31, 2012",242.63M
"Dec. 31, 2011",242.60M
"Oct. 31, 2011",242.24M
"Sept. 30, 2011",242.20M
"July 29, 2011",241.67M
"June 30, 2011",241.60M
"April 29, 2011",241.15M
"March 31, 2011",241.10M
"Feb. 28, 2011",240.65M
"Feb. 1, 2011",240.54M
"Jan. 31, 2011",240.54M
"Dec. 31, 2010",240.40M
"Oct. 29, 2010",239.83M
"Sept. 30, 2010",239.70M
"July 30, 2010",239.22M
"June 30, 2010",239.10M
"April 30, 2010",238.29M
"March 31, 2010",238.20M
"Feb. 1, 2010",237.50M
"Jan. 29, 2010",237.50M
"Dec. 31, 2009",237.40M
"Oct. 30, 2009",236.92M
"Sept. 30, 2009",236.80M
"July 31, 2009",214.37M
"June 30, 2009",214.20M
"April 30, 2009",213.56M
"Dec. 31, 2008",212.30M
"Oct. 31, 2008",211.45M
"Sept. 30, 2008",210.90M
"July 31, 2008",210.21M
"June 30, 2008",210.10M
"April 30, 2008",209.47M
"March 31, 2008",209.40M
"Jan. 31, 2008",207.51M
"Dec. 31, 2007",208.30M
"Sept. 30, 2007",208.01M
"June 30, 2007",207.60M
"March 31, 2007",207.02M
"Feb. 1, 2007",205.83M
