date,tangible_common_equity_ratio
"Dec. 31, 2019",26.81%
"Sept. 30, 2019",27.19%
"June 30, 2019",26.65%
"March 31, 2019",26.92%
"Dec. 31, 2018",26.94%
"Sept. 30, 2018",27.29%
"June 30, 2018",26.59%
"March 31, 2018",26.57%
"Dec. 31, 2017",26.53%
"Sept. 30, 2017",27.51%
"June 30, 2017",27.16%
"March 31, 2017",27.27%
"Dec. 31, 2016",27.55%
"Sept. 30, 2016",28.59%
"June 30, 2016",27.85%
"March 31, 2016",28.11%
"Dec. 31, 2015",28.13%
"Sept. 30, 2015",28.65%
"June 30, 2015",27.94%
"March 31, 2015",28.00%
"Dec. 31, 2014",28.81%
"Sept. 30, 2014",29.58%
"June 30, 2014",29.03%
"March 31, 2014",29.34%
"Dec. 31, 2013",29.73%
"Sept. 30, 2013",27.98%
"June 30, 2013",27.21%
"March 31, 2013",27.59%
"Dec. 31, 2012",28.39%
"Sept. 30, 2012",32.28%
"June 30, 2012",31.62%
"March 31, 2012",31.19%
"Dec. 31, 2011",32.29%
"Sept. 30, 2011",33.04%
"June 30, 2011",32.09%
"March 31, 2011",31.89%
"Dec. 31, 2010",31.66%
"Sept. 30, 2010",
"June 30, 2010",30.68%
"March 31, 2010",30.55%
"Dec. 31, 2009",30.32%
"Sept. 30, 2009",30.37%
"June 30, 2009",27.76%
"March 31, 2009",27.49%
"Dec. 31, 2008",27.52%
"Sept. 30, 2008",29.52%
"June 30, 2008",28.15%
"March 31, 2008",29.05%
"Dec. 31, 2007",29.05%
"Sept. 30, 2007",29.56%
"June 30, 2007",28.63%
"March 31, 2007",29.68%
"Dec. 31, 2006",29.87%
"Sept. 30, 2006",30.32%
"June 30, 2006",29.74%
"March 31, 2006",29.72%
"Dec. 31, 2005",30.02%
"Sept. 30, 2005",32.10%
"June 30, 2005",32.19%
"March 31, 2005",29.93%
"Dec. 31, 2004",28.89%
"Sept. 30, 2004",28.91%
"June 30, 2004",33.11%
"March 31, 2004",32.95%
"Dec. 31, 2003",27.67%
"Sept. 30, 2003",28.70%
"June 30, 2003",27.40%
"March 31, 2003",26.90%
"Dec. 31, 2002",31.62%
"Sept. 30, 2002",36.09%
"June 30, 2002",33.10%
"March 31, 2002",33.60%
"Dec. 31, 2001",32.20%
"Sept. 30, 2001",32.66%
"June 30, 2001",29.06%
"March 31, 2001",32.68%
"Dec. 31, 2000",32.91%
"Sept. 30, 2000",33.86%
"June 30, 2000",33.18%
"March 31, 2000",32.89%
"Dec. 31, 1999",33.67%
"Sept. 30, 1999",34.41%
"June 30, 1999",33.82%
"March 31, 1999",34.31%
"Dec. 31, 1998",34.54%
"Sept. 30, 1998",34.17%
"June 30, 1998",33.42%
"March 31, 1998",33.78%
"Dec. 31, 1997",34.20%
