date,payout_ratio
"Dec. 31, 2019",57.00%
"Sept. 30, 2019",58.23%
"June 30, 2019",57.99%
"March 31, 2019",53.33%
"Dec. 31, 2018",55.34%
"Sept. 30, 2018",64.77%
"June 30, 2018",71.20%
"March 31, 2018",76.05%
"Dec. 31, 2017",82.41%
"Sept. 30, 2017",69.43%
"June 30, 2017",60.92%
"March 31, 2017",64.62%
"Dec. 31, 2016",63.71%
"Sept. 30, 2016",63.54%
"June 30, 2016",65.54%
"March 31, 2016",64.75%
"Dec. 31, 2015",63.81%
"Sept. 30, 2015",61.17%
"June 30, 2015",65.94%
"March 31, 2015",65.55%
"Dec. 31, 2014",66.55%
"Sept. 30, 2014",67.48%
"June 30, 2014",66.44%
"March 31, 2014",73.21%
"Dec. 31, 2013",134.3%
"Sept. 30, 2013",-43.03%
"June 30, 2013",-46.75%
"March 31, 2013",-54.33%
"Dec. 31, 2012",-39.22%
"Sept. 30, 2012",183.6%
"June 30, 2012",318.6%
"March 31, 2012",826.7%
"Dec. 31, 2011",72.25%
"Sept. 30, 2011",67.95%
"June 30, 2011",394.7%
"March 31, 2011",342.6%
"Dec. 31, 2010",264.7%
"Sept. 30, 2010",209.6%
"June 30, 2010",63.75%
"March 31, 2010",59.16%
"Dec. 31, 2009",55.23%
"Sept. 30, 2009",62.71%
"June 30, 2009",72.49%
"March 31, 2009",79.11%
"Dec. 31, 2008",88.26%
"Sept. 30, 2008",88.87%
"June 30, 2008",82.18%
"March 31, 2008",88.47%
"Dec. 31, 2007",88.67%
"Sept. 30, 2007",92.12%
"June 30, 2007",84.68%
"March 31, 2007",87.17%
"Dec. 31, 2006",95.43%
"Sept. 30, 2006",102.6%
"June 30, 2006",105.1%
"March 31, 2006",93.15%
"Dec. 31, 2005",84.32%
"Sept. 30, 2005",75.64%
"June 30, 2005",80.52%
"March 31, 2005",87.91%
"Dec. 31, 2004",90.38%
"Sept. 30, 2004",94.43%
"June 30, 2004",82.77%
"March 31, 2004",81.54%
"Dec. 31, 2003",78.24%
"Sept. 30, 2003",89.21%
"June 30, 2003",95.23%
"March 31, 2003",91.27%
"Dec. 31, 2002",98.43%
"Sept. 30, 2002",79.27%
"June 30, 2002",72.80%
"March 31, 2002",75.08%
"Dec. 31, 2001",74.34%
"Sept. 30, 2001",77.97%
"June 30, 2001",80.01%
"March 31, 2001",76.74%
"Dec. 31, 2000",76.25%
"Sept. 30, 2000",81.90%
"June 30, 2000",83.13%
"March 31, 2000",88.88%
"Dec. 31, 1999",90.51%
"Sept. 30, 1999",83.58%
"June 30, 1999",86.29%
"March 31, 1999",108.6%
"Dec. 31, 1998",90.17%
"Sept. 30, 1998",73.68%
"June 30, 1998",52.26%
"March 31, 1998",0.00%
"Dec. 31, 1997",0.00%
