date,kz_index
"Dec. 31, 2018",0.0531
"Dec. 31, 2017",0.6826
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",
"Dec. 31, 2013",
"Dec. 31, 2012",
"Dec. 31, 2011",-0.881
"Dec. 31, 2010",
"Dec. 31, 2009",
"Dec. 31, 2008",0.1614
"Dec. 31, 2007",-0.5899
"Dec. 31, 2006",-1.062
"Dec. 31, 2005",-0.8086
"Dec. 31, 2004",-0.2612
"Dec. 31, 2003",0.0648
"Dec. 31, 2002",0.0512
"Dec. 31, 2001",0.163
"Dec. 31, 2000",0.572
"Dec. 31, 1999",0.5588
"Dec. 31, 1998",
"Dec. 31, 1997",
"Dec. 31, 1996",-0.0331
"Dec. 31, 1995",0.3621
"Dec. 31, 1994",
"Dec. 31, 1993",0.7281
"Dec. 31, 1992",
"Dec. 31, 1991",
"Dec. 31, 1990",0.6797
"Dec. 31, 1989",1.107
"Dec. 31, 1988",2.190
"Dec. 31, 1987",2.415
"Dec. 31, 1986",
"Dec. 31, 1985",2.474
