date,times_interest_earned
"Dec. 31, 2019",16.83
"Sept. 30, 2019",17.36
"June 30, 2019",16.44
"March 31, 2019",16.98
"Dec. 31, 2018",16.78
"Sept. 30, 2018",14.22
"June 30, 2018",9.932
"March 31, 2018",0.4211
"Dec. 31, 2017",-1.538
"Sept. 30, 2017",-2.437
"June 30, 2017",-4.097
"March 31, 2017",-1.849
"Dec. 31, 2016",-3.607
"Sept. 30, 2016",-8.147
"June 30, 2016",-9.052
"March 31, 2016",-8.499
"Dec. 31, 2015",-7.222
"Sept. 30, 2015",-2.270
"June 30, 2015",3.869
"March 31, 2015",10.09
"Dec. 31, 2014",17.77
"Sept. 30, 2014",23.35
"June 30, 2014",26.60
"March 31, 2014",27.80
"Dec. 31, 2013",30.18
"Sept. 30, 2013",38.50
"June 30, 2013",35.72
"March 31, 2013",32.09
"Dec. 31, 2012",29.55
"Sept. 30, 2012",25.06
"June 30, 2012",22.61
"March 31, 2012",22.05
"Dec. 31, 2011",22.07
"Sept. 30, 2011",20.33
"June 30, 2011",21.47
"March 31, 2011",20.96
"Dec. 31, 2010",18.45
"Sept. 30, 2010",18.35
"June 30, 2010",15.16
"March 31, 2010",12.21
"Dec. 31, 2009",10.24
"Sept. 30, 2009",-24.17
"June 30, 2009",-26.64
"March 31, 2009",-14.58
"Dec. 31, 2008",-5.053
"Sept. 30, 2008",85.32
"June 30, 2008",78.33
"March 31, 2008",150.16
