date,ni_per_employee_annual
"Dec. 31, 2019",678207.5
"Dec. 31, 2018",563693.7
"Dec. 31, 2017",-69230.77
"Dec. 31, 2016",-247602.7
"Dec. 31, 2015",-253028.6
"Dec. 31, 2014",366346.7
"Dec. 31, 2013",518753.5
"Dec. 31, 2012",360942.2
"Dec. 31, 2011",418016.8
"Dec. 31, 2010",380502.5
"Dec. 31, 2009",138369.9
"Dec. 31, 2008",-492439.8
"Dec. 31, 2007",334957.7
"Dec. 31, 2006",420270.3
"Dec. 31, 2005",378963.6
"Dec. 31, 2004",217352.9
"Dec. 31, 2003",123106.9
"Dec. 31, 2002",-7699.84
"Dec. 31, 2001",65009.78
"Dec. 31, 2000",131590.1
"Dec. 31, 1999",36686.75
"Dec. 31, 1998",13779.07
"Dec. 31, 1997",55918.37
"Dec. 31, 1996",75317.92
"Dec. 31, 1995",26201.12
"Dec. 31, 1994",25608.47
"Dec. 31, 1993",11911.76
"Dec. 31, 1992",8163.27
"Dec. 31, 1991",11807.78
"Dec. 31, 1990",37095.24
