date,revenues_per_share
"Dec. 31, 2019",7.001
"Sept. 30, 2019",6.967
"June 30, 2019",7.030
"March 31, 2019",7.981
"Dec. 31, 2018",8.334
"Sept. 30, 2018",8.058
"June 30, 2018",7.200
"March 31, 2018",7.415
"Dec. 31, 2017",6.812
"Sept. 30, 2017",5.503
"June 30, 2017",5.483
"March 31, 2017",6.021
"Dec. 31, 2016",5.463
"Sept. 30, 2016",5.149
"June 30, 2016",4.296
"March 31, 2016",4.115
"Dec. 31, 2015",5.060
"Sept. 30, 2015",5.846
"June 30, 2015",6.682
"March 31, 2015",6.195
"Dec. 31, 2014",9.016
"Sept. 30, 2014",9.684
"June 30, 2014",11.10
"March 31, 2014",12.40
"Dec. 31, 2013",10.67
"Sept. 30, 2013",11.00
"June 30, 2013",10.79
"March 31, 2013",11.46
"Dec. 31, 2012",12.64
"Sept. 30, 2012",11.50
"June 30, 2012",10.86
"March 31, 2012",11.29
"Dec. 31, 2011",10.72
"Sept. 30, 2011",11.87
"June 30, 2011",12.25
"March 31, 2011",39.59
"Dec. 31, 2010",-58.84
"Sept. 30, 2010",32.51
"June 30, 2010",32.67
"March 31, 2010",29.86
"Dec. 31, 2009",28.63
"Sept. 30, 2009",26.81
"June 30, 2009",23.70
"March 31, 2009",20.89
"Dec. 31, 2008",26.63
"Sept. 30, 2008",46.70
"June 30, 2008",47.16
"March 31, 2008",35.75
"Dec. 31, 2007",33.68
"Sept. 30, 2007",29.15
"June 30, 2007",29.79
"March 31, 2007",24.76
"Dec. 31, 2006",25.40
"Sept. 30, 2006",29.59
"June 30, 2006",28.88
"March 31, 2006",34.12
"Dec. 31, 2005",37.04
"Sept. 30, 2005",35.03
"June 30, 2005",30.02
"March 31, 2005",27.40
"Dec. 31, 2004",24.82
"Sept. 30, 2004",21.57
"June 30, 2004",22.81
"March 31, 2004",21.77
"Dec. 31, 2003",26.18
"Sept. 30, 2003",16.69
"June 30, 2003",18.69
"March 31, 2003",19.82
"Dec. 31, 2002",19.62
"Sept. 30, 2002",13.59
"June 30, 2002",13.53
"March 31, 2002",11.09
"Dec. 31, 2001",12.87
"Sept. 30, 2001",9.721
"June 30, 2001",10.53
"March 31, 2001",9.535
"Dec. 31, 2000",13.75
"Sept. 30, 2000",10.15
"June 30, 2000",10.61
"March 31, 2000",9.361
"Dec. 31, 1999",8.466
"Sept. 30, 1999",7.377
"June 30, 1999",6.344
"March 31, 1999",5.009
"Dec. 31, 1998",5.250
"Sept. 30, 1998",5.631
"June 30, 1998",5.710
"March 31, 1998",6.154
"Dec. 31, 1997",7.106
"Sept. 30, 1997",7.327
"June 30, 1997",7.090
"March 31, 1997",7.513
"Dec. 31, 1996",7.948
"Sept. 30, 1996",7.404
"June 30, 1996",7.558
"March 31, 1996",6.866
"Dec. 31, 1995",6.383
"Sept. 30, 1995",6.513
"June 30, 1995",6.938
"March 31, 1995",5.969
"Dec. 31, 1994",5.864
"Sept. 30, 1994",6.398
"June 30, 1994",5.789
"March 31, 1994",5.592
"Dec. 31, 1993",5.617
"Sept. 30, 1993",6.228
"June 30, 1993",6.235
"March 31, 1993",5.812
"Dec. 31, 1992",6.114
"Sept. 30, 1992",6.015
"June 30, 1992",5.942
"March 31, 1992",5.324
"Dec. 31, 1991",6.475
"Sept. 30, 1991",5.829
"June 30, 1991",6.101
"March 31, 1991",6.828
"Dec. 31, 1990",8.540
"Sept. 30, 1990",6.929
"June 30, 1990",6.102
"March 31, 1990",6.409
"Dec. 31, 1989",6.444
"Sept. 30, 1989",6.269
"June 30, 1989",6.781
"March 31, 1989",6.376
"Dec. 31, 1988",5.879
"Sept. 30, 1988",5.786
"June 30, 1988",6.308
"March 31, 1988",6.350
"Dec. 31, 1987",5.991
"Sept. 30, 1987",6.053
"June 30, 1987",5.714
"March 31, 1987",5.466
"Dec. 31, 1986",4.699
"Sept. 30, 1986",4.805
"June 30, 1986",5.149
"March 31, 1986",6.852
"Dec. 31, 1985",8.231
"Sept. 30, 1985",8.838
"June 30, 1985",8.986
"March 31, 1985",9.076
"Dec. 31, 1984",3.786
"Sept. 30, 1984",4.167
"June 30, 1984",4.365
"March 31, 1984",4.264
