date,cash_investing_ttm
"Dec. 31, 2019",-6.618B
"Sept. 30, 2019",-2.966B
"June 30, 2019",-4.754B
"March 31, 2019",-5.242B
"Dec. 31, 2018",-3.843B
"Sept. 30, 2018",-4.134B
"June 30, 2018",-488.00M
"March 31, 2018",8.658B
"Dec. 31, 2017",7.762B
"Sept. 30, 2017",8.284B
"June 30, 2017",6.551B
"March 31, 2017",-2.768B
"Dec. 31, 2016",-3.859B
"Sept. 30, 2016",-4.538B
"June 30, 2016",-7.062B
"March 31, 2016",-7.406B
"Dec. 31, 2015",-8.655B
"Sept. 30, 2015",-11.60B
"June 30, 2015",-12.85B
"March 31, 2015",-14.58B
"Dec. 31, 2014",-14.96B
"Sept. 30, 2014",-9.133B
"June 30, 2014",-8.349B
"March 31, 2014",-7.57B
"Dec. 31, 2013",-6.305B
"Sept. 30, 2013",-11.50B
"June 30, 2013",-11.55B
"March 31, 2013",-11.05B
"Dec. 31, 2012",-11.63B
"Sept. 30, 2012",-7.574B
"June 30, 2012",-8.046B
"March 31, 2012",-7.814B
"Dec. 31, 2011",-7.015B
"Sept. 30, 2011",-9.258B
"June 30, 2011",-1.912B
"March 31, 2011",4.611B
"Dec. 31, 2010",4.665B
"Sept. 30, 2010",3.278B
"June 30, 2010",-2.744B
"March 31, 2010",-9.166B
"Dec. 31, 2009",-9.935B
"Sept. 30, 2009",-14.89B
"June 30, 2009",-16.70B
"March 31, 2009",-17.53B
"Dec. 31, 2008",-17.62B
"Sept. 30, 2008",-13.51B
"June 30, 2008",-11.61B
"March 31, 2008",-9.926B
"Dec. 31, 2007",-8.562B
"Sept. 30, 2007",-9.133B
"June 30, 2007",-10.97B
"March 31, 2007",-12.83B
"Dec. 31, 2006",-29.99B
"Sept. 30, 2006",-29.09B
"June 30, 2006",-28.80B
"March 31, 2006",-28.12B
"Dec. 31, 2005",-11.02B
"Sept. 30, 2005",-12.55B
"June 30, 2005",-10.65B
"March 31, 2005",-8.421B
"Dec. 31, 2004",-7.789B
"Sept. 30, 2004",-4.192B
"June 30, 2004",-3.337B
"March 31, 2004",-3.80B
"Dec. 31, 2003",-3.734B
"Sept. 30, 2003",-4.145B
"June 30, 2003",-3.346B
"March 31, 2003",-3.059B
"Dec. 31, 2002",-2.683B
"Sept. 30, 2002",-2.315B
"June 30, 2002",-3.132B
"March 31, 2002",-2.808B
"Dec. 31, 2001",-2.838B
"Sept. 30, 2001",-1.807B
"June 30, 2001",-1.874B
"March 31, 2001",-6.099B
"Dec. 31, 2000",-5.767B
"Sept. 30, 2000",-6.093B
"June 30, 2000",-5.706B
"March 31, 2000",-1.55B
"Dec. 31, 1999",-1.482B
"Sept. 30, 1999",-1.617B
"June 30, 1999",-2.017B
"March 31, 1999",-1.84B
"Dec. 31, 1998",-1.984B
"Sept. 30, 1998",-2.326B
"June 30, 1998",-2.115B
"March 31, 1998",-2.083B
"Dec. 31, 1997",-2.056B
"Sept. 30, 1997",-1.786B
"June 30, 1997",-1.584B
"March 31, 1997",-1.59B
"Dec. 31, 1996",-1.541B
"Sept. 30, 1996",-1.546B
"June 30, 1996",-1.548B
"March 31, 1996",-1.452B
"Dec. 31, 1995",-1.353B
"Sept. 30, 1995",-1.236B
"June 30, 1995",-1.017B
"March 31, 1995",-1.005B
"Dec. 31, 1994",-908.00M
"Sept. 30, 1994",-481.00M
"June 30, 1994",-599.00M
"March 31, 1994",-377.00M
"Dec. 31, 1993",-405.00M
"Sept. 30, 1993",-453.00M
"June 30, 1993",-550.00M
"March 31, 1993",-699.00M
"Dec. 31, 1992",-791.00M
"Sept. 30, 1992",-1.145B
"June 30, 1992",-1.142B
"March 31, 1992",-1.332B
"Dec. 31, 1991",-1.333B
"Sept. 30, 1991",-1.198B
"June 30, 1991",-1.196B
"March 31, 1991",-867.00M
"Dec. 31, 1990",-708.00M
