Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
02/13/2020,02/14/2020,03/02/2020,02/04/2020,Normal,0.42
10/16/2019,10/17/2019,12/02/2019,10/07/2019,Normal,0.42
07/19/2019,07/22/2019,09/03/2019,07/11/2019,Normal,0.305
05/10/2019,05/13/2019,06/03/2019,05/01/2019,Normal,0.305
02/08/2019,02/11/2019,03/01/2019,01/30/2019,Normal,0.305
10/12/2018,10/15/2018,12/03/2018,10/05/2018,Normal,0.305
07/20/2018,07/23/2018,09/04/2018,07/11/2018,Normal,0.285
05/11/2018,05/14/2018,06/01/2018,05/03/2018,Normal,0.285
02/09/2018,02/12/2018,03/01/2018,02/01/2018,Normal,0.285
10/13/2017,10/16/2017,12/01/2017,10/06/2017,Normal,0.265
07/20/2017,07/24/2017,09/01/2017,07/12/2017,Normal,0.265
05/11/2017,05/15/2017,06/01/2017,05/05/2017,Normal,0.265
02/10/2017,02/14/2017,03/01/2017,02/01/2017,Normal,0.265
10/13/2016,10/17/2016,12/01/2016,10/06/2016,Normal,0.25
07/21/2016,07/25/2016,09/01/2016,07/13/2016,Normal,0.25
05/18/2016,05/20/2016,06/01/2016,05/10/2016,Normal,0.25
02/11/2016,02/16/2016,03/01/2016,02/04/2016,Normal,0.25
10/15/2015,10/19/2015,12/01/2015,10/09/2015,Normal,0.74
07/23/2015,07/27/2015,09/01/2015,07/17/2015,Normal,0.74
05/20/2015,05/22/2015,06/01/2015,05/12/2015,Normal,0.73
02/12/2015,02/17/2015,03/02/2015,02/04/2015,Normal,0.73
10/09/2014,10/14/2014,12/01/2014,10/01/2014,Normal,0.73
07/17/2014,07/21/2014,09/02/2014,07/10/2014,Normal,0.73
05/21/2014,05/23/2014,06/02/2014,05/13/2014,Normal,0.69
02/13/2014,02/18/2014,03/03/2014,02/05/2014,Normal,0.69
10/10/2013,10/15/2013,12/02/2013,10/04/2013,Normal,0.69
07/18/2013,07/22/2013,09/03/2013,07/11/2013,Normal,0.69
05/22/2013,05/24/2013,06/03/2013,05/14/2013,Normal,0.66
02/14/2013,02/19/2013,03/01/2013,02/06/2013,Normal,0.66
10/11/2012,10/15/2012,12/03/2012,10/05/2012,Normal,0.66
07/19/2012,07/23/2012,09/04/2012,07/11/2012,Normal,0.66
05/17/2012,05/21/2012,06/01/2012,05/10/2012,Normal,0.66
02/16/2012,02/21/2012,03/01/2012,02/11/2012,Normal,0.66
10/13/2011,10/17/2011,12/01/2011,10/06/2011,Normal,0.66
07/21/2011,07/25/2011,09/01/2011,07/14/2011,Normal,0.66
05/19/2011,05/23/2011,06/01/2011,05/12/2011,Normal,0.66
02/17/2011,02/22/2011,03/01/2011,02/12/2011,Normal,0.66
10/27/2010,10/29/2010,12/01/2010,10/07/2010,Normal,0.55
07/29/2010,08/02/2010,09/01/2010,07/15/2010,Normal,0.55
05/20/2010,05/24/2010,06/01/2010,03/25/2010,Normal,0.55
02/18/2010,02/22/2010,03/01/2010,02/15/2010,Normal,0.50
10/28/2009,10/30/2009,12/01/2009,10/08/2009,Normal,0.50
07/29/2009,07/31/2009,09/01/2009,07/16/2009,Normal,0.47
05/21/2009,05/26/2009,06/01/2009,05/14/2009,Normal,0.47
02/19/2009,02/23/2009,03/02/2009,02/16/2009,Normal,0.47
10/29/2008,10/31/2008,12/01/2008,10/02/2008,Normal,0.47
07/29/2008,07/31/2008,09/02/2008,07/10/2008,Normal,0.47
05/22/2008,05/27/2008,06/02/2008,05/14/2008,Normal,0.47
02/21/2008,02/25/2008,03/03/2008,02/15/2008,Normal,0.47
10/29/2007,10/31/2007,12/03/2007,10/10/2007,Normal,0.41
07/27/2007,07/31/2007,09/04/2007,07/09/2007,Normal,0.41
05/17/2007,05/21/2007,06/01/2007,05/09/2007,Normal,0.41
02/15/2007,02/20/2007,03/01/2007,02/09/2007,Normal,0.41
10/27/2006,10/31/2006,12/01/2006,10/04/2006,Normal,0.36
07/27/2006,07/31/2006,09/01/2006,07/12/2006,Normal,0.36
05/18/2006,05/22/2006,06/01/2006,05/10/2006,Normal,0.36
02/16/2006,02/21/2006,03/01/2006,02/10/2006,Normal,0.36
10/27/2005,10/31/2005,12/01/2005,09/01/2005,Normal,0.31
07/27/2005,07/31/2005,09/01/2005,07/13/2005,Normal,0.31
05/12/2005,05/16/2005,06/01/2005,04/11/2005,Normal,0.31
02/11/2005,02/15/2005,03/01/2005,12/31/2004,Normal,0.25
10/27/2004,10/29/2004,12/01/2004,09/22/2004,Normal,0.25
07/28/2004,07/31/2004,09/01/2004,07/15/2004,Normal,0.215
05/13/2004,05/17/2004,06/01/2004,05/06/2004,Normal,0.215
02/18/2004,02/20/2004,03/01/2004,02/09/2004,Normal,0.215
10/29/2003,10/31/2003,12/01/2003,10/07/2003,Normal,0.215
07/29/2003,07/31/2003,09/02/2003,07/01/2003,Normal,0.20
04/28/2003,04/30/2003,06/02/2003,04/01/2003,Normal,0.20
02/18/2003,02/20/2003,03/03/2003,02/10/2003,Normal,0.20
10/31/2002,11/04/2002,12/02/2002,10/22/2002,Normal,0.20
08/07/2002,08/09/2002,09/03/2002,07/29/2002,Normal,0.18
04/26/2002,04/30/2002,05/31/2002,04/08/2002,Normal,0.18
02/19/2002,02/21/2002,03/01/2002,01/10/2002,Normal,0.18
10/29/2001,10/31/2001,12/03/2001,10/08/2001,Normal,0.18
07/26/2001,07/30/2001,09/04/2001,07/09/2001,Normal,0.18
04/26/2001,04/30/2001,06/01/2001,04/09/2001,Normal,0.17
02/16/2001,02/21/2001,03/01/2001,02/12/2001,Normal,0.17
10/26/2000,10/30/2000,12/01/2000,10/09/2000,Normal,0.17
07/27/2000,07/31/2000,09/01/2000,07/10/2000,Normal,0.17
04/27/2000,05/01/2000,06/01/2000,04/10/2000,Normal,0.17
02/16/2000,02/18/2000,03/06/2000,02/14/2000,Normal,0.17
10/28/1999,11/01/1999,12/01/1999,10/11/1999,Normal,0.17
07/29/1999,08/02/1999,09/01/1999,07/26/1999,Normal,0.17
04/29/1999,05/03/1999,06/01/1999,04/12/1999,Normal,0.17
02/10/1999,02/15/1999,03/01/1999,02/08/1999,Normal,0.17
10/29/1998,11/02/1998,12/01/1998,10/12/1998,Normal,0.17
07/30/1998,08/03/1998,09/01/1998,07/17/1998,Normal,0.17
04/29/1998,05/01/1998,06/01/1998,04/13/1998,Normal,0.17
01/29/1998,02/02/1998,03/02/1998,12/18/1997,Normal,0.17
10/30/1997,11/03/1997,12/01/1997,10/10/1997,Normal,0.17
07/30/1997,08/01/1997,09/02/1997,06/20/1997,Normal,0.17
04/30/1997,05/02/1997,06/02/1997,04/14/1997,Normal,0.17
01/30/1997,02/03/1997,03/03/1997,01/13/1997,Normal,0.16
10/30/1996,11/01/1996,11/29/1996,10/14/1996,Normal,0.16
07/31/1996,08/02/1996,08/30/1996,07/08/1996,Normal,0.16
05/01/1996,05/03/1996,05/31/1996,04/08/1996,Normal,0.1525
01/31/1996,02/02/1996,03/01/1996,01/08/1996,Normal,0.1525
11/01/1995,11/03/1995,12/01/1995,10/09/1995,Normal,0.1525
08/02/1995,08/04/1995,09/01/1995,07/10/1995,Normal,0.1525
05/01/1995,05/05/1995,06/01/1995,04/10/1995,Normal,0.1525
01/30/1995,02/03/1995,03/01/1995,01/09/1995,Normal,0.14
10/31/1994,11/04/1994,12/01/1994,10/10/1994,Normal,0.14
08/01/1994,08/05/1994,09/01/1994,07/11/1994,Normal,0.14
05/02/1994,05/06/1994,06/01/1994,04/11/1994,Normal,0.14
01/31/1994,02/04/1994,03/01/1994,01/10/1994,Normal,0.14
11/01/1993,11/05/1993,12/01/1993,10/11/1993,Normal,0.14
08/02/1993,08/06/1993,09/01/1993,07/12/1993,Normal,0.14
05/03/1993,05/07/1993,06/01/1993,04/12/1993,Normal,0.14
02/01/1993,02/05/1993,03/01/1993,01/11/1993,Normal,0.14
11/02/1992,11/06/1992,12/01/1992,10/12/1992,Normal,0.14
08/03/1992,08/07/1992,09/01/1992,07/13/1992,Normal,0.14
05/04/1992,05/08/1992,06/01/1992,04/13/1992,Normal,0.14
02/03/1992,02/07/1992,02/28/1992,01/13/1992,Normal,0.14
11/04/1991,11/08/1991,11/29/1991,10/14/1991,Normal,0.14
08/05/1991,08/09/1991,08/30/1991,07/08/1991,Normal,0.14
04/29/1991,05/03/1991,05/31/1991,04/08/1991,Normal,0.14
02/04/1991,02/08/1991,03/01/1991,01/14/1991,Normal,0.14
10/29/1990,11/02/1990,11/30/1990,10/08/1990,Normal,0.14
