date,return_on_invested_capital
"Dec. 31, 2019",14.79%
"Sept. 30, 2019",17.36%
"June 30, 2019",15.12%
"March 31, 2019",15.26%
"Dec. 31, 2018",13.11%
"Sept. 30, 2018",12.27%
"June 30, 2018",9.05%
"March 31, 2018",-1.04%
"Dec. 31, 2017",-1.52%
"Sept. 30, 2017",-4.18%
"June 30, 2017",-6.33%
"March 31, 2017",-2.40%
"Dec. 31, 2016",-5.51%
"Sept. 30, 2016",-10.50%
"June 30, 2016",-10.27%
"March 31, 2016",-8.85%
"Dec. 31, 2015",-6.24%
"Sept. 30, 2015",-1.39%
"June 30, 2015",3.69%
"March 31, 2015",6.69%
"Dec. 31, 2014",9.10%
"Sept. 30, 2014",12.49%
"June 30, 2014",12.40%
"March 31, 2014",12.56%
"Dec. 31, 2013",12.75%
"Sept. 30, 2013",11.44%
"June 30, 2013",10.59%
"March 31, 2013",10.18%
"Dec. 31, 2012",10.74%
"Sept. 30, 2012",12.62%
"June 30, 2012",12.84%
"March 31, 2012",13.40%
"Dec. 31, 2011",13.57%
"Sept. 30, 2011",11.97%
"June 30, 2011",12.37%
"March 31, 2011",13.22%
"Dec. 31, 2010",12.29%
"Sept. 30, 2010",11.47%
"June 30, 2010",9.83%
"March 31, 2010",6.32%
"Dec. 31, 2009",4.98%
"Sept. 30, 2009",-29.88%
"June 30, 2009",-24.70%
"March 31, 2009",-19.19%
"Dec. 31, 2008",-15.16%
"Sept. 30, 2008",16.92%
"June 30, 2008",15.78%
"March 31, 2008",11.30%
"Dec. 31, 2007",10.78%
"Sept. 30, 2007",9.76%
"June 30, 2007",9.98%
"March 31, 2007",14.53%
"Dec. 31, 2006",15.53%
"Sept. 30, 2006",17.65%
"June 30, 2006",19.59%
"March 31, 2006",19.35%
"Dec. 31, 2005",21.64%
"Sept. 30, 2005",20.31%
"June 30, 2005",17.94%
"March 31, 2005",16.61%
"Dec. 31, 2004",14.70%
"Sept. 30, 2004",12.47%
"June 30, 2004",11.43%
"March 31, 2004",9.92%
"Dec. 31, 2003",9.30%
"Sept. 30, 2003",6.48%
"June 30, 2003",4.14%
"March 31, 2003",2.60%
"Dec. 31, 2002",-0.86%
"Sept. 30, 2002",1.03%
"June 30, 2002",3.66%
"March 31, 2002",5.52%
"Dec. 31, 2001",9.67%
"Sept. 30, 2001",14.81%
"June 30, 2001",17.33%
"March 31, 2001",17.20%
"Dec. 31, 2000",16.31%
"Sept. 30, 2000",12.91%
"June 30, 2000",11.98%
"March 31, 2000",8.94%
"Dec. 31, 1999",6.93%
"Sept. 30, 1999",1.72%
"June 30, 1999",-0.31%
"March 31, 1999",0.77%
"Dec. 31, 1998",2.93%
"Sept. 30, 1998",8.29%
"June 30, 1998",10.66%
"March 31, 1998",12.81%
"Dec. 31, 1997",12.78%
"Sept. 30, 1997",12.95%
"June 30, 1997",12.77%
"March 31, 1997",11.80%
"Dec. 31, 1996",18.95%
"Sept. 30, 1996",18.33%
"June 30, 1996",18.04%
"March 31, 1996",16.80%
"Dec. 31, 1995",7.65%
"Sept. 30, 1995",8.57%
"June 30, 1995",8.25%
"March 31, 1995",7.67%
"Dec. 31, 1994",7.99%
"Sept. 30, 1994",5.55%
"June 30, 1994",4.19%
"March 31, 1994",4.80%
"Dec. 31, 1993",3.68%
"Sept. 30, 1993",4.62%
"June 30, 1993",5.42%
"March 31, 1993",5.15%
"Dec. 31, 1992",2.62%
"Sept. 30, 1992",1.69%
"June 30, 1992",1.06%
"March 31, 1992",-0.24%
"Dec. 31, 1991",3.86%
"Sept. 30, 1991",7.07%
"June 30, 1991",8.97%
"March 31, 1991",10.42%
"Dec. 31, 1990",12.14%
"Sept. 30, 1990",4.48%
"June 30, 1990",3.08%
"March 31, 1990",4.53%
"Dec. 31, 1989",3.33%
