date,free_cash_flow
"Dec. 31, 2019",1.387B
"Sept. 30, 2019",662.00M
"June 30, 2019",1.162B
"March 31, 2019",1.257B
"Dec. 31, 2018",2.166B
"Sept. 30, 2018",1.811B
"June 30, 2018",1.343B
"March 31, 2018",864.00M
"Dec. 31, 2017",964.00M
"Sept. 30, 2017",-33.00M
"June 30, 2017",731.00M
"March 31, 2017",824.00M
"Dec. 31, 2016",444.00M
"Sept. 30, 2016",364.00M
"June 30, 2016",126.00M
"March 31, 2016",-1.40B
"Dec. 31, 2015",-541.00M
"Sept. 30, 2015",-240.00M
"June 30, 2015",-433.00M
"March 31, 2015",-1.264B
"Dec. 31, 2014",-1.545B
"Sept. 30, 2014",-717.00M
"June 30, 2014",-695.00M
"March 31, 2014",2.441B
"Dec. 31, 2013",-291.00M
"Sept. 30, 2013",-480.00M
"June 30, 2013",36.00M
"March 31, 2013",1.339B
"Dec. 31, 2012",418.00M
"Sept. 30, 2012",241.00M
"June 30, 2012",-1.273B
"March 31, 2012",364.00M
"Dec. 31, 2011",3.345B
"Sept. 30, 2011",2.256B
"June 30, 2011",3.768B
"March 31, 2011",-937.00M
"Dec. 31, 2010",5.027B
"Sept. 30, 2010",2.048B
"June 30, 2010",1.466B
"March 31, 2010",969.00M
"Dec. 31, 2009",2.409B
"Sept. 30, 2009",335.00M
"June 30, 2009",-105.00M
"March 31, 2009",-1.021B
"Dec. 31, 2008",-5.442B
"Sept. 30, 2008",3.70B
"June 30, 2008",2.036B
"March 31, 2008",3.265B
"Dec. 31, 2007",3.036B
"Sept. 30, 2007",3.431B
"June 30, 2007",2.266B
"March 31, 2007",4.026B
"Dec. 31, 2006",1.554B
"Sept. 30, 2006",2.638B
"June 30, 2006",1.442B
"March 31, 2006",286.00M
"Dec. 31, 2005",1.628B
"Sept. 30, 2005",2.47B
"June 30, 2005",-357.00M
"March 31, 2005",2.267B
"Dec. 31, 2004",-1.64B
"Sept. 30, 2004",2.819B
"June 30, 2004",692.00M
"March 31, 2004",592.00M
"Dec. 31, 2003",204.00M
"Sept. 30, 2003",582.00M
"June 30, 2003",589.00M
"March 31, 2003",1.812B
"Dec. 31, 2002",83.00M
"Sept. 30, 2002",917.00M
"June 30, 2002",-344.00M
"March 31, 2002",-66.00M
"Dec. 31, 2001",-715.00M
"Sept. 30, 2001",724.00M
"June 30, 2001",-65.00M
"March 31, 2001",599.00M
"Dec. 31, 2000",650.00M
"Sept. 30, 2000",478.00M
"June 30, 2000",398.00M
"March 31, 2000",471.00M
"Dec. 31, 1999",207.00M
"Sept. 30, 1999",341.00M
"June 30, 1999",-98.00M
"March 31, 1999",-199.00M
"Dec. 31, 1998",-524.00M
"Sept. 30, 1998",-165.00M
"June 30, 1998",42.00M
"March 31, 1998",225.00M
"Dec. 31, 1997",-379.00M
"Sept. 30, 1997",260.00M
"June 30, 1997",61.00M
"March 31, 1997",260.00M
"Dec. 31, 1996",174.00M
"Sept. 30, 1996",297.00M
"June 30, 1996",-321.00M
"March 31, 1996",391.00M
"Dec. 31, 1995",-259.00M
"Sept. 30, 1995",195.00M
"June 30, 1995",100.00M
"March 31, 1995",104.00M
"Dec. 31, 1994",-47.00M
"Sept. 30, 1994",169.00M
"June 30, 1994",-50.00M
"March 31, 1994",-23.00M
"Dec. 31, 1993",-124.00M
"Sept. 30, 1993",169.00M
"June 30, 1993",58.00M
"March 31, 1993",-11.00M
"Dec. 31, 1992",-259.00M
"Sept. 30, 1992",118.00M
"June 30, 1992",104.00M
"March 31, 1992",-207.00M
"Dec. 31, 1991",-423.00M
"Sept. 30, 1991",131.00M
"June 30, 1991",-168.00M
"March 31, 1991",105.00M
"Dec. 31, 1990",-318.00M
"Sept. 30, 1990",-54.00M
"June 30, 1990",-7.00M
"March 31, 1990",100.00M
