date,total_employee_number
"Dec. 31, 2019",10400
"Sept. 30, 2019",10400
"June 30, 2019",10900
"March 31, 2019",10800
"Dec. 31, 2018",10800
"Sept. 30, 2018",11100
"June 30, 2018",11200
"March 31, 2018",11200
"Dec. 31, 2017",11400
"Sept. 30, 2017",11600
"June 30, 2017",12200
"March 31, 2017",13100
"Dec. 31, 2016",13300
"Sept. 30, 2016",14900
"June 30, 2016",15400
"March 31, 2016",15600
"Dec. 31, 2015",15900
"Sept. 30, 2015",17800
"June 30, 2015",18100
"March 31, 2015",18800
"Dec. 31, 2014",19100
"Sept. 30, 2014",19000
"June 30, 2014",19200
"March 31, 2014",18800
"Dec. 31, 2013",18400
"Sept. 30, 2013",18000
"June 30, 2013",17500
"March 31, 2013",17100
"Dec. 31, 2012",16900
"Sept. 30, 2012",16700
"June 30, 2012",16500
"March 31, 2012",29700
"Dec. 31, 2011",29800
"Sept. 30, 2011",29700
"June 30, 2011",29900
"March 31, 2011",29600
"Dec. 31, 2010",29700
"Sept. 30, 2010",29800
"June 30, 2010",29900
"March 31, 2010",29900
"Dec. 31, 2009",30000
"Sept. 30, 2009",33800
"June 30, 2009",30000
"Dec. 31, 2008",33800
"Dec. 31, 2007",32600
"Dec. 31, 2006",38400
"Dec. 31, 2005",35600
"Dec. 31, 2004",35800
"Dec. 31, 2003",39000
"Dec. 31, 2002",37925
"Dec. 31, 2001",38700
"Dec. 31, 2000",12400
"Dec. 31, 1999",15900
"Dec. 31, 1998",17300
"Dec. 31, 1997",17100
"Dec. 31, 1996",17200
"Dec. 31, 1995",17400
"Dec. 31, 1994",18400
"Dec. 31, 1993",19400
"Dec. 31, 1992",21400
"Dec. 31, 1991",22700
"Dec. 31, 1990",21000
"Dec. 31, 1989",21000
