date,ohlson_score
"Dec. 31, 2019",0.7401
"Sept. 30, 2019",-1.249
"June 30, 2019",-0.4935
"March 31, 2019",-0.5607
"Dec. 31, 2018",-0.5046
"Sept. 30, 2018",-0.6163
"June 30, 2018",-0.6487
"March 31, 2018",0.1287
"Dec. 31, 2017",-0.5834
"Sept. 30, 2017",-5.071
"June 30, 2017",-0.7095
"March 31, 2017",-0.5311
"Dec. 31, 2016",15.18
"Sept. 30, 2016",0.2671
"June 30, 2016",0.403
"March 31, 2016",0.891
"Dec. 31, 2015",-0.0614
"Sept. 30, 2015",-0.4374
"June 30, 2015",-1.598
"March 31, 2015",-0.7998
"Dec. 31, 2014",-37.02
"Sept. 30, 2014",-0.5482
"June 30, 2014",-0.3716
"March 31, 2014",-0.2433
"Dec. 31, 2013",-0.3538
"Sept. 30, 2013",-0.4247
"June 30, 2013",-0.209
"March 31, 2013",-0.3879
"Dec. 31, 2012",-0.0803
"Sept. 30, 2012",0.2766
"June 30, 2012",0.3332
"March 31, 2012",-0.0402
"Dec. 31, 2011",-0.3624
"Sept. 30, 2011",-0.1121
"June 30, 2011",-0.4623
"March 31, 2011",-0.6072
"Dec. 31, 2010",-0.1947
"Sept. 30, 2010",-0.3713
"June 30, 2010",-0.4429
"March 31, 2010",-0.0552
"Dec. 31, 2009",0.2176
"Sept. 30, 2009",0.2244
"June 30, 2009",0.3171
"March 31, 2009",-20.40
"Dec. 31, 2008",-0.2173
"Sept. 30, 2008",-0.6331
"June 30, 2008",-0.6944
"March 31, 2008",-0.4607
"Dec. 31, 2007",-0.6319
"Sept. 30, 2007",-1.078
"June 30, 2007",5.016
"March 31, 2007",-0.5442
"Dec. 31, 2006",-0.4755
"Sept. 30, 2006",-0.3156
"June 30, 2006",-0.5033
"March 31, 2006",-0.0743
"Dec. 31, 2005",-0.353
"Sept. 30, 2005",-0.4086
"June 30, 2005",-0.4191
"March 31, 2005",-0.3182
"Dec. 31, 2004",-0.2173
"Sept. 30, 2004",-0.0887
"June 30, 2004",-0.0621
"March 31, 2004",0.0778
"Dec. 31, 2003",0.5702
"Sept. 30, 2003",0.5192
"June 30, 2003",0.6466
"March 31, 2003",-0.0565
"Dec. 31, 2002",0.3034
"Sept. 30, 2002",-1.337
"June 30, 2002",0.2664
"March 31, 2002",-0.458
"Dec. 31, 2001",1.050
"Sept. 30, 2001",1.161
"June 30, 2001",1.388
"March 31, 2001",2.150
"Dec. 31, 2000",1.614
"Sept. 30, 2000",2.156
"June 30, 2000",1.784
"March 31, 2000",1.606
"Dec. 31, 1999",1.552
"Sept. 30, 1999",1.370
"June 30, 1999",1.721
"March 31, 1999",-0.4623
"Dec. 31, 1998",1.049
"Sept. 30, 1998",2.896
"June 30, 1998",1.636
"March 31, 1998",1.224
"Dec. 31, 1997",1.38
"Sept. 30, 1997",1.533
"June 30, 1997",1.144
"March 31, 1997",1.366
"Dec. 31, 1996",1.519
"Sept. 30, 1996",1.606
"June 30, 1996",2.612
"March 31, 1996",1.250
"Dec. 31, 1995",2.340
"Sept. 30, 1995",2.089
"June 30, 1995",2.098
"March 31, 1995",2.347
"Dec. 31, 1994",1.948
"Sept. 30, 1994",1.934
"June 30, 1994",2.490
"March 31, 1994",1.750
"Dec. 31, 1993",2.822
"Sept. 30, 1993",3.091
"June 30, 1993",1.767
"March 31, 1993",2.349
"Dec. 31, 1992",2.224
"Sept. 30, 1992",2.496
"June 30, 1992",1.307
"March 31, 1992",1.802
"Dec. 31, 1991",2.932
"Sept. 30, 1991",1.891
"June 30, 1991",6.900
"March 31, 1991",2.353
"Dec. 31, 1990",2.009
"Sept. 30, 1990",2.077
"June 30, 1990",3.076
