date,long_term_debt
"Dec. 31, 2019",14.79B
"Sept. 30, 2019",14.80B
"June 30, 2019",14.81B
"March 31, 2019",14.83B
"Dec. 31, 2018",14.86B
"Sept. 30, 2018",14.90B
"June 30, 2018",14.88B
"March 31, 2018",16.71B
"Dec. 31, 2017",17.13B
"Sept. 30, 2017",19.67B
"June 30, 2017",19.67B
"March 31, 2017",25.34B
"Dec. 31, 2016",26.19B
"Sept. 30, 2016",27.35B
"June 30, 2016",27.35B
"March 31, 2016",27.38B
"Dec. 31, 2015",23.45B
"Sept. 30, 2015",24.72B
"June 30, 2015",24.79B
"March 31, 2015",22.32B
"Dec. 31, 2014",22.38B
"Sept. 30, 2014",19.50B
"June 30, 2014",19.57B
"March 31, 2014",19.49B
"Dec. 31, 2013",21.07B
"Sept. 30, 2013",21.10B
"June 30, 2013",21.17B
"March 31, 2013",20.32B
"Dec. 31, 2012",20.77B
"Sept. 30, 2012",18.78B
"June 30, 2012",18.83B
"March 31, 2012",21.36B
"Dec. 31, 2011",21.61B
"Sept. 30, 2011",22.53B
"June 30, 2011",22.59B
"March 31, 2011",22.60B
"Dec. 31, 2010",22.66B
"Sept. 30, 2010",23.22B
"June 30, 2010",23.20B
"March 31, 2010",26.22B
"Dec. 31, 2009",26.92B
"Sept. 30, 2009",27.66B
"June 30, 2009",28.93B
"March 31, 2009",29.30B
"Dec. 31, 2008",27.08B
"Sept. 30, 2008",21.71B
"June 30, 2008",21.54B
"March 31, 2008",21.11B
"Dec. 31, 2007",20.29B
"Sept. 30, 2007",21.47B
"June 30, 2007",21.70B
"March 31, 2007",21.96B
"Dec. 31, 2006",23.09B
"Sept. 30, 2006",23.78B
"June 30, 2006",24.94B
"March 31, 2006",26.07B
"Dec. 31, 2005",10.76B
"Sept. 30, 2005",12.37B
"June 30, 2005",13.66B
"March 31, 2005",13.90B
"Dec. 31, 2004",14.37B
"Sept. 30, 2004",14.41B
"June 30, 2004",14.38B
"March 31, 2004",15.67B
"Dec. 31, 2003",16.34B
"Sept. 30, 2003",16.34B
"June 30, 2003",16.02B
"March 31, 2003",17.40B
"Dec. 31, 2002",18.92B
"Sept. 30, 2002",17.85B
"June 30, 2002",8.576B
"March 31, 2002",8.421B
"Dec. 31, 2001",8.61B
"Sept. 30, 2001",7.838B
"June 30, 2001",6.268B
"March 31, 2001",6.143B
"Dec. 31, 2000",6.622B
"Sept. 30, 2000",7.509B
"June 30, 2000",7.319B
"March 31, 2000",3.889B
"Dec. 31, 1999",4.271B
"Sept. 30, 1999",4.443B
"June 30, 1999",4.628B
"March 31, 1999",4.49B
"Dec. 31, 1998",4.106B
"Sept. 30, 1998",3.495B
"June 30, 1998",3.024B
"March 31, 1998",2.929B
"Dec. 31, 1997",2.775B
"Sept. 30, 1997",2.507B
"June 30, 1997",2.507B
"March 31, 1997",2.555B
"Dec. 31, 1996",2.555B
"Sept. 30, 1996",2.855B
"June 30, 1996",2.954B
"March 31, 1996",2.91B
"Dec. 31, 1995",3.097B
"Sept. 30, 1995",2.876B
"June 30, 1995",2.977B
"March 31, 1995",3.076B
"Dec. 31, 1994",3.106B
"Sept. 30, 1994",3.213B
"June 30, 1994",3.387B
"March 31, 1994",3.238B
"Dec. 31, 1993",3.208B
"Sept. 30, 1993",3.477B
"June 30, 1993",3.605B
"March 31, 1993",3.796B
"Dec. 31, 1992",3.718B
"Sept. 30, 1992",4.119B
"June 30, 1992",4.243B
"March 31, 1992",4.187B
"Dec. 31, 1991",3.876B
"Sept. 30, 1991",3.855B
"June 30, 1991",3.843B
"March 31, 1991",3.877B
"Dec. 31, 1990",3.839B
"Sept. 30, 1990",3.937B
"June 30, 1990",3.93B
"March 31, 1990",3.948B
"Dec. 31, 1989",3.939B
"Sept. 30, 1989",3.869B
"Dec. 31, 1988",4.761B
"Dec. 31, 1987",5.419B
"Dec. 31, 1986",5.757B
"Dec. 31, 1985",6.547B
"Dec. 31, 1984",2.84B
