date,net_income_ttm
"Dec. 31, 2019",7.189B
"Sept. 30, 2019",8.337B
"June 30, 2019",7.142B
"March 31, 2019",7.202B
"Dec. 31, 2018",6.257B
"Sept. 30, 2018",5.968B
"June 30, 2018",4.527B
"March 31, 2018",-553.00M
"Dec. 31, 2017",-855.00M
"Sept. 30, 2017",-2.469B
"June 30, 2017",-3.929B
"March 31, 2017",-1.56B
"Dec. 31, 2016",-3.615B
"Sept. 30, 2016",-7.03B
"June 30, 2016",-7.061B
"March 31, 2016",-6.169B
"Dec. 31, 2015",-4.428B
"Sept. 30, 2015",-1.017B
"June 30, 2015",2.758B
"March 31, 2015",5.018B
"Dec. 31, 2014",6.869B
"Sept. 30, 2014",9.395B
"June 30, 2014",9.171B
"March 31, 2014",9.14B
"Dec. 31, 2013",9.156B
"Sept. 30, 2013",8.095B
"June 30, 2013",7.413B
"March 31, 2013",7.63B
"Dec. 31, 2012",8.428B
"Sept. 30, 2012",10.39B
"June 30, 2012",11.21B
"March 31, 2012",12.34B
"Dec. 31, 2011",12.44B
"Sept. 30, 2011",11.09B
"June 30, 2011",11.53B
"March 31, 2011",12.29B
"Dec. 31, 2010",11.36B
"Sept. 30, 2010",10.60B
"June 30, 2010",9.017B
"March 31, 2010",5.712B
"Dec. 31, 2009",4.414B
"Sept. 30, 2009",-27.99B
"June 30, 2009",-24.27B
"March 31, 2009",-19.69B
"Dec. 31, 2008",-16.35B
"Sept. 30, 2008",19.14B
"June 30, 2008",17.62B
"March 31, 2008",12.48B
"Dec. 31, 2007",11.89B
"Sept. 30, 2007",10.72B
"June 30, 2007",10.92B
"March 31, 2007",15.80B
"Dec. 31, 2006",15.55B
"Sept. 30, 2006",16.03B
"June 30, 2006",15.96B
"March 31, 2006",13.91B
"Dec. 31, 2005",13.53B
"Sept. 30, 2005",12.28B
"June 30, 2005",10.49B
"March 31, 2005",9.425B
"Dec. 31, 2004",8.129B
"Sept. 30, 2004",6.737B
"June 30, 2004",6.037B
"March 31, 2004",5.149B
"Dec. 31, 2003",4.754B
"Sept. 30, 2003",3.286B
"June 30, 2003",1.864B
"March 31, 2003",1.028B
"Dec. 31, 2002",-295.00M
"Sept. 30, 2002",295.00M
"June 30, 2002",775.00M
"March 31, 2002",1.043B
"Dec. 31, 2001",1.635B
"Sept. 30, 2001",2.217B
"June 30, 2001",2.279B
"March 31, 2001",2.102B
"Dec. 31, 2000",1.862B
"Sept. 30, 2000",1.368B
"June 30, 2000",1.163B
"March 31, 2000",789.00M
"Dec. 31, 1999",609.00M
"Sept. 30, 1999",149.00M
"June 30, 1999",-26.00M
"March 31, 1999",64.00M
"Dec. 31, 1998",237.00M
"Sept. 30, 1998",656.00M
"June 30, 1998",826.00M
"March 31, 1998",975.00M
"Dec. 31, 1997",959.00M
"Sept. 30, 1997",950.00M
"June 30, 1997",921.00M
"March 31, 1997",835.00M
"Dec. 31, 1996",1.303B
"Sept. 30, 1996",1.212B
"June 30, 1996",1.161B
"March 31, 1996",1.053B
"Dec. 31, 1995",469.00M
"Sept. 30, 1995",522.00M
"June 30, 1995",505.00M
"March 31, 1995",468.00M
"Dec. 31, 1994",484.00M
"Sept. 30, 1994",342.00M
"June 30, 1994",264.00M
"March 31, 1994",309.00M
"Dec. 31, 1993",243.00M
"Sept. 30, 1993",314.00M
"June 30, 1993",372.00M
"March 31, 1993",355.00M
"Dec. 31, 1992",180.00M
"Sept. 30, 1992",115.00M
"June 30, 1992",72.00M
"March 31, 1992",-16.00M
"Dec. 31, 1991",258.00M
"Sept. 30, 1991",469.00M
"June 30, 1991",591.00M
"March 31, 1991",680.00M
"Dec. 31, 1990",779.00M
"Sept. 30, 1990",287.00M
"June 30, 1990",196.00M
"March 31, 1990",288.00M
"Dec. 31, 1989",219.00M
"Sept. 30, 1989",609.00M
"June 30, 1989",737.00M
"March 31, 1989",710.00M
"Dec. 31, 1988",650.00M
"Sept. 30, 1988",548.00M
"June 30, 1988",364.00M
"March 31, 1988",197.00M
"Dec. 31, 1987",35.00M
"Sept. 30, 1987",19.00M
"June 30, 1987",101.00M
"March 31, 1987",106.00M
"Dec. 31, 1986",234.00M
"Sept. 30, 1986",561.00M
"June 30, 1986",484.00M
"March 31, 1986",586.00M
"Dec. 31, 1985",596.00M
"Sept. 30, 1985",421.00M
"June 30, 1985",602.00M
"March 31, 1985",723.00M
"Dec. 31, 1984",810.00M
