date,capex_ttm
"Dec. 31, 2019",6.636B
"Sept. 30, 2019",6.658B
"June 30, 2019",6.582B
"March 31, 2019",6.852B
"Dec. 31, 2018",6.75B
"Sept. 30, 2018",6.65B
"June 30, 2018",6.139B
"March 31, 2018",5.16B
"Dec. 31, 2017",4.591B
"Sept. 30, 2017",4.073B
"June 30, 2017",3.901B
"March 31, 2017",4.014B
"Dec. 31, 2016",4.869B
"Sept. 30, 2016",6.007B
"June 30, 2016",7.265B
"March 31, 2016",8.539B
"Dec. 31, 2015",10.05B
"Sept. 30, 2015",12.27B
"June 30, 2015",14.68B
"March 31, 2015",16.52B
"Dec. 31, 2014",17.08B
"Sept. 30, 2014",16.98B
"June 30, 2014",16.58B
"March 31, 2014",16.04B
"Dec. 31, 2013",15.54B
"Sept. 30, 2013",14.73B
"June 30, 2013",13.83B
"March 31, 2013",13.74B
"Dec. 31, 2012",14.17B
"Sept. 30, 2012",13.19B
"June 30, 2012",13.26B
"March 31, 2012",12.15B
"Dec. 31, 2011",11.21B
"Sept. 30, 2011",9.911B
"June 30, 2011",8.845B
"March 31, 2011",8.348B
"Dec. 31, 2010",7.535B
"Sept. 30, 2010",9.056B
"June 30, 2010",9.363B
"March 31, 2010",10.03B
"Dec. 31, 2009",10.86B
"Sept. 30, 2009",16.74B
"June 30, 2009",17.96B
"March 31, 2009",18.68B
"Dec. 31, 2008",19.10B
"Sept. 30, 2008",14.42B
"June 30, 2008",13.16B
"March 31, 2008",12.27B
"Dec. 31, 2007",11.79B
"Sept. 30, 2007",11.99B
"June 30, 2007",13.03B
"March 31, 2007",13.93B
"Dec. 31, 2006",15.60B
"Sept. 30, 2006",14.56B
"June 30, 2006",14.59B
"March 31, 2006",14.31B
"Dec. 31, 2005",11.62B
"Sept. 30, 2005",13.41B
"June 30, 2005",11.38B
"March 31, 2005",9.837B
"Dec. 31, 2004",9.496B
"Sept. 30, 2004",6.443B
"June 30, 2004",6.369B
"March 31, 2004",6.342B
"Dec. 31, 2003",6.169B
"Sept. 30, 2003",6.294B
"June 30, 2003",5.734B
"March 31, 2003",5.051B
"Dec. 31, 2002",4.388B
"Sept. 30, 2002",3.406B
"June 30, 2002",3.121B
"March 31, 2002",3.005B
"Dec. 31, 2001",3.016B
"Sept. 30, 2001",2.736B
"June 30, 2001",2.714B
"March 31, 2001",2.374B
"Dec. 31, 2000",2.017B
"Sept. 30, 2000",1.709B
"June 30, 2000",1.422B
"March 31, 2000",1.621B
"Dec. 31, 1999",1.69B
"Sept. 30, 1999",1.829B
"June 30, 1999",2.195B
"March 31, 1999",2.004B
"Dec. 31, 1998",2.052B
"Sept. 30, 1998",2.34B
"June 30, 1998",2.113B
"March 31, 1998",2.081B
"Dec. 31, 1997",2.043B
"Sept. 30, 1997",1.761B
"June 30, 1997",1.609B
"March 31, 1997",1.606B
"Dec. 31, 1996",1.544B
"Sept. 30, 1996",1.636B
"June 30, 1996",1.614B
"March 31, 1996",1.524B
"Dec. 31, 1995",1.456B
"Sept. 30, 1995",1.341B
"June 30, 1995",1.214B
"March 31, 1995",1.189B
"Dec. 31, 1994",1.154B
"Sept. 30, 1994",1.149B
"June 30, 1994",1.188B
"March 31, 1994",1.218B
"Dec. 31, 1993",1.216B
"Sept. 30, 1993",1.04B
"June 30, 1993",1.135B
"March 31, 1993",1.088B
"Dec. 31, 1992",1.152B
"Sept. 30, 1992",1.28B
"June 30, 1992",1.258B
"March 31, 1992",1.341B
"Dec. 31, 1991",1.385B
"Sept. 30, 1991",1.352B
"June 30, 1991",1.387B
"March 31, 1991",1.373B
"Dec. 31, 1990",1.383B
"Sept. 30, 1990",1.008B
"June 30, 1990",657.00M
"March 31, 1990",329.00M
