date,three_month_return
"March 19, 2020",-59.50%
"March 18, 2020",-64.13%
"March 17, 2020",-58.67%
"March 16, 2020",-58.48%
"March 13, 2020",-49.95%
"March 12, 2020",-54.94%
"March 11, 2020",-47.21%
"March 10, 2020",-43.52%
"March 9, 2020",-44.90%
"March 6, 2020",-26.85%
"March 5, 2020",-20.29%
"March 4, 2020",-18.47%
"March 3, 2020",-18.29%
"March 2, 2020",-18.45%
"Feb. 28, 2020",-19.75%
"Feb. 27, 2020",-21.89%
"Feb. 26, 2020",-14.87%
"Feb. 25, 2020",-11.83%
"Feb. 24, 2020",-5.88%
"Feb. 21, 2020",-2.94%
"Feb. 20, 2020",-0.81%
"Feb. 19, 2020",3.66%
"Feb. 18, 2020",2.82%
"Feb. 14, 2020",2.39%
"Feb. 13, 2020",2.19%
"Feb. 12, 2020",2.63%
"Feb. 11, 2020",-0.34%
"Feb. 10, 2020",-2.18%
"Feb. 7, 2020",-2.60%
"Feb. 6, 2020",1.35%
"Feb. 5, 2020",0.46%
"Feb. 4, 2020",-2.60%
"Feb. 3, 2020",3.55%
"Jan. 31, 2020",7.66%
"Jan. 30, 2020",10.63%
"Jan. 29, 2020",5.96%
"Jan. 28, 2020",9.88%
"Jan. 27, 2020",8.32%
"Jan. 24, 2020",11.50%
"Jan. 23, 2020",12.25%
"Jan. 22, 2020",11.44%
"Jan. 21, 2020",14.42%
"Jan. 17, 2020",19.33%
"Jan. 16, 2020",19.15%
"Jan. 15, 2020",16.18%
"Jan. 14, 2020",16.05%
"Jan. 13, 2020",15.42%
"Jan. 10, 2020",17.07%
"Jan. 9, 2020",20.26%
"Jan. 8, 2020",20.48%
"Jan. 7, 2020",21.76%
"Jan. 6, 2020",24.26%
"Jan. 3, 2020",22.44%
"Jan. 2, 2020",23.35%
"Dec. 31, 2019",14.13%
"Dec. 30, 2019",13.39%
"Dec. 27, 2019",12.23%
"Dec. 26, 2019",12.69%
"Dec. 24, 2019",9.06%
"Dec. 23, 2019",7.34%
"Dec. 20, 2019",4.77%
"Dec. 19, 2019",5.37%
"Dec. 18, 2019",5.32%
"Dec. 17, 2019",3.76%
"Dec. 16, 2019",0.46%
"Dec. 13, 2019",9.35%
"Dec. 12, 2019",11.07%
"Dec. 11, 2019",7.83%
"Dec. 10, 2019",9.66%
"Dec. 9, 2019",12.48%
"Dec. 6, 2019",15.55%
"Dec. 5, 2019",11.98%
"Dec. 4, 2019",13.75%
"Dec. 3, 2019",13.16%
"Dec. 2, 2019",15.70%
"Nov. 29, 2019",14.63%
"Nov. 27, 2019",18.36%
"Nov. 26, 2019",17.01%
"Nov. 25, 2019",21.08%
"Nov. 22, 2019",14.62%
"Nov. 21, 2019",14.40%
"Nov. 20, 2019",12.62%
"Nov. 19, 2019",5.99%
"Nov. 18, 2019",10.16%
"Nov. 15, 2019",14.42%
"Nov. 14, 2019",10.56%
"Nov. 13, 2019",6.85%
"Nov. 12, 2019",9.62%
"Nov. 11, 2019",9.07%
"Nov. 8, 2019",7.43%
"Nov. 7, 2019",11.67%
"Nov. 6, 2019",6.27%
"Nov. 5, 2019",7.00%
"Nov. 4, 2019",2.71%
"Nov. 1, 2019",-2.81%
"Oct. 31, 2019",-6.57%
"Oct. 30, 2019",-7.51%
"Oct. 29, 2019",-1.89%
"Oct. 28, 2019",-5.23%
"Oct. 25, 2019",-4.56%
"Oct. 24, 2019",-6.52%
"Oct. 23, 2019",-6.69%
"Oct. 22, 2019",-6.45%
"Oct. 21, 2019",-7.24%
"Oct. 18, 2019",-10.56%
"Oct. 17, 2019",-8.78%
"Oct. 16, 2019",-8.60%
