date,gross_profit_margin
"Dec. 31, 2019",27.70%
"Sept. 30, 2019",27.71%
"June 30, 2019",29.81%
"March 31, 2019",29.05%
"Dec. 31, 2018",28.00%
"Sept. 30, 2018",32.36%
"June 30, 2018",31.62%
"March 31, 2018",28.43%
"Dec. 31, 2017",21.27%
"Sept. 30, 2017",13.94%
"June 30, 2017",13.41%
"March 31, 2017",14.05%
"Dec. 31, 2016",7.08%
"Sept. 30, 2016",-5.53%
"June 30, 2016",-8.00%
"March 31, 2016",-13.77%
"Dec. 31, 2015",-5.74%
"Sept. 30, 2015",-1.54%
"June 30, 2015",11.29%
"March 31, 2015",7.08%
"Dec. 31, 2014",10.89%
"Sept. 30, 2014",26.82%
"June 30, 2014",30.58%
"March 31, 2014",29.20%
"Dec. 31, 2013",29.15%
"Sept. 30, 2013",29.84%
"June 30, 2013",32.40%
"March 31, 2013",34.15%
"Dec. 31, 2012",31.59%
"Sept. 30, 2012",31.80%
"June 30, 2012",33.38%
"March 31, 2012",36.90%
"Dec. 31, 2011",-9.31%
"Sept. 30, 2011",40.05%
"June 30, 2011",46.36%
"March 31, 2011",21.36%
"Dec. 31, 2010",23.14%
"Sept. 30, 2010",24.54%
"June 30, 2010",29.23%
"March 31, 2010",24.16%
"Dec. 31, 2009",18.25%
"Sept. 30, 2009",18.18%
"June 30, 2009",16.70%
"March 31, 2009",28.60%
"Dec. 31, 2008",-3.95%
"Sept. 30, 2008",25.83%
"June 30, 2008",25.94%
"March 31, 2008",28.36%
"Dec. 31, 2007",31.29%
"Sept. 30, 2007",29.69%
"June 30, 2007",31.91%
"March 31, 2007",28.68%
"Dec. 31, 2006",34.49%
"Sept. 30, 2006",32.67%
"June 30, 2006",33.42%
"March 31, 2006",25.34%
"Dec. 31, 2005",26.45%
"Sept. 30, 2005",26.24%
"June 30, 2005",27.74%
"March 31, 2005",28.84%
"Dec. 31, 2004",16.71%
"Sept. 30, 2004",17.04%
"June 30, 2004",29.86%
"March 31, 2004",28.71%
"Dec. 31, 2003",47.03%
"Sept. 30, 2003",19.04%
"June 30, 2003",28.22%
"March 31, 2003",28.11%
"Dec. 31, 2002",36.92%
"Sept. 30, 2002",15.67%
"June 30, 2002",22.57%
"March 31, 2002",20.77%
"Dec. 31, 2001",35.89%
"Sept. 30, 2001",26.51%
"June 30, 2001",44.64%
"March 31, 2001",35.85%
"Dec. 31, 2000",58.21%
"Sept. 30, 2000",33.42%
"June 30, 2000",29.59%
"March 31, 2000",23.39%
"Dec. 31, 1999",24.67%
"Sept. 30, 1999",25.02%
"June 30, 1999",23.99%
"March 31, 1999",25.01%
"Dec. 31, 1998",17.33%
"Sept. 30, 1998",21.80%
"June 30, 1998",27.23%
"March 31, 1998",29.23%
"Dec. 31, 1997",26.25%
"Sept. 30, 1997",26.14%
"June 30, 1997",24.50%
"March 31, 1997",24.66%
"Dec. 31, 1996",22.18%
"Sept. 30, 1996",23.30%
"June 30, 1996",22.64%
"March 31, 1996",22.49%
"Dec. 31, 1995",20.89%
"Sept. 30, 1995",22.14%
"June 30, 1995",21.70%
"March 31, 1995",24.14%
"Dec. 31, 1994",22.16%
"Sept. 30, 1994",20.47%
"June 30, 1994",20.31%
"March 31, 1994",23.15%
"Dec. 31, 1993",18.56%
"Sept. 30, 1993",18.73%
"June 30, 1993",22.29%
"March 31, 1993",22.22%
"Dec. 31, 1992",22.46%
"Sept. 30, 1992",19.27%
"June 30, 1992",23.37%
"March 31, 1992",21.49%
"Dec. 31, 1991",20.17%
"Sept. 30, 1991",20.30%
"June 30, 1991",20.04%
"March 31, 1991",27.33%
"Dec. 31, 1990",23.08%
"Sept. 30, 1990",24.96%
"June 30, 1990",25.94%
"March 31, 1990",23.40%
"Dec. 31, 1989",19.36%
"Sept. 30, 1989",24.03%
