date,cash_operations_ttm
"Dec. 31, 2019",11.10B
"Sept. 30, 2019",11.90B
"June 30, 2019",12.98B
"March 31, 2019",13.43B
"Dec. 31, 2018",12.93B
"Sept. 30, 2018",11.63B
"June 30, 2018",9.277B
"March 31, 2018",7.686B
"Dec. 31, 2017",7.077B
"Sept. 30, 2017",6.039B
"June 30, 2017",6.264B
"March 31, 2017",5.772B
"Dec. 31, 2016",4.403B
"Sept. 30, 2016",4.556B
"June 30, 2016",5.21B
"March 31, 2016",5.925B
"Dec. 31, 2015",7.572B
"Sept. 30, 2015",8.787B
"June 30, 2015",10.72B
"March 31, 2015",12.30B
"Dec. 31, 2014",16.57B
"Sept. 30, 2014",17.72B
"June 30, 2014",17.56B
"March 31, 2014",17.75B
"Dec. 31, 2013",16.14B
"Sept. 30, 2013",16.05B
"June 30, 2013",15.86B
"March 31, 2013",14.47B
"Dec. 31, 2012",13.92B
"Sept. 30, 2012",15.86B
"June 30, 2012",17.96B
"March 31, 2012",21.88B
"Dec. 31, 2011",19.65B
"Sept. 30, 2011",20.02B
"June 30, 2011",18.75B
"March 31, 2011",15.95B
"Dec. 31, 2010",17.04B
"Sept. 30, 2010",15.95B
"June 30, 2010",14.54B
"March 31, 2010",13.63B
"Dec. 31, 2009",12.48B
"Sept. 30, 2009",10.51B
"June 30, 2009",15.09B
"March 31, 2009",17.96B
"Dec. 31, 2008",22.66B
"Sept. 30, 2008",26.46B
"June 30, 2008",24.93B
"March 31, 2008",24.26B
"Dec. 31, 2007",24.55B
"Sept. 30, 2007",23.27B
"June 30, 2007",23.51B
"March 31, 2007",23.59B
"Dec. 31, 2006",21.52B
"Sept. 30, 2006",20.55B
"June 30, 2006",20.42B
"March 31, 2006",18.34B
"Dec. 31, 2005",17.63B
"Sept. 30, 2005",16.15B
"June 30, 2005",14.47B
"March 31, 2005",13.98B
"Dec. 31, 2004",11.96B
"Sept. 30, 2004",10.75B
"June 30, 2004",8.439B
"March 31, 2004",8.309B
"Dec. 31, 2003",9.356B
"Sept. 30, 2003",9.36B
"June 30, 2003",9.135B
"March 31, 2003",7.519B
"Dec. 31, 2002",4.978B
"Sept. 30, 2002",3.198B
"June 30, 2002",2.72B
"March 31, 2002",2.883B
"Dec. 31, 2001",3.559B
"Sept. 30, 2001",4.644B
"June 30, 2001",4.376B
"March 31, 2001",4.499B
"Dec. 31, 2000",4.014B
"Sept. 30, 2000",3.263B
"June 30, 2000",2.839B
"March 31, 2000",2.542B
"Dec. 31, 1999",1.941B
"Sept. 30, 1999",1.349B
"June 30, 1999",1.209B
"March 31, 1999",1.158B
"Dec. 31, 1998",1.63B
"Sept. 30, 1998",2.063B
"June 30, 1998",2.261B
"March 31, 1998",2.248B
"Dec. 31, 1997",2.245B
"Sept. 30, 1997",2.516B
"June 30, 1997",2.401B
"March 31, 1997",2.016B
"Dec. 31, 1996",2.085B
"Sept. 30, 1996",1.744B
"June 30, 1996",1.62B
"March 31, 1996",1.951B
"Dec. 31, 1995",1.596B
"Sept. 30, 1995",1.693B
"June 30, 1995",1.54B
"March 31, 1995",1.365B
"Dec. 31, 1994",1.203B
"Sept. 30, 1994",1.121B
"June 30, 1994",1.16B
"March 31, 1994",1.298B
"Dec. 31, 1993",1.308B
"Sept. 30, 1993",997.00M
"June 30, 1993",1.041B
"March 31, 1993",1.04B
"Dec. 31, 1992",908.00M
"Sept. 30, 1992",872.00M
"June 30, 1992",863.00M
"March 31, 1992",674.00M
"Dec. 31, 1991",1.03B
"Sept. 30, 1991",1.102B
"June 30, 1991",952.00M
"March 31, 1991",1.099B
"Dec. 31, 1990",1.104B
