date,beneish_m_score
"Dec. 31, 2019",-2.863
"Dec. 31, 2018",-3.195
"Dec. 31, 2017",
"Dec. 31, 2016",-3.970
"Dec. 31, 2015",-0.2142
"Dec. 31, 2014",-3.148
"Dec. 31, 2013",-2.922
"Dec. 31, 2012",-3.589
"Dec. 31, 2011",-2.871
"Dec. 31, 2010",-1.963
"Dec. 31, 2009",-2.752
"Dec. 31, 2008",
"Dec. 31, 2007",-2.588
"Dec. 31, 2006",-2.560
"Dec. 31, 2005",-2.413
"Dec. 31, 2004",-1.642
"Dec. 31, 2003",-2.320
"Dec. 31, 2002",-0.6984
"Dec. 31, 2001",-2.728
"Dec. 31, 2000",-2.670
"Dec. 31, 1999",-2.534
"Dec. 31, 1998",-3.254
"Dec. 31, 1997",-3.075
"Dec. 31, 1996",-2.464
"Dec. 31, 1995",-2.857
"Dec. 31, 1994",-2.608
"Dec. 31, 1993",-3.688
"Dec. 31, 1992",-3.744
"Dec. 31, 1991",-3.630
"Dec. 31, 1990",-3.498
