date,operating_earning_yield
"March 19, 2020",25.33%
"March 18, 2020",28.59%
"March 17, 2020",24.69%
"March 16, 2020",24.85%
"March 13, 2020",20.65%
"March 12, 2020",22.98%
"March 11, 2020",19.90%
"March 10, 2020",18.58%
"March 9, 2020",19.02%
"March 6, 2020",14.30%
"March 5, 2020",13.59%
"March 4, 2020",13.11%
"March 3, 2020",13.47%
"March 2, 2020",13.16%
"Feb. 28, 2020",13.38%
"Feb. 27, 2020",13.75%
"Feb. 26, 2020",12.67%
"Feb. 25, 2020",12.04%
"Feb. 24, 2020",11.49%
"Feb. 21, 2020",11.09%
"Feb. 20, 2020",11.01%
"Feb. 19, 2020",10.94%
"Feb. 18, 2020",11.12%
"Feb. 14, 2020",11.06%
"Feb. 13, 2020",11.02%
"Feb. 12, 2020",10.84%
"Feb. 11, 2020",11.04%
"Feb. 10, 2020",11.20%
"Feb. 7, 2020",11.18%
"Feb. 6, 2020",11.10%
"Feb. 5, 2020",11.03%
"Feb. 4, 2020",11.47%
"Feb. 3, 2020",10.95%
"Jan. 31, 2020",10.90%
"Jan. 30, 2020",10.64%
"Jan. 29, 2020",10.71%
"Jan. 28, 2020",10.59%
"Jan. 27, 2020",10.62%
"Jan. 24, 2020",10.35%
"Jan. 23, 2020",10.26%
"Jan. 22, 2020",10.29%
"Jan. 21, 2020",10.12%
"Jan. 17, 2020",9.96%
"Jan. 16, 2020",9.96%
"Jan. 15, 2020",9.97%
"Jan. 14, 2020",9.95%
"Jan. 13, 2020",9.95%
"Jan. 10, 2020",9.91%
"Jan. 9, 2020",9.81%
"Jan. 8, 2020",9.98%
"Jan. 7, 2020",9.75%
"Jan. 6, 2020",9.75%
"Jan. 3, 2020",9.86%
"Jan. 2, 2020",9.90%
"Dec. 31, 2019",9.97%
"Dec. 30, 2019",11.43%
"Dec. 27, 2019",11.36%
"Dec. 26, 2019",11.36%
"Dec. 24, 2019",11.42%
"Dec. 23, 2019",11.43%
"Dec. 20, 2019",11.59%
"Dec. 19, 2019",11.68%
"Dec. 18, 2019",11.68%
"Dec. 17, 2019",11.62%
"Dec. 16, 2019",11.75%
"Dec. 13, 2019",11.78%
"Dec. 12, 2019",11.80%
"Dec. 11, 2019",11.97%
"Dec. 10, 2019",11.95%
"Dec. 9, 2019",11.94%
"Dec. 6, 2019",11.91%
"Dec. 5, 2019",12.34%
"Dec. 4, 2019",12.18%
"Dec. 3, 2019",12.54%
"Dec. 2, 2019",12.23%
"Nov. 29, 2019",12.32%
"Nov. 27, 2019",12.24%
"Nov. 26, 2019",12.28%
"Nov. 25, 2019",12.09%
"Nov. 22, 2019",12.33%
"Nov. 21, 2019",12.26%
"Nov. 20, 2019",12.44%
"Nov. 19, 2019",12.91%
"Nov. 18, 2019",13.02%
"Nov. 15, 2019",12.68%
"Nov. 14, 2019",12.90%
"Nov. 13, 2019",12.83%
"Nov. 12, 2019",12.68%
"Nov. 11, 2019",12.53%
"Nov. 8, 2019",12.48%
"Nov. 7, 2019",12.40%
"Nov. 6, 2019",12.81%
"Nov. 5, 2019",12.62%
"Nov. 4, 2019",12.73%
"Nov. 1, 2019",12.92%
"Oct. 31, 2019",13.38%
"Oct. 30, 2019",13.41%
"Oct. 29, 2019",12.93%
"Oct. 28, 2019",13.26%
"Oct. 25, 2019",13.10%
"Oct. 24, 2019",13.15%
"Oct. 23, 2019",13.13%
"Oct. 22, 2019",13.06%
"Oct. 21, 2019",13.19%
"Oct. 18, 2019",13.69%
"Oct. 17, 2019",13.54%
"Oct. 16, 2019",13.52%
"Oct. 15, 2019",13.20%
"Oct. 14, 2019",13.15%
"Oct. 11, 2019",13.08%
"Oct. 10, 2019",13.21%
"Oct. 9, 2019",13.44%
"Oct. 8, 2019",13.70%
"Oct. 7, 2019",13.52%
"Oct. 4, 2019",13.80%
"Oct. 3, 2019",13.76%
"Oct. 2, 2019",13.91%
"Oct. 1, 2019",13.39%
"Sept. 30, 2019",12.96%
"Sept. 27, 2019",14.24%
"Sept. 26, 2019",14.29%
"Sept. 25, 2019",13.86%
"Sept. 24, 2019",13.90%
"Sept. 23, 2019",13.70%
"Sept. 20, 2019",13.56%
"Sept. 19, 2019",13.75%
"Sept. 18, 2019",13.74%
"Sept. 17, 2019",13.47%
"Sept. 16, 2019",13.19%
"Sept. 13, 2019",14.38%
"Sept. 12, 2019",14.63%
"Sept. 11, 2019",14.41%
"Sept. 10, 2019",14.64%
"Sept. 9, 2019",15.00%
"Sept. 6, 2019",15.37%
"Sept. 5, 2019",15.43%
"Sept. 4, 2019",15.47%
"Sept. 3, 2019",15.84%
"Aug. 30, 2019",15.80%
"Aug. 29, 2019",15.77%
"Aug. 28, 2019",15.87%
"Aug. 27, 2019",16.17%
"Aug. 26, 2019",16.05%
"Aug. 23, 2019",16.35%
"Aug. 22, 2019",15.78%
"Aug. 21, 2019",15.67%
"Aug. 20, 2019",15.64%
"Aug. 19, 2019",15.29%
"Aug. 16, 2019",16.02%
"Aug. 15, 2019",16.20%
"Aug. 14, 2019",15.92%
"Aug. 13, 2019",15.31%
"Aug. 12, 2019",15.52%
"Aug. 9, 2019",15.27%
"Aug. 8, 2019",14.97%
"Aug. 7, 2019",15.46%
"Aug. 6, 2019",15.20%
"Aug. 5, 2019",15.08%
"Aug. 2, 2019",14.60%
"Aug. 1, 2019",14.02%
"July 31, 2019",13.96%
"July 30, 2019",13.85%
"July 29, 2019",14.17%
"July 26, 2019",14.03%
"July 25, 2019",13.97%
"July 24, 2019",13.72%
"July 23, 2019",13.68%
"July 22, 2019",13.64%
"July 19, 2019",13.67%
"July 18, 2019",13.67%
"July 17, 2019",13.79%
"July 16, 2019",13.80%
"July 15, 2019",13.59%
"July 12, 2019",13.35%
"July 11, 2019",13.42%
"July 10, 2019",13.47%
"July 9, 2019",13.77%
"July 8, 2019",13.77%
"July 5, 2019",13.76%
"July 3, 2019",13.63%
"July 2, 2019",13.72%
"July 1, 2019",13.25%
"June 30, 2019",
"June 28, 2019",14.14%
"June 27, 2019",14.08%
"June 26, 2019",13.74%
"June 25, 2019",14.43%
"June 24, 2019",14.25%
"June 21, 2019",14.30%
"June 20, 2019",14.21%
"June 19, 2019",14.46%
"June 18, 2019",14.42%
"June 17, 2019",14.62%
"June 14, 2019",14.66%
"June 13, 2019",14.60%
"June 12, 2019",14.73%
"June 11, 2019",14.68%
"June 10, 2019",14.55%
"June 7, 2019",14.63%
"June 6, 2019",14.82%
"June 5, 2019",15.11%
"June 4, 2019",14.59%
"June 3, 2019",14.51%
"May 31, 2019",14.63%
"May 30, 2019",14.63%
"May 29, 2019",14.34%
"May 28, 2019",14.36%
"May 24, 2019",14.40%
"May 23, 2019",14.50%
"May 22, 2019",13.68%
"May 21, 2019",13.56%
"May 20, 2019",13.81%
"May 17, 2019",13.89%
"May 16, 2019",13.78%
"May 15, 2019",13.90%
"May 14, 2019",13.84%
"May 13, 2019",14.09%
"May 10, 2019",13.93%
"May 9, 2019",14.01%
"May 8, 2019",14.04%
"May 7, 2019",14.14%
"May 6, 2019",13.94%
"May 3, 2019",13.91%
"May 2, 2019",14.07%
"May 1, 2019",13.76%
"April 30, 2019",13.66%
"April 29, 2019",13.77%
"April 26, 2019",13.74%
"April 25, 2019",13.48%
"April 24, 2019",13.33%
"April 23, 2019",12.98%
"April 22, 2019",12.88%
"April 18, 2019",13.09%
"April 17, 2019",13.11%
"April 16, 2019",13.10%
"April 15, 2019",13.00%
"April 12, 2019",12.80%
"April 11, 2019",12.99%
"April 10, 2019",12.88%
"April 9, 2019",13.13%
"April 8, 2019",12.96%
"April 5, 2019",13.04%
"April 4, 2019",13.24%
"April 3, 2019",13.17%
"April 2, 2019",13.00%
"April 1, 2019",12.74%
"March 31, 2019",
"March 29, 2019",11.85%
"March 28, 2019",11.74%
"March 27, 2019",11.65%
"March 26, 2019",11.54%
"March 25, 2019",11.80%
"March 22, 2019",11.97%
"March 21, 2019",11.61%
"March 20, 2019",11.71%
"March 19, 2019",11.75%
"March 18, 2019",11.70%
"March 15, 2019",11.70%
"March 14, 2019",11.80%
"March 13, 2019",11.75%
"March 12, 2019",12.05%
"March 11, 2019",12.01%
"March 8, 2019",12.09%
"March 7, 2019",11.64%
"March 6, 2019",11.58%
"March 5, 2019",11.46%
"March 4, 2019",11.32%
"March 1, 2019",11.48%
"Feb. 28, 2019",11.66%
"Feb. 27, 2019",11.43%
"Feb. 26, 2019",11.48%
"Feb. 25, 2019",11.42%
"Feb. 22, 2019",11.31%
"Feb. 21, 2019",11.26%
"Feb. 20, 2019",11.20%
"Feb. 19, 2019",11.38%
"Feb. 15, 2019",11.27%
"Feb. 14, 2019",11.45%
"Feb. 13, 2019",11.67%
"Feb. 12, 2019",11.73%
"Feb. 11, 2019",11.85%
"Feb. 8, 2019",11.94%
"Feb. 7, 2019",11.72%
"Feb. 6, 2019",11.45%
"Feb. 5, 2019",11.42%
"Feb. 4, 2019",11.31%
"Feb. 1, 2019",11.52%
"Jan. 31, 2019",11.69%
"Jan. 30, 2019",12.04%
"Jan. 29, 2019",12.12%
"Jan. 28, 2019",12.11%
"Jan. 25, 2019",11.81%
"Jan. 24, 2019",11.96%
"Jan. 23, 2019",12.01%
"Jan. 22, 2019",12.03%
"Jan. 18, 2019",11.65%
"Jan. 17, 2019",11.80%
"Jan. 16, 2019",12.05%
"Jan. 15, 2019",11.98%
"Jan. 14, 2019",12.06%
"Jan. 11, 2019",11.92%
"Jan. 10, 2019",11.64%
"Jan. 9, 2019",11.91%
"Jan. 8, 2019",12.30%
"Jan. 7, 2019",12.46%
"Jan. 4, 2019",12.41%
"Jan. 3, 2019",12.72%
"Jan. 2, 2019",12.48%
"Dec. 31, 2018",12.69%
"Dec. 28, 2018",11.86%
"Dec. 27, 2018",11.76%
"Dec. 26, 2018",11.90%
"Dec. 24, 2018",12.83%
"Dec. 21, 2018",12.23%
"Dec. 20, 2018",12.19%
"Dec. 19, 2018",11.94%
"Dec. 18, 2018",11.82%
"Dec. 17, 2018",11.59%
"Dec. 14, 2018",11.33%
"Dec. 13, 2018",11.06%
"Dec. 12, 2018",11.21%
"Dec. 11, 2018",11.18%
"Dec. 10, 2018",11.22%
"Dec. 7, 2018",11.10%
"Dec. 6, 2018",10.98%
"Dec. 4, 2018",10.93%
"Dec. 3, 2018",10.59%
"Nov. 30, 2018",11.05%
"Nov. 29, 2018",10.94%
"Nov. 28, 2018",11.03%
"Nov. 27, 2018",11.21%
"Nov. 26, 2018",11.31%
"Nov. 23, 2018",11.47%
"Nov. 21, 2018",11.17%
"Nov. 20, 2018",11.43%
"Nov. 19, 2018",11.01%
"Nov. 16, 2018",11.06%
"Nov. 15, 2018",11.22%
"Nov. 14, 2018",11.41%
"Nov. 13, 2018",11.48%
"Nov. 12, 2018",11.23%
"Nov. 9, 2018",10.96%
"Nov. 8, 2018",10.93%
"Nov. 7, 2018",10.45%
"Nov. 6, 2018",10.53%
"Nov. 5, 2018",10.60%
"Nov. 2, 2018",10.78%
"Nov. 1, 2018",10.51%
"Oct. 31, 2018",10.47%
"Oct. 30, 2018",10.52%
"Oct. 29, 2018",10.86%
"Oct. 26, 2018",10.68%
"Oct. 25, 2018",10.76%
"Oct. 24, 2018",11.14%
"Oct. 23, 2018",10.57%
"Oct. 22, 2018",10.15%
"Oct. 19, 2018",10.09%
"Oct. 18, 2018",10.08%
"Oct. 17, 2018",10.09%
"Oct. 16, 2018",9.91%
"Oct. 15, 2018",9.98%
"Oct. 12, 2018",9.91%
"Oct. 11, 2018",10.05%
"Oct. 10, 2018",9.74%
"Oct. 9, 2018",9.21%
"Oct. 8, 2018",9.35%
"Oct. 5, 2018",9.33%
"Oct. 4, 2018",9.35%
"Oct. 3, 2018",9.31%
"Oct. 2, 2018",9.35%
"Oct. 1, 2018",9.16%
"Sept. 30, 2018",
"Sept. 28, 2018",6.99%
"Sept. 27, 2018",6.98%
"Sept. 26, 2018",7.00%
"Sept. 25, 2018",6.93%
"Sept. 24, 2018",7.02%
"Sept. 21, 2018",7.10%
"Sept. 20, 2018",7.18%
"Sept. 19, 2018",7.17%
"Sept. 18, 2018",7.21%
"Sept. 17, 2018",7.29%
"Sept. 14, 2018",7.36%
"Sept. 13, 2018",7.46%
"Sept. 12, 2018",7.52%
"Sept. 11, 2018",7.57%
"Sept. 10, 2018",7.61%
"Sept. 7, 2018",7.71%
"Sept. 6, 2018",7.67%
"Sept. 5, 2018",7.41%
"Sept. 4, 2018",7.40%
"Aug. 31, 2018",7.37%
"Aug. 30, 2018",7.36%
"Aug. 29, 2018",7.36%
"Aug. 28, 2018",7.51%
"Aug. 27, 2018",7.43%
"Aug. 24, 2018",7.45%
"Aug. 23, 2018",7.51%
"Aug. 22, 2018",7.52%
"Aug. 21, 2018",7.64%
"Aug. 20, 2018",7.68%
"Aug. 17, 2018",7.76%
"Aug. 16, 2018",7.80%
"Aug. 15, 2018",7.98%
"Aug. 14, 2018",7.50%
"Aug. 13, 2018",7.62%
"Aug. 10, 2018",7.52%
"Aug. 9, 2018",7.54%
"Aug. 8, 2018",7.58%
"Aug. 7, 2018",7.42%
"Aug. 6, 2018",7.55%
"Aug. 3, 2018",7.59%
"Aug. 2, 2018",7.56%
"Aug. 1, 2018",7.54%
"July 31, 2018",7.50%
"July 30, 2018",7.49%
"July 27, 2018",7.58%
"July 26, 2018",7.54%
"July 25, 2018",7.57%
"July 24, 2018",7.64%
"July 23, 2018",7.73%
"July 20, 2018",7.73%
"July 19, 2018",7.77%
"July 18, 2018",7.69%
"July 17, 2018",7.70%
"July 16, 2018",7.67%
"July 13, 2018",7.52%
"July 12, 2018",7.58%
"July 11, 2018",7.73%
"July 10, 2018",7.54%
