date,enterprise_value
"March 19, 2020",32.40B
"March 18, 2020",29.25B
"March 17, 2020",33.12B
"March 16, 2020",32.93B
"March 13, 2020",38.66B
"March 12, 2020",35.22B
"March 11, 2020",39.94B
"March 10, 2020",42.45B
"March 9, 2020",41.57B
"March 6, 2020",53.74B
"March 5, 2020",56.31B
"March 4, 2020",58.18B
"March 3, 2020",56.76B
"March 2, 2020",57.96B
"Feb. 28, 2020",57.09B
"Feb. 27, 2020",55.69B
"Feb. 26, 2020",60.06B
"Feb. 25, 2020",62.93B
"Feb. 24, 2020",65.69B
"Feb. 21, 2020",67.92B
"Feb. 20, 2020",68.39B
"Feb. 19, 2020",68.80B
"Feb. 18, 2020",67.77B
"Feb. 14, 2020",68.11B
"Feb. 13, 2020",68.33B
"Feb. 12, 2020",69.35B
"Feb. 11, 2020",68.21B
"Feb. 10, 2020",67.30B
"Feb. 7, 2020",67.43B
"Feb. 6, 2020",67.89B
"Feb. 5, 2020",68.29B
"Feb. 4, 2020",65.81B
"Feb. 3, 2020",68.72B
"Jan. 31, 2020",68.99B
"Jan. 30, 2020",70.79B
"Jan. 29, 2020",70.36B
"Jan. 28, 2020",71.11B
"Jan. 27, 2020",70.96B
"Jan. 24, 2020",72.67B
"Jan. 23, 2020",73.24B
"Jan. 22, 2020",73.09B
"Jan. 21, 2020",74.20B
"Jan. 17, 2020",75.33B
"Jan. 16, 2020",75.33B
"Jan. 15, 2020",75.25B
"Jan. 14, 2020",75.41B
"Jan. 13, 2020",75.39B
"Jan. 10, 2020",75.71B
"Jan. 9, 2020",76.41B
"Jan. 8, 2020",75.19B
"Jan. 7, 2020",76.86B
"Jan. 6, 2020",76.86B
"Jan. 3, 2020",76.01B
"Jan. 2, 2020",75.75B
"Dec. 31, 2019",75.29B
"Dec. 30, 2019",75.86B
"Dec. 27, 2019",76.26B
"Dec. 26, 2019",76.28B
"Dec. 24, 2019",75.92B
"Dec. 23, 2019",75.84B
"Dec. 20, 2019",74.88B
"Dec. 19, 2019",74.30B
"Dec. 18, 2019",74.31B
"Dec. 17, 2019",74.66B
"Dec. 16, 2019",73.89B
"Dec. 13, 2019",73.76B
"Dec. 12, 2019",73.64B
"Dec. 11, 2019",72.64B
"Dec. 10, 2019",72.73B
"Dec. 9, 2019",72.81B
"Dec. 6, 2019",72.96B
"Dec. 5, 2019",70.62B
"Dec. 4, 2019",71.49B
"Dec. 3, 2019",69.58B
"Dec. 2, 2019",71.20B
"Nov. 29, 2019",70.73B
"Nov. 27, 2019",71.17B
"Nov. 26, 2019",70.92B
"Nov. 25, 2019",71.95B
"Nov. 22, 2019",70.69B
"Nov. 21, 2019",71.03B
"Nov. 20, 2019",70.09B
"Nov. 19, 2019",67.69B
"Nov. 18, 2019",67.18B
"Nov. 15, 2019",68.88B
"Nov. 14, 2019",67.78B
"Nov. 13, 2019",68.12B
"Nov. 12, 2019",68.85B
"Nov. 11, 2019",69.60B
"Nov. 8, 2019",69.88B
"Nov. 7, 2019",70.29B
"Nov. 6, 2019",68.20B
"Nov. 5, 2019",69.16B
"Nov. 4, 2019",68.60B
"Nov. 1, 2019",67.67B
"Oct. 31, 2019",65.53B
"Oct. 30, 2019",65.35B
"Oct. 29, 2019",67.60B
"Oct. 28, 2019",66.06B
"Oct. 25, 2019",66.79B
"Oct. 24, 2019",66.58B
"Oct. 23, 2019",66.68B
"Oct. 22, 2019",67.00B
"Oct. 21, 2019",66.36B
"Oct. 18, 2019",64.16B
"Oct. 17, 2019",64.80B
"Oct. 16, 2019",64.88B
"Oct. 15, 2019",66.35B
"Oct. 14, 2019",66.55B
"Oct. 11, 2019",66.88B
"Oct. 10, 2019",66.28B
"Oct. 9, 2019",65.24B
"Oct. 8, 2019",64.10B
"Oct. 7, 2019",64.87B
"Oct. 4, 2019",63.66B
"Oct. 3, 2019",63.84B
"Oct. 2, 2019",63.19B
"Oct. 1, 2019",65.48B
"Sept. 30, 2019",67.48B
"Sept. 27, 2019",70.79B
"Sept. 26, 2019",70.55B
"Sept. 25, 2019",72.54B
"Sept. 24, 2019",72.34B
"Sept. 23, 2019",73.32B
"Sept. 20, 2019",74.03B
"Sept. 19, 2019",73.09B
"Sept. 18, 2019",73.13B
"Sept. 17, 2019",74.48B
"Sept. 16, 2019",75.93B
"Sept. 13, 2019",70.17B
"Sept. 12, 2019",69.07B
"Sept. 11, 2019",70.01B
"Sept. 10, 2019",69.04B
"Sept. 9, 2019",67.54B
"Sept. 6, 2019",66.05B
"Sept. 5, 2019",65.84B
