date,f_score_ttm
"Dec. 31, 2019",3.00
"Sept. 30, 2019",6.00
"June 30, 2019",3.00
"March 31, 2019",9.00
"Dec. 31, 2018",8.00
"Sept. 30, 2018",9.00
"June 30, 2018",8.00
"March 31, 2018",9.00
"Dec. 31, 2017",8.00
"Sept. 30, 2017",8.00
"June 30, 2017",6.00
"March 31, 2017",7.00
"Dec. 31, 2016",5.00
"Sept. 30, 2016",3.00
"June 30, 2016",2.00
"March 31, 2016",3.00
"Dec. 31, 2015",1.00
"Sept. 30, 2015",2.00
"June 30, 2015",3.00
"March 31, 2015",1.00
"Dec. 31, 2014",2.00
"Sept. 30, 2014",5.00
"June 30, 2014",4.00
"March 31, 2014",4.00
"Dec. 31, 2013",5.00
"Sept. 30, 2013",6.00
"June 30, 2013",6.00
"March 31, 2013",4.00
"Dec. 31, 2012",5.00
"Sept. 30, 2012",3.00
"June 30, 2012",2.00
"March 31, 2012",4.00
"Dec. 31, 2011",
"Sept. 30, 2011",
"June 30, 2011",5.00
"March 31, 2011",6.00
"Dec. 31, 2010",7.00
"Sept. 30, 2010",9.00
"June 30, 2010",8.00
"March 31, 2010",6.00
"Dec. 31, 2009",6.00
"Sept. 30, 2009",2.00
"June 30, 2009",3.00
"March 31, 2009",3.00
"Dec. 31, 2008",2.00
"Sept. 30, 2008",7.00
"June 30, 2008",8.00
"March 31, 2008",6.00
"Dec. 31, 2007",7.00
"Sept. 30, 2007",3.00
"June 30, 2007",4.00
"March 31, 2007",5.00
"Dec. 31, 2006",4.00
"Sept. 30, 2006",5.00
"June 30, 2006",6.00
"March 31, 2006",4.00
"Dec. 31, 2005",8.00
"Sept. 30, 2005",7.00
"June 30, 2005",7.00
"March 31, 2005",8.00
"Dec. 31, 2004",5.00
"Sept. 30, 2004",7.00
"June 30, 2004",8.00
"March 31, 2004",7.00
"Dec. 31, 2003",7.00
"Sept. 30, 2003",6.00
"June 30, 2003",7.00
"March 31, 2003",7.00
"Dec. 31, 2002",5.00
"Sept. 30, 2002",3.00
"June 30, 2002",3.00
"March 31, 2002",3.00
"Dec. 31, 2001",3.00
"Sept. 30, 2001",4.00
"June 30, 2001",6.00
"March 31, 2001",6.00
"Dec. 31, 2000",7.00
"Sept. 30, 2000",6.00
"June 30, 2000",6.00
"March 31, 2000",6.00
"Dec. 31, 1999",8.00
"Sept. 30, 1999",7.00
"June 30, 1999",4.00
"March 31, 1999",3.00
"Dec. 31, 1998",3.00
"Sept. 30, 1998",2.00
"June 30, 1998",5.00
"March 31, 1998",8.00
"Dec. 31, 1997",5.00
"Sept. 30, 1997",6.00
"June 30, 1997",7.00
"March 31, 1997",4.00
"Dec. 31, 1996",7.00
"Sept. 30, 1996",7.00
"June 30, 1996",7.00
"March 31, 1996",7.00
"Dec. 31, 1995",3.00
"Sept. 30, 1995",6.00
"June 30, 1995",7.00
"March 31, 1995",5.00
"Dec. 31, 1994",9.00
"Sept. 30, 1994",6.00
"June 30, 1994",4.00
"March 31, 1994",7.00
"Dec. 31, 1993",4.00
"Sept. 30, 1993",4.00
"June 30, 1993",7.00
"March 31, 1993",8.00
"Dec. 31, 1992",7.00
"Sept. 30, 1992",6.00
"June 30, 1992",7.00
"March 31, 1992",2.00
"Dec. 31, 1991",2.00
"Sept. 30, 1991",3.00
"June 30, 1991",3.00
"March 31, 1991",5.00
