date,cash_financing_ttm
"Dec. 31, 2019",-5.229B
"Sept. 30, 2019",-5.276B
"June 30, 2019",-5.407B
"March 31, 2019",-6.756B
"Dec. 31, 2018",-9.359B
"Sept. 30, 2018",-10.63B
"June 30, 2018",-13.19B
"March 31, 2018",-14.79B
"Dec. 31, 2017",-12.36B
"Sept. 30, 2017",-11.68B
"June 30, 2017",-8.196B
"March 31, 2017",-4.717B
"Dec. 31, 2016",764.00M
"Sept. 30, 2016",1.695B
"June 30, 2016",1.052B
"March 31, 2016",3.727B
"Dec. 31, 2015",-1.429B
"Sept. 30, 2015",88.00M
"June 30, 2015",105.00M
"March 31, 2015",-2.239B
"Dec. 31, 2014",-2.574B
"Sept. 30, 2014",-6.989B
"June 30, 2014",-7.101B
"March 31, 2014",-8.157B
"Dec. 31, 2013",-7.133B
"Sept. 30, 2013",-1.858B
"June 30, 2013",-1.305B
"March 31, 2013",-1.541B
"Dec. 31, 2012",-4.481B
"Sept. 30, 2012",-10.57B
"June 30, 2012",-14.36B
"March 31, 2012",-16.51B
"Dec. 31, 2011",-16.30B
"Sept. 30, 2011",-15.11B
"June 30, 2011",-15.48B
"March 31, 2011",-15.31B
"Dec. 31, 2010",-12.82B
"Sept. 30, 2010",-12.01B
"June 30, 2010",-8.595B
"March 31, 2010",-4.44B
"Dec. 31, 2009",-2.855B
"Sept. 30, 2009",3.564B
"June 30, 2009",1.624B
"March 31, 2009",-1.136B
"Dec. 31, 2008",-5.764B
"Sept. 30, 2008",-12.97B
"June 30, 2008",-13.96B
"March 31, 2008",-13.78B
"Dec. 31, 2007",-15.34B
"Sept. 30, 2007",-13.40B
"June 30, 2007",-11.71B
"March 31, 2007",-12.95B
"Dec. 31, 2006",7.065B
"Sept. 30, 2006",6.34B
"June 30, 2006",7.42B
"March 31, 2006",10.47B
"Dec. 31, 2005",-5.684B
"Sept. 30, 2005",-4.018B
"June 30, 2005",-3.111B
"March 31, 2005",-3.893B
"Dec. 31, 2004",-3.399B
"Sept. 30, 2004",-4.024B
"June 30, 2004",-5.205B
"March 31, 2004",-4.685B
"Dec. 31, 2003",-5.699B
"Sept. 30, 2003",-5.352B
"June 30, 2003",-5.351B
"March 31, 2003",-4.122B
"Dec. 31, 2002",-2.22B
"Sept. 30, 2002",-677.00M
"June 30, 2002",375.00M
"March 31, 2002",-131.00M
"Dec. 31, 2001",-799.00M
"Sept. 30, 2001",-2.736B
"June 30, 2001",-2.655B
"March 31, 2001",1.607B
"Dec. 31, 2000",1.759B
"Sept. 30, 2000",2.738B
"June 30, 2000",2.955B
"March 31, 2000",-1.07B
"Dec. 31, 1999",-418.00M
"Sept. 30, 1999",321.00M
"June 30, 1999",825.00M
"March 31, 1999",697.00M
"Dec. 31, 1998",288.00M
"Sept. 30, 1998",-509.00M
"June 30, 1998",-790.00M
"March 31, 1998",-832.00M
"Dec. 31, 1997",-641.00M
"Sept. 30, 1997",-177.00M
"June 30, 1997",-266.00M
"March 31, 1997",271.00M
"Dec. 31, 1996",4.00M
"Sept. 30, 1996",5.00M
"June 30, 1996",29.00M
"March 31, 1996",-533.00M
"Dec. 31, 1995",-369.00M
"Sept. 30, 1995",-458.00M
"June 30, 1995",-529.00M
"March 31, 1995",-278.00M
"Dec. 31, 1994",-221.00M
"Sept. 30, 1994",-612.00M
"June 30, 1994",-570.00M
"March 31, 1994",-896.00M
"Dec. 31, 1993",-915.00M
"Sept. 30, 1993",-595.00M
"June 30, 1993",-551.00M
"March 31, 1993",-371.00M
"Dec. 31, 1992",-100.00M
"Sept. 30, 1992",-11.00M
"June 30, 1992",95.00M
"March 31, 1992",30.00M
"Dec. 31, 1991",-253.00M
"Sept. 30, 1991",-507.00M
"June 30, 1991",-496.00M
"March 31, 1991",-429.00M
"Dec. 31, 1990",-434.00M
