date,return_on_assets
"Dec. 31, 2019",10.17%
"Sept. 30, 2019",11.79%
"June 30, 2019",10.14%
"March 31, 2019",10.24%
"Dec. 31, 2018",8.85%
"Sept. 30, 2018",8.32%
"June 30, 2018",6.19%
"March 31, 2018",-0.72%
"Dec. 31, 2017",-1.06%
"Sept. 30, 2017",-2.91%
"June 30, 2017",-4.40%
"March 31, 2017",-1.67%
"Dec. 31, 2016",-3.79%
"Sept. 30, 2016",-7.12%
"June 30, 2016",-6.90%
"March 31, 2016",-5.87%
"Dec. 31, 2015",-4.08%
"Sept. 30, 2015",-0.90%
"June 30, 2015",2.38%
"March 31, 2015",4.27%
"Dec. 31, 2014",5.77%
"Sept. 30, 2014",7.85%
"June 30, 2014",7.69%
"March 31, 2014",7.71%
"Dec. 31, 2013",7.76%
"Sept. 30, 2013",6.90%
"June 30, 2013",6.38%
"March 31, 2013",6.08%
"Dec. 31, 2012",6.36%
"Sept. 30, 2012",7.42%
"June 30, 2012",7.52%
"March 31, 2012",7.81%
"Dec. 31, 2011",7.93%
"Sept. 30, 2011",7.05%
"June 30, 2011",7.36%
"March 31, 2011",7.90%
"Dec. 31, 2010",7.37%
"Sept. 30, 2010",6.92%
"June 30, 2010",5.93%
"March 31, 2010",3.79%
"Dec. 31, 2009",2.98%
"Sept. 30, 2009",-18.10%
"June 30, 2009",-14.96%
"March 31, 2009",-11.66%
"Dec. 31, 2008",-9.30%
"Sept. 30, 2008",10.52%
"June 30, 2008",9.84%
"March 31, 2008",7.10%
"Dec. 31, 2007",6.91%
"Sept. 30, 2007",6.33%
"June 30, 2007",6.54%
"March 31, 2007",9.60%
"Dec. 31, 2006",10.27%
"Sept. 30, 2006",11.51%
"June 30, 2006",12.66%
"March 31, 2006",12.30%
"Dec. 31, 2005",13.57%
"Sept. 30, 2005",12.78%
"June 30, 2005",11.36%
"March 31, 2005",10.51%
"Dec. 31, 2004",9.36%
"Sept. 30, 2004",7.96%
"June 30, 2004",7.27%
"March 31, 2004",6.28%
"Dec. 31, 2003",5.91%
"Sept. 30, 2003",4.14%
"June 30, 2003",2.65%
"March 31, 2003",1.67%
"Dec. 31, 2002",-0.56%
"Sept. 30, 2002",0.67%
"June 30, 2002",2.37%
"March 31, 2002",3.53%
"Dec. 31, 2001",6.17%
"Sept. 30, 2001",9.41%
"June 30, 2001",11.09%
"March 31, 2001",10.83%
"Dec. 31, 2000",10.16%
"Sept. 30, 2000",7.93%
"June 30, 2000",7.23%
"March 31, 2000",5.28%
"Dec. 31, 1999",4.12%
"Sept. 30, 1999",1.02%
"June 30, 1999",-0.18%
"March 31, 1999",0.45%
"Dec. 31, 1998",1.68%
"Sept. 30, 1998",4.66%
"June 30, 1998",5.92%
"March 31, 1998",7.01%
"Dec. 31, 1997",6.94%
"Sept. 30, 1997",6.97%
"June 30, 1997",6.90%
"March 31, 1997",6.41%
"Dec. 31, 1996",10.27%
"Sept. 30, 1996",9.83%
"June 30, 1996",9.60%
"March 31, 1996",8.89%
"Dec. 31, 1995",4.01%
"Sept. 30, 1995",4.54%
"June 30, 1995",4.44%
"March 31, 1995",4.17%
"Dec. 31, 1994",4.36%
"Sept. 30, 1994",3.09%
"June 30, 1994",2.37%
"March 31, 1994",2.76%
"Dec. 31, 1993",2.15%
"Sept. 30, 1993",2.74%
"June 30, 1993",3.23%
"March 31, 1993",3.08%
"Dec. 31, 1992",1.56%
"Sept. 30, 1992",0.99%
"June 30, 1992",0.61%
"March 31, 1992",-0.14%
"Dec. 31, 1991",2.16%
"Sept. 30, 1991",3.87%
"June 30, 1991",4.90%
"March 31, 1991",5.67%
"Dec. 31, 1990",6.58%
"Sept. 30, 1990",2.44%
"June 30, 1990",1.69%
"March 31, 1990",2.50%
"Dec. 31, 1989",1.88%
