date,accruals
"Dec. 31, 2019",-2.262B
"Sept. 30, 2019",719.00M
"June 30, 2019",-1.311B
"March 31, 2019",-1.061B
"Dec. 31, 2018",-1.915B
"Sept. 30, 2018",-1.549B
"June 30, 2018",-1.702B
"March 31, 2018",-1.511B
"Dec. 31, 2017",-902.00M
"Sept. 30, 2017",-635.00M
"June 30, 2017",-5.191B
"March 31, 2017",-1.204B
"Dec. 31, 2016",-1.478B
"Sept. 30, 2016",-2.32B
"June 30, 2016",-2.33B
"March 31, 2016",-1.89B
"Dec. 31, 2015",-5.046B
"Sept. 30, 2015",-3.005B
"June 30, 2015",-2.153B
"March 31, 2015",-1.796B
"Dec. 31, 2014",-2.85B
"Sept. 30, 2014",-1.167B
"June 30, 2014",-1.47B
"March 31, 2014",-4.213B
"Dec. 31, 2013",-1.478B
"Sept. 30, 2013",-1.225B
"June 30, 2013",-1.691B
"March 31, 2013",-2.591B
"Dec. 31, 2012",-2.444B
"Sept. 30, 2012",-1.722B
"June 30, 2012",-83.00M
"March 31, 2012",-1.245B
"Dec. 31, 2011",-2.422B
"Sept. 30, 2011",-2.997B
"June 30, 2011",-2.872B
"March 31, 2011",1.081B
"Dec. 31, 2010",-4.15B
"Sept. 30, 2010",-1.284B
"June 30, 2010",689.00M
"March 31, 2010",-942.00M
"Dec. 31, 2009",-3.809B
"Sept. 30, 2009",-1.463B
"June 30, 2009",-1.708B
"March 31, 2009",-1.085B
"Dec. 31, 2008",-34.24B
"Sept. 30, 2008",-2.327B
"June 30, 2008",5.00M
"March 31, 2008",-2.448B
"Dec. 31, 2007",-2.549B
"Sept. 30, 2007",-2.318B
"June 30, 2007",-4.465B
"March 31, 2007",-3.327B
"Dec. 31, 2006",-2.44B
"Sept. 30, 2006",-2.359B
"June 30, 2006",342.00M
"March 31, 2006",-1.509B
"Dec. 31, 2005",-996.00M
"Sept. 30, 2005",-2.296B
"June 30, 2005",370.00M
"March 31, 2005",-1.177B
"Dec. 31, 2004",-765.00M
"Sept. 30, 2004",-2.407B
"June 30, 2004",-201.00M
"March 31, 2004",-457.00M
"Dec. 31, 2003",-948.00M
"Sept. 30, 2003",-796.00M
"June 30, 2003",-959.00M
"March 31, 2003",-1.899B
"Dec. 31, 2002",-2.42B
"Sept. 30, 2002",-1.993B
"June 30, 2002",-179.00M
"March 31, 2002",-681.00M
"Dec. 31, 2001",-50.00M
"Sept. 30, 2001",-1.035B
"June 30, 2001",-74.00M
"March 31, 2001",-765.00M
"Dec. 31, 2000",-553.00M
"Sept. 30, 2000",-705.00M
"June 30, 2000",-374.00M
"March 31, 2000",-520.00M
"Dec. 31, 1999",-296.00M
"Sept. 30, 1999",-486.00M
"June 30, 1999",-451.00M
"March 31, 1999",-99.00M
"Dec. 31, 1998",-164.00M
"Sept. 30, 1998",-521.00M
"June 30, 1998",-310.00M
"March 31, 1998",-398.00M
"Dec. 31, 1997",-178.00M
"Sept. 30, 1997",-549.00M
"June 30, 1997",-148.00M
"March 31, 1997",-411.00M
"Dec. 31, 1996",-458.00M
"Sept. 30, 1996",-463.00M
"June 30, 1996",151.00M
"March 31, 1996",-12.00M
"Dec. 31, 1995",-208.00M
"Sept. 30, 1995",-390.00M
"June 30, 1995",-288.00M
"March 31, 1995",-241.00M
"Dec. 31, 1994",-252.00M
"Sept. 30, 1994",-254.00M
"June 30, 1994",-150.00M
"March 31, 1994",-63.00M
"Dec. 31, 1993",-312.00M
"Sept. 30, 1993",-371.00M
"June 30, 1993",-243.00M
"March 31, 1993",-139.00M
"Dec. 31, 1992",70.00M
"Sept. 30, 1992",-357.00M
"June 30, 1992",-259.00M
"March 31, 1992",-182.00M
"Dec. 31, 1991",41.00M
"Sept. 30, 1991",-391.00M
"June 30, 1991",-158.00M
"March 31, 1991",-264.00M
"Dec. 31, 1990",180.00M
"Sept. 30, 1990",-119.00M
"June 30, 1990",-216.00M
"March 31, 1990",-170.00M
