date,market_cap
"March 19, 2020",27.67B
"March 18, 2020",24.51B
"March 17, 2020",28.38B
"March 16, 2020",28.20B
"March 13, 2020",33.93B
"March 12, 2020",30.49B
"March 11, 2020",35.20B
"March 10, 2020",37.71B
"March 9, 2020",36.83B
"March 6, 2020",49.01B
"March 5, 2020",51.57B
"March 4, 2020",53.44B
"March 3, 2020",52.02B
"March 2, 2020",53.22B
"Feb. 28, 2020",52.35B
"Feb. 27, 2020",50.95B
"Feb. 26, 2020",55.32B
"Feb. 25, 2020",58.20B
"Feb. 24, 2020",60.95B
"Feb. 21, 2020",63.18B
"Feb. 20, 2020",63.66B
"Feb. 19, 2020",64.07B
"Feb. 18, 2020",63.03B
"Feb. 14, 2020",63.38B
"Feb. 13, 2020",63.59B
"Feb. 12, 2020",64.61B
"Feb. 11, 2020",63.47B
"Feb. 10, 2020",62.57B
"Feb. 7, 2020",62.69B
"Feb. 6, 2020",63.15B
"Feb. 5, 2020",63.55B
"Feb. 4, 2020",61.07B
"Feb. 3, 2020",63.98B
"Jan. 31, 2020",64.25B
"Jan. 30, 2020",66.06B
"Jan. 29, 2020",65.62B
"Jan. 28, 2020",66.37B
"Jan. 27, 2020",66.22B
"Jan. 24, 2020",67.93B
"Jan. 23, 2020",68.50B
"Jan. 22, 2020",68.36B
"Jan. 21, 2020",69.46B
"Jan. 17, 2020",70.59B
"Jan. 16, 2020",70.59B
"Jan. 15, 2020",70.52B
"Jan. 14, 2020",70.67B
"Jan. 13, 2020",70.66B
"Jan. 10, 2020",70.97B
"Jan. 9, 2020",71.68B
"Jan. 8, 2020",70.45B
"Jan. 7, 2020",72.12B
"Jan. 6, 2020",72.12B
"Jan. 3, 2020",71.28B
"Jan. 2, 2020",71.02B
"Dec. 31, 2019",70.55B
"Dec. 30, 2019",70.89B
"Dec. 27, 2019",71.30B
"Dec. 26, 2019",71.32B
"Dec. 24, 2019",70.96B
"Dec. 23, 2019",70.88B
"Dec. 20, 2019",69.92B
"Dec. 19, 2019",69.34B
"Dec. 18, 2019",69.35B
"Dec. 17, 2019",69.70B
"Dec. 16, 2019",68.93B
"Dec. 13, 2019",68.80B
"Dec. 12, 2019",68.68B
"Dec. 11, 2019",67.68B
"Dec. 10, 2019",67.77B
"Dec. 9, 2019",67.84B
"Dec. 6, 2019",68.00B
"Dec. 5, 2019",65.66B
"Dec. 4, 2019",66.53B
"Dec. 3, 2019",64.62B
"Dec. 2, 2019",66.24B
"Nov. 29, 2019",65.77B
"Nov. 27, 2019",66.21B
"Nov. 26, 2019",65.96B
"Nov. 25, 2019",66.99B
"Nov. 22, 2019",65.73B
"Nov. 21, 2019",66.07B
"Nov. 20, 2019",65.13B
"Nov. 19, 2019",62.73B
"Nov. 18, 2019",62.22B
"Nov. 15, 2019",63.92B
"Nov. 14, 2019",62.82B
"Nov. 13, 2019",63.16B
"Nov. 12, 2019",63.89B
"Nov. 11, 2019",64.64B
"Nov. 8, 2019",64.91B
"Nov. 7, 2019",65.33B
"Nov. 6, 2019",63.24B
"Nov. 5, 2019",64.20B
"Nov. 4, 2019",63.64B
"Nov. 1, 2019",62.71B
"Oct. 31, 2019",60.57B
"Oct. 30, 2019",60.39B
"Oct. 29, 2019",62.64B
"Oct. 28, 2019",61.10B
"Oct. 25, 2019",61.83B
"Oct. 24, 2019",61.62B
"Oct. 23, 2019",61.72B
"Oct. 22, 2019",62.04B
"Oct. 21, 2019",61.40B
"Oct. 18, 2019",59.20B
"Oct. 17, 2019",59.83B
"Oct. 16, 2019",59.92B
"Oct. 15, 2019",61.39B
"Oct. 14, 2019",61.59B
"Oct. 11, 2019",61.92B
"Oct. 10, 2019",61.32B
"Oct. 9, 2019",60.28B
"Oct. 8, 2019",59.14B
"Oct. 7, 2019",59.91B
"Oct. 4, 2019",58.70B
"Oct. 3, 2019",58.88B
"Oct. 2, 2019",58.23B
"Oct. 1, 2019",60.51B
"Sept. 30, 2019",62.52B
"Sept. 27, 2019",64.28B
"Sept. 26, 2019",64.03B
